Global Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Abroad	New South Wales	Tayo'y Magsasama Sa Habang Buhay	131776	3 weeks ago	Tayo'y Magsasama Sa Habang Buhay | New South Wales | INCMV AWARDS 2026	https://www.youtube.com/watch?v=VXpC97YXda8	Fetched 05/24/2026, 3:46:56 PM GMT+8
2	Abroad	San Diego County, California	I Will Serve	81610	3 weeks ago	I Will Serve | San Diego County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vqe138q-k3g	Fetched 05/24/2026, 3:46:56 PM GMT+8
3	Abroad	Taiwan	Anuman Po Ang Mangyari	75413	3 weeks ago	Anuman Po Ang Mangyari | Taiwan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zJd7JE1tY8o	Fetched 05/24/2026, 3:46:56 PM GMT+8
4	Visayas	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	54475	2 weeks ago	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 05/24/2026, 3:46:56 PM GMT+8
5	Visayas	Aklan	Lahat, Posible Sa Ama	54440	3 weeks ago	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 05/24/2026, 3:46:56 PM GMT+8
6	Luzon	Benguet	God's Love	51897	3 weeks ago	God's Love | Benguet | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ROa3kbG5M0U	Fetched 05/24/2026, 3:46:56 PM GMT+8
7	Abroad	Eastern Ontario	I Will Always Choose You	39003	3 weeks ago	I Will Always Choose You | Eastern Ontario | INCMV AWARDS 2026	https://www.youtube.com/watch?v=BG18XMjAPgI	Fetched 05/24/2026, 3:46:56 PM GMT+8
8	Luzon	Trece Martires City, Cavite	Siya Lagi	37302	3 weeks ago	Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ihukT2TiNwM	Fetched 05/24/2026, 3:46:56 PM GMT+8
9	Luzon	Maynila	Di Magsasawang Pasalamatan Ka, Ama	27114	3 weeks ago	Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026	https://www.youtube.com/watch?v=M4k2h6VWlJ0	Fetched 05/24/2026, 3:46:56 PM GMT+8
10	Luzon	Dasmariñas City, Cavite	Pag-asa Natin Ay Magaganap	25739	3 weeks ago	Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V34WkLFWvmA	Fetched 05/24/2026, 3:46:56 PM GMT+8
11	Luzon	Pampanga West	I Have You	22053	3 weeks ago	I Have You | Pampanga West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=5uWtu3e7fbw	Fetched 05/24/2026, 3:46:56 PM GMT+8
12	Luzon	Quezon City	Hindi Natin Kailanman Iisipin	21846	2 weeks ago	Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4hJvjpVrAAM	Fetched 05/24/2026, 3:46:56 PM GMT+8
13	Luzon	Lingayen, Pangasinan	Anuman Po Ang Mangyari	19000	3 weeks ago	Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A8hClgV1V78	Fetched 05/24/2026, 3:46:56 PM GMT+8
14	Luzon	Batangas North	Di Magsasawang Pasalamatan Ka, Ama	17037	3 weeks ago	Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=jRQ76pIg7cw	Fetched 05/24/2026, 3:46:56 PM GMT+8
15	Luzon	Tarlac City, Tarlac	Sa Muling Pagkikita	13318	3 weeks ago	Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=frNvB2_tlNo	Fetched 05/24/2026, 3:46:56 PM GMT+8
16	Luzon	La Union	Everything is Possible with Father	12852	3 weeks ago	Everything is Possible with Father | La Union | INCMV AWARDS 2026	https://www.youtube.com/watch?v=be84unNvvV0	Fetched 05/24/2026, 3:46:56 PM GMT+8
17	Luzon	Cavite	Yakap	12210	3 weeks ago	Yakap | Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Huka7hJAsh8	Fetched 05/24/2026, 3:46:56 PM GMT+8
18	Mindanao	Zamboanga City	Laan Sa Akin	12060	3 weeks ago	Laan Sa Akin | Zamboanga City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=b6HCZOez12w	Fetched 05/24/2026, 3:46:56 PM GMT+8
19	Luzon	Rodriguez	Ipanalangin Mo	11931	3 weeks ago	Ipanalangin Mo | Rodriguez | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GkHCx116xcc	Fetched 05/24/2026, 3:46:56 PM GMT+8
20	Luzon	San Jose, Mindoro Occidental	Anuman Po Ang Mangyari	11268	3 weeks ago	Anuman Po Ang Mangyari | San Jose, Mindoro Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=CpXXv3fs0hI	Fetched 05/24/2026, 3:46:56 PM GMT+8
21	Luzon	Bulacan	Come With Me	11022	3 weeks ago	Come With Me | Bulacan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=x67CgQGVT3Y	Fetched 05/24/2026, 3:46:56 PM GMT+8
22	Luzon	Paniqui, Tarlac	Yakap	10337	3 weeks ago	Yakap | Paniqui, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6OJyTteX-7g	Fetched 05/24/2026, 3:46:56 PM GMT+8
