Philippine Nationwide Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Luzon	Benguet	God's Love	46659	2026-05-01	God's Love | Benguet | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ROa3kbG5M0U	Fetched 05/22/2026, 12:18:38 AM GMT+8
2	Visayas	Aklan	Lahat, Posible Sa Ama	46000	2 weeks ago	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 05/22/2026, 12:18:38 AM GMT+8
3	Visayas	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	45000	2 weeks ago	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
4	Luzon	Trece Martires City, Cavite	Siya Lagi	40117	2026-05-01	Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ihukT2TiNwM	Fetched 05/22/2026, 12:18:38 AM GMT+8
5	Luzon	Maynila	Di Magsasawang Pasalamatan Ka, Ama	26507	2026-05-01	Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026	https://www.youtube.com/watch?v=M4k2h6VWlJ0	Fetched 05/22/2026, 12:18:38 AM GMT+8
6	Luzon	Dasmariñas City, Cavite	Pag-asa Natin Ay Magaganap	25101	2026-05-01	Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V34WkLFWvmA	Fetched 05/22/2026, 12:18:38 AM GMT+8
7	Luzon	Pampanga West	I Have You	21272	2026-05-01	I Have You | Pampanga West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=5uWtu3e7fbw	Fetched 05/22/2026, 12:18:38 AM GMT+8
8	Luzon	Quezon City	Hindi Natin Kailanman Iisipin	21083	2026-05-04	Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4hJvjpVrAAM	Fetched 05/22/2026, 12:18:38 AM GMT+8
9	Luzon	Lingayen, Pangasinan	Anuman Po Ang Mangyari	18939	2026-05-01	Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A8hClgV1V78	Fetched 05/22/2026, 12:18:38 AM GMT+8
10	Luzon	Batangas North	Di Magsasawang Pasalamatan Ka, Ama	16787	2026-05-01	Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=jRQ76pIg7cw	Fetched 05/22/2026, 12:18:38 AM GMT+8
11	Luzon	Tarlac City, Tarlac	Sa Muling Pagkikita	13120	2026-05-01	Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=frNvB2_tlNo	Fetched 05/22/2026, 12:18:38 AM GMT+8
12	Luzon	La Union	Everything is Possible with Father	12467	2026-05-01	Everything is Possible with Father | La Union | INCMV AWARDS 2026	https://www.youtube.com/watch?v=be84unNvvV0	Fetched 05/22/2026, 12:18:38 AM GMT+8
13	Luzon	Cavite	Yakap	12187	2026-05-02	Yakap | Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Huka7hJAsh8	Fetched 05/22/2026, 12:18:38 AM GMT+8
14	Luzon	Rodriguez	Ipanalangin Mo	11626	2026-05-01	Ipanalangin Mo | Rodriguez | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GkHCx116xcc	Fetched 05/22/2026, 12:18:38 AM GMT+8
15	Mindanao	Zamboanga City	Laan Sa Akin	11000	2 weeks ago	Laan Sa Akin | Zamboanga City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=b6HCZOez12w	Fetched 05/22/2026, 12:18:38 AM GMT+8
16	Luzon	San Jose, Mindoro Occidental	Anuman Po Ang Mangyari	10763	2026-05-01	Anuman Po Ang Mangyari | San Jose, Mindoro Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=CpXXv3fs0hI	Fetched 05/22/2026, 12:18:38 AM GMT+8
17	Luzon	Paniqui, Tarlac	Yakap	9973	2026-05-01	Yakap | Paniqui, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6OJyTteX-7g	Fetched 05/22/2026, 12:18:38 AM GMT+8
18	Luzon	Bulacan	Come With Me	9951	2026-05-01	Come With Me | Bulacan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=x67CgQGVT3Y	Fetched 05/22/2026, 12:18:38 AM GMT+8
19	Luzon	Albay	Ama, Kami Ay Sa Iyo Pa Rin	9782	2026-05-01	Ama, Kami Ay Sa Iyo Pa Rin | Albay | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wAwGtb7R5fs	Fetched 05/22/2026, 12:18:38 AM GMT+8
20	Luzon	Iriga City, Camarines Sur	Anuman Po Ang Mangyari	9390	2026-05-04	Anuman Po Ang Mangyari | Iriga City, Camarines Sur | INCMV AWARD 2026	https://www.youtube.com/watch?v=MrD0pX-mTe8	Fetched 05/22/2026, 12:18:38 AM GMT+8
21	Luzon	Palawan	Sabi Ni Lola	8890	2026-05-01	Sabi Ni Lola | Palawan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=rUuEcU77ka4	Fetched 05/22/2026, 12:18:38 AM GMT+8
22	Mindanao	Zamboanga Sibugay	Ama, Kami Ay Sa Iyo Pa Rin	8700	2 weeks ago	Ama, Kami Ay Sa Iyo Pa Rin | Zamboanga Sibugay | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6efoFLYt5yU	Fetched 05/22/2026, 12:18:38 AM GMT+8
23	Luzon	CAMANAVA	Pag-asa Natin Ay Magaganap	8065	2026-05-01	Pag-asa Natin Ay Magaganap | CAMANAVA | INCMV AWARDS 2026	https://www.youtube.com/watch?v=RAqVHEbPSKs	Fetched 05/22/2026, 12:18:38 AM GMT+8
24	Luzon	Capas, Tarlac	Maglilingkod Pa Rin Ako Sa Diyos	7909	2026-05-04	Maglilingkod Pa Rin Ako Sa Diyos | Capas, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=k4QEw2OAenQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
25	Luzon	Zambales South	Ilagak Ang Pag-asa Sa Biyayang Darating	7879	2026-05-01	Ilagak Ang Pag-asa Sa Biyayang Darating | Zambales South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=webWHRcDiuI	Fetched 05/22/2026, 12:18:38 AM GMT+8
26	Luzon	Marikina	Ito Ay Pagsubok Sa Pananampalataya	7764	2026-05-01	Ito Ay Pagsubok Sa Pananampalataya | Marikina | INCMV AWARDS 2026	https://www.youtube.com/watch?v=YVeH4h6jWJk	Fetched 05/22/2026, 12:18:38 AM GMT+8
27	Luzon	Pampanga East	Galing Sa Iyo	7426	2026-05-01	Galing Sa Iyo | Pampanga East | INCMV AWARDS2026	https://www.youtube.com/watch?v=O0tKKUbwi_s	Fetched 05/22/2026, 12:18:38 AM GMT+8
28	Luzon	Sta. Rosa Nueva Ecija	Focus	6235	2026-05-01	Focus | Sta. Rosa Nueva Ecija | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Ijf01YJHytE	Fetched 05/22/2026, 12:18:38 AM GMT+8
29	Mindanao	Lanao	Anuman Po Ang Mangyari	5900	2 weeks ago	Anuman Po Ang Mangyari | Lanao | INCMV AWARDS 2026	https://www.youtube.com/watch?v=FYLkNK1OqMQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
30	Luzon	Bulacan South	Ilapit Mo	5784	2026-05-02	Ilapit Mo | Bulacan South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=yqLWhxE8Jkw	Fetched 05/22/2026, 12:18:38 AM GMT+8
