Visayas Ranking
Rank	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Aklan	Lahat, Posible Sa Ama	54000	3 weeks ago	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 05/24/2026, 1:52:02 PM GMT+8
2	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	54000	2 weeks ago	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 05/24/2026, 1:52:02 PM GMT+8
3	Bohol	Kalmadong Magpatuloy	6700	3 weeks ago	Kalmadong Magpatuloy | Bohol | INCMV AWARDS 2026	https://www.youtube.com/watch?v=f_bb1leQUlE	Fetched 05/24/2026, 1:52:02 PM GMT+8
4	Tacloban City, Leyte	Sabi Ni Lola	5800	3 weeks ago	Sabi Ni Lola | Tacloban City, Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=kYhrHytdid4	Fetched 05/24/2026, 1:52:02 PM GMT+8
5	Carcar City, Cebu	45	4200	3 weeks ago	45 | Carcar City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4qBLETJR2IE	Fetched 05/24/2026, 1:52:02 PM GMT+8
6	Kabankalan City, Negros Occidental	Siya Lagi	3600	3 weeks ago	Siya Lagi | Kabankalan City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=NqNSCeCGbuw	Fetched 05/24/2026, 1:52:02 PM GMT+8
7	Iloilo South	Panalangin	3000	3 weeks ago	Panalangin | Iloilo South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HI-yMeRI3bg	Fetched 05/24/2026, 1:52:02 PM GMT+8
8	Leyte	Habang-buhay Namin Kayong Mamahalin	3000	2 weeks ago	Habang-buhay Namin Kayong Mamahalin | Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=mogw64StkZA	Fetched 05/24/2026, 1:52:02 PM GMT+8
9	Negros Oriental	Still Blessed By God	3000	3 weeks ago	Still Blessed By God | Negros Oriental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t_pcYcHx5Ng	Fetched 05/24/2026, 1:52:02 PM GMT+8
10	Southern Leyte	Ilagak Ang Pag-asa Sa Biyayang Darating	1600	3 weeks ago	Ilagak Ang Pag-asa Sa Biyayang Darating | Southern Leyte | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nWhiokZYDY0	Fetched 05/24/2026, 1:52:02 PM GMT+8
11	Antique	My Strength And Confidence	927	3 weeks ago	My Strength And Confidence | Antique | INCMV AWARDS 2026	https://www.youtube.com/watch?v=G2q4uanbfJk	Fetched 05/24/2026, 1:52:02 PM GMT+8
12	San Carlos City, Negros Occidental	Enlightened	591	3 weeks ago	Enlightened | San Carlos City, Negros Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ffrtWU5cB4A	Fetched 05/24/2026, 1:52:02 PM GMT+8
