Officer Name	Selected YouTube Username	Selected Account Comments	All Candidate Account Counts
Yancy	@Takoshenchie	16	@Takoshenchie: 16, @YibbyAI: 2, @YancyNacion: 2, @YancyNacion-n5u: 2
Jonie	@jonieyonga-an5239	284	@jonieyonga-an5239: 284
Lui	@luibustamante9493	209	@maluisabustamante2873: 0, @luibustamante9493: 209
Zky	@Its_Handsome_Kurtzky5442	23	@kurtzkylaruan1665: 0, @Its_Handsome_Kurtzky5442: 23
Elle	@ellec01914	23	@ellec01914: 23
Kim	kimberlysarmiento1034	56	kimberlysarmiento1034: 56
Gwyneth	gwynethcayabyab5981	169	gwynethcayabyab5981: 169
Rhyndylyn	almazanrhyndylyn	294	almazanrhyndylyn: 294
Febei	@kristine7303	121	@kristine7303: 121
Henry	@henrycaranto2644	186	@henrycaranto2644: 186
Juls	@Julskie28	160	@Julskie28: 160
Jas	@jasminedaludado7262	119	@jasminedaludado7262: 119
Gelo	@gelo4828	63	@gelo4828: 63
Anle	@johnreylucio8970	325	@johnreylucio8970: 325
Meryll	@meryllsagampod7982	25	@meryllsagampod7982: 25
Wink	@winkdelarosa2397	93	@winkdelarosa2397: 93
Ysay	@yzabelgayadan6013	57	@yzabelgayadan6013: 57
Jazy	@KaJaz-r3n	65	@jazerashleypacardo8593: 6, @MugglesOut0506: 0, @MugglesOut: 3, @KaJaz-r3n: 65
Rejomar	@RejomarTayaban	111	@RejomarTayaban: 111
Yayi	@AllenAndreiBelen	0	@AllenAndreiBelen: 0
