No.,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,@joanbautista7658,1 minute ago,❤❤❤nood n mga kapatid support po ntn ang benguet po ❤❤lokal ng hillside,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwpQcYlEQTeWM5vUaF4AaABAg,UgwpQcYlEQTeWM5vUaF4AaABAg,UCgxPc4tiyQb-gy_cGAY4Aag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2,@ValentinBalmonte,3 minutes ago,Nice watching po mga kptìd philex benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxTZOfJZv4tbvAPFXp4AaABAg,UgxTZOfJZv4tbvAPFXp4AaABAg,UC3xoaoK2u01Wt-CTyQpm7Cg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3,@MaryRoseSismundoPerez,4 minutes ago,Go!go!go! #Benguet  / Pagbati mula sa Mang Aawit/Kalihim Ng Lokal Ng Irisan Distrito Ng Benguet❤❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxgalPKwQd6_O2cNLB4AaABAg,UgxgalPKwQd6_O2cNLB4AaABAg,UC059Z7nvMdVFCi5sg-aB4zw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4,@joanbautista7658,5 minutes ago,Happy watching from lokal ng hillside distrito ng benguet proud buklod❤❤❤ gogo benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy5K4hRH9mK8VfTcf14AaABAg,Ugy5K4hRH9mK8VfTcf14AaABAg,UCgxPc4tiyQb-gy_cGAY4Aag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
5,@joanbautista7658,7 minutes ago,Happy viewing lokal ng hillside distrito ng benguet proud buklod from lokal ng hillside,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyYCp0PYiyAs7Qv20t4AaABAg,UgyYCp0PYiyAs7Qv20t4AaABAg,UCgxPc4tiyQb-gy_cGAY4Aag,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6,@jojovillamor1162,9 minutes ago,"Go Baguio, Benguet❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzec0hOqVZe5jQ1lKJ4AaABAg,Ugzec0hOqVZe5jQ1lKJ4AaABAg,UCsX0DAm3QC9n23HR6kbFodQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
7,@jonieyonga-an5239,10 minutes ago,Happy viewing Po sa lahat Ng mga nanonood jan!! /  / Lao na sa mga kasama natin Jan sa kadiwa at binhi!!❤ /  / Mula Po sa lokal Ng NORCAR!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwHt9KyDo_Om-ycX8p4AaABAg,UgwHt9KyDo_Om-ycX8p4AaABAg,UCgUo3JP_Fffuctza4bUumJg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
8,@gerardespiritu2434,10 minutes ago,Pagbati po Kay Ka Tristhan Jam Orbito Pangulong PNK Ng Camp 7. Happy viewing po!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxXqL-GkJ--ZgaE3eZ4AaABAg,UgxXqL-GkJ--ZgaE3eZ4AaABAg,UCMKWkJBD8XI1-p5kvVVt-oQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
9,@musicoclassic8489,11 minutes ago,magandang gabi po mula sa lokal ng la trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw68oAGmXDfuMLCMVt4AaABAg,Ugw68oAGmXDfuMLCMVt4AaABAg,UCMhh670yZFkvzFf2001mYmA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
10,@williamdefermin7216,12 minutes ago,Binabati ko po ang Pangulong PNK na si Ka Tristhan Orbito mula sa lokal ng Camp 7!🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyTghH8o0te1DpPDU94AaABAg,UgyTghH8o0te1DpPDU94AaABAg,UC1q52pAx01WoBi_3CbOJF-w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
11,@Lxzaaaaa,13 minutes ago,Go Benguet!!❤❤ /  / Support po from Lokal ng Atok Gold✨🌷,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy_3BTS7RRq4xiZK5N4AaABAg,Ugy_3BTS7RRq4xiZK5N4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
12,@richellearcilla5652,17 minutes ago,Go Benguet.. letsssss ko mga kabagis.. from philex mines,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy3DcFex7e_5bb803N4AaABAg,Ugy3DcFex7e_5bb803N4AaABAg,UCP7PMLbQPQ5iOyrrDRQpyPg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
13,@ajoyvaldez2856,23 minutes ago,Tara nuod na po mga kapatid ❤ pagbati Po Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxxtsx_iDN2c5AObH54AaABAg,Ugxxtsx_iDN2c5AObH54AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
14,@ajoyvaldez2856,23 minutes ago,Tara nuod na po mga kapatid ❤ pagbati Po Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxKd_r2VM4r30NwFqF4AaABAg,UgxKd_r2VM4r30NwFqF4AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
15,@TheEmzthine,25 minutes ago,Shoutout sa mga Kalihim sa Irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz0gc14mKp1bGiGoZN4AaABAg,Ugz0gc14mKp1bGiGoZN4AaABAg,UCxLUxuNrB5SEVcJFtEZauDw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
16,@TheEmzthine,26 minutes ago,Happy viewing sa lahat /  /  / Mula sa mga masisipag na kalihim ng Irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwlz0MayrrApuwt1kp4AaABAg,Ugwlz0MayrrApuwt1kp4AaABAg,UCxLUxuNrB5SEVcJFtEZauDw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
17,@EvalynMarquez-w5e,27 minutes ago,Happy viewing ❤❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCbxi4den7j388U4B4AaABAg,UgyCbxi4den7j388U4B4AaABAg,UCYNZ403AsCE_KejJL5mnMvw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
18,@GloriaPrado-j5y,28 minutes ago,Very inspira try ional music love ❤️ it Greenwater,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy4LTqh4DbN90tnAjl4AaABAg,Ugy4LTqh4DbN90tnAjl4AaABAg,UC64pT5gl9WPFawhOWHlXKzA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
