2001,@ajoyvaldez2856,13 hours ago,Mapagpalang araw Ng linggo mga kapatid ❤❤ pagbati Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoWSE4D-YD8eZoEW14AaABAg,UgzoWSE4D-YD8eZoEW14AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2002,@rachelmariemaniacup6084,13 hours ago,"Happy Sunday po! Watching from Marcos Highway, district of Benguet!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyPxfmByxqe9MKV-CV4AaABAg,UgyPxfmByxqe9MKV-CV4AaABAg,UCgg3xBQl1TPBsKjNibQRmaA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2003,@arlynsadsaddarnayla,13 hours ago,"Happy Sunday po mga Kapatid🌞 / Go Benguet🎉🎉🎉 / 💚🤍❤️ / Mula po sa lokal ng Baguio City, full support!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwQNuTRDtHVd0vn5Ol4AaABAg,UgwQNuTRDtHVd0vn5Ol4AaABAg,UCEpebcWdMuh8WoE06IwNIKA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2004,@camelitapasag6018,13 hours ago,Naimabag nga morning po mga kabagis...BANGON  KANBENGUETAN! Tuloy-tuloy po panonood mula po  sa UCAB GWS ...,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzaXCNVf4cUzGDiZf14AaABAg,UgzaXCNVf4cUzGDiZf14AaABAg,UCIqVoAJs6UNYwI635HYBiEQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2005,@janemendoza1372,13 hours ago,Good morning po.❤️❤️❤️ / Fr. Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzntS0l-VmUw3kLjsp4AaABAg,UgzntS0l-VmUw3kLjsp4AaABAg,UC9s8J8XMcHsDsVMR4as530g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2006,@NancyMoyano-r7u,14 hours ago,"Happy viewing God's Love 💖  / Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx1nSIkL8LNZbZ28L94AaABAg,Ugx1nSIkL8LNZbZ28L94AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2007,@althealouisedaludado,14 hours ago,"Benguet, FIGHT! FIGHT! FIGHT! 💪🏻 Greetings po mula sa Lokal ng Guisad- PNK Family 💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxBRTezZBDVvY01rGp4AaABAg,UgxBRTezZBDVvY01rGp4AaABAg,UCfOutVv48SrjmibGPJhDjTQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2008,@haielei2869,14 hours ago,Good morning pooo mga kabagis❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwUPJh2VlaOOyLZyKl4AaABAg,UgwUPJh2VlaOOyLZyKl4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2009,@NancyMoyano-r7u,14 hours ago,"...Be hopeful 🙏 / You never know what this day may bring... /  / Watching from Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwODrDoiEpv2hDx97p4AaABAg,UgwODrDoiEpv2hDx97p4AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2010,@marlalopez7652,14 hours ago,Happy viewing po / Local nga KIAS BENGUET,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzeZWKL2flF-ZxHnhl4AaABAg,UgzeZWKL2flF-ZxHnhl4AaABAg,UCm5HNKDjoCvRVaz5rnq99gg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2011,@JovieAcuin-t5p,14 hours ago,Kias locale❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw7wXUUJg3ShWB5KjB4AaABAg,Ugw7wXUUJg3ShWB5KjB4AaABAg,UCKju6iVmPmXqT3W3Jd9-WoQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2012,@NancyMoyano-r7u,14 hours ago,"Good morning po 🌞  / Smile and be happy 🙂 / Be grateful for the good things in your life 🙏 / Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzr4jcvYHO94o2NNIV4AaABAg,Ugzr4jcvYHO94o2NNIV4AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2013,@Glysaanongos,14 hours ago,Good morning po happy watching mula po dito sa lokal ng sayatan distrito ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw_Tn_yVMTfr8fjLe14AaABAg,Ugw_Tn_yVMTfr8fjLe14AaABAg,UC-UY6PxCwbcv5GCmWET07sA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2014,@NancyMoyano-r7u,14 hours ago,"Happy viewing po sa lahat ng mga kapatid pagbati mula po sa lokal ng Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw7S7UcDxel16OWSX94AaABAg,Ugw7S7UcDxel16OWSX94AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2015,@JohnRayMatabang,14 hours ago,Go Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyqPSrXcrFVS49I3VF4AaABAg,UgyqPSrXcrFVS49I3VF4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2016,@CJOlaguer,14 hours ago,"Maligayang panonood sa inyo, mula sa lokal ng Philex Mines!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwz9hvh7W8RVprAU1V4AaABAg,Ugwz9hvh7W8RVprAU1V4AaABAg,UCyCwjyfSct5YCJGawn3SH-g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2017,@Glysaanongos,14 hours ago,Happy watching lokal ng sayatan distrito ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugznh73t1TTkcI7BD9B4AaABAg,Ugznh73t1TTkcI7BD9B4AaABAg,UC-UY6PxCwbcv5GCmWET07sA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2018,@johnreysabado3966,14 hours ago,good morning po happy watching mula po dito sa sayatan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxHzPsmIMI2kHCWrhh4AaABAg,UgxHzPsmIMI2kHCWrhh4AaABAg,UCa3Lttaz6VOaIOf13Fp-Y6A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2019,@gladanongos,15 hours ago,happy watching po from lokal ng sayatan go benguet kalihiman /registry section,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzycxQ9JJm5WZuUD8t4AaABAg,UgzycxQ9JJm5WZuUD8t4AaABAg,UCMjgDyBJsvdwmL1netPYaPQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2020,@clarkpiloneo6778,15 hours ago,HApppyy viewingg po mga kapatidd muula po sa lokal ng La TRinidad!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz_TIffGJdx6_7pEkx4AaABAg,Ugz_TIffGJdx6_7pEkx4AaABAg,UC-rMw-abFKutSmzfhWFDgJw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
