Abroad Ranking
Rank	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	New South Wales	Tayo'y Magsasama Sa Habang Buhay	123000	2 weeks ago	Tayo'y Magsasama Sa Habang Buhay | New South Wales | INCMV AWARDS 2026	https://www.youtube.com/watch?v=VXpC97YXda8	Fetched 05/22/2026, 12:18:38 AM GMT+8
2	San Diego County, California	I Will Serve	71000	2 weeks ago	I Will Serve | San Diego County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vqe138q-k3g	Fetched 05/22/2026, 12:18:38 AM GMT+8
3	Taiwan	Anuman Po Ang Mangyari	62000	2 weeks ago	Anuman Po Ang Mangyari | Taiwan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=zJd7JE1tY8o	Fetched 05/22/2026, 12:18:38 AM GMT+8
4	Eastern Ontario	I Will Always Choose You	38000	2 weeks ago	I Will Always Choose You | Eastern Ontario | INCMV AWARDS 2026	https://www.youtube.com/watch?v=BG18XMjAPgI	Fetched 05/22/2026, 12:18:38 AM GMT+8
5	Northern Europe	Everything Is Possible	8200	2 weeks ago	Everything Is Possible | Northern Europe | INCMV AWARDS 2026	https://www.youtube.com/watch?v=z9mFEB5t2k8	Fetched 05/22/2026, 12:18:38 AM GMT+8
6	Silicon Valley, California	We Are Warriors	8000	2 weeks ago	We Are Warriors | Silicon Valley, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=nk-1NrqjNwo	Fetched 05/22/2026, 12:18:38 AM GMT+8
7	Edmonton	We’re INC For Life	6900	2 weeks ago	We’re INC For Life | Edmonton | INCMV AWARDS 2026	https://www.youtube.com/watch?v=-gMNB9e4rxQ	Fetched 05/22/2026, 12:18:38 AM GMT+8
8	Britain South	One True God, One Faith	6500	2 weeks ago	One True God, One Faith | Britain South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=UQ8Srh0SDRI	Fetched 05/22/2026, 12:18:38 AM GMT+8
9	Northeast California	Each Day	5800	2 weeks ago	Each Day | Northeast California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=d4RSUvZq0CA	Fetched 05/22/2026, 12:18:38 AM GMT+8
10	Victoria, Australia	More Than We Asked For	5400	2 weeks ago	More Than We Asked For | Victoria, Australia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=oWKjNjnv4pk	Fetched 05/22/2026, 12:18:38 AM GMT+8
11	Florida and Caribbean	Taorenai le (A House That Stands)	5200	2 weeks ago	Taorenai le (A House That Stands) | Florida and Caribbean | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GalvMTwQqf4	Fetched 05/22/2026, 12:18:38 AM GMT+8
12	South Central States	No Matter What	4300	2 weeks ago	No Matter What | South Central States | INCMV AWARDS 2026	https://www.youtube.com/watch?v=9EXxQC4XjNw	Fetched 05/22/2026, 12:18:38 AM GMT+8
13	Bay Area California	Deal With This	4200	2 weeks ago	Deal With This | Bay Area California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4xFLBNsNWh4	Fetched 05/22/2026, 12:18:38 AM GMT+8
14	Malaysia	In His Hands	3900	2 weeks ago	In His Hands | Malaysia | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Kr76Q-eZHj4	Fetched 05/22/2026, 12:18:38 AM GMT+8
15	Italy South	Siya Lagi	3200	2 weeks ago	Siya Lagi | Italy South | INCMV AWARDS 2026	https://www.youtube.com/watch?v=KhDP4H3HcbU	Fetched 05/22/2026, 12:18:38 AM GMT+8
16	Italy North	Bumangon Ka	2800	2 weeks ago	Bumangon Ka | Italy North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=98opnCAzt74	Fetched 05/22/2026, 12:18:38 AM GMT+8
17	Singapore	Miracles	2800	2 weeks ago	Miracles | Singapore | INCMV AWARDS 2026	https://www.youtube.com/watch?v=vHqGFuETYF8	Fetched 05/22/2026, 12:18:38 AM GMT+8
18	New Zealand North	Anuman Po Ang Mangyari	2700	2 weeks ago	Anuman Po Ang Mangyari | New Zealand North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=t-DyGa8bUZE	Fetched 05/22/2026, 12:18:38 AM GMT+8
19	Los Angeles County, California	Redeemed	2300	2 weeks ago	Redeemed | Los Angeles County, California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=hm0uaFLQKUk	Fetched 05/22/2026, 12:18:38 AM GMT+8
20	Great Lakes	My Dearest Child	2200	2 weeks ago	My Dearest Child | Great Lakes | INCMV AWARDS 2026	https://www.youtube.com/watch?v=O1n4cC0zz40	Fetched 05/22/2026, 12:18:38 AM GMT+8
21	Virginia & Carolinas	May I Always Be True	2200	2 weeks ago	May I Always Be True | Virginia & Carolinas | INCMV AWARDS 2026	https://www.youtube.com/watch?v=wPETTnVl2sE	Fetched 05/22/2026, 12:18:38 AM GMT+8
22	Orange County California	You Don't Have To Be Alone	2100	2 weeks ago	You Don't Have To Be Alone | Orange County California | INCMV AWARDS 2026	https://www.youtube.com/watch?v=orekVfRKcGs	Fetched 05/22/2026, 12:18:38 AM GMT+8
23	Nagoya, Japan	People Of God Should Continue To Please Him	2000	2 weeks ago	People Of God Should Continue To Please Him | Nagoya, Japan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=lHTiWdPLZzA	Fetched 05/22/2026, 12:18:38 AM GMT+8
