Luzon Ranking
Rank,Entry / District,Song Title,Current Views,Published,Matched Video Title,YouTube URL,Fetched At
1,Benguet,God's Love,62460,2026-04-30T21:00:35-07:00,God's Love | Benguet | INCMV AWARDS 2026,https://www.youtube.com/watch?v=ROa3kbG5M0U,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
2,"Trece Martires City, Cavite",Siya Lagi,38552,2026-04-30T21:00:49-07:00,"Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026",https://www.youtube.com/watch?v=ihukT2TiNwM,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
3,Maynila,"Di Magsasawang Pasalamatan Ka, Ama",27527,2026-04-30T21:00:22-07:00,"Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026",https://www.youtube.com/watch?v=M4k2h6VWlJ0,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
4,"Dasmariñas City, Cavite",Pag-asa Natin Ay Magaganap,26662,2026-04-30T21:00:29-07:00,"Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026",https://www.youtube.com/watch?v=V34WkLFWvmA,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
5,Quezon City,Hindi Natin Kailanman Iisipin,23320,2026-05-04T02:23:57-07:00,Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026,https://www.youtube.com/watch?v=4hJvjpVrAAM,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
6,Pampanga West,I Have You,23070,2026-04-30T21:00:08-07:00,I Have You | Pampanga West | INCMV AWARDS 2026,https://www.youtube.com/watch?v=5uWtu3e7fbw,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
7,"Lingayen, Pangasinan",Anuman Po Ang Mangyari,19177,2026-04-30T21:00:11-07:00,"Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026",https://www.youtube.com/watch?v=A8hClgV1V78,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
8,Batangas North,"Di Magsasawang Pasalamatan Ka, Ama",17494,2026-04-30T21:00:51-07:00,"Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026",https://www.youtube.com/watch?v=jRQ76pIg7cw,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
9,La Union,Everything is Possible with Father,14382,2026-04-30T21:00:47-07:00,Everything is Possible with Father | La Union | INCMV AWARDS 2026,https://www.youtube.com/watch?v=be84unNvvV0,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
10,"Tarlac City, Tarlac",Sa Muling Pagkikita,13570,2026-04-30T21:00:50-07:00,"Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026",https://www.youtube.com/watch?v=frNvB2_tlNo,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
11,Bulacan,Come With Me,13123,2026-04-30T21:01:12-07:00,Come With Me | Bulacan | INCMV AWARDS 2026,https://www.youtube.com/watch?v=x67CgQGVT3Y,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
12,Cavite,Yakap,12330,2026-05-01T18:17:55-07:00,Yakap | Cavite | INCMV AWARDS 2026,https://www.youtube.com/watch?v=Huka7hJAsh8,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
13,Rodriguez,Ipanalangin Mo,12287,2026-04-30T21:00:17-07:00,Ipanalangin Mo | Rodriguez | INCMV AWARDS 2026,https://www.youtube.com/watch?v=GkHCx116xcc,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
14,"San Jose, Mindoro Occidental",Anuman Po Ang Mangyari,11849,2026-04-30T21:00:27-07:00,"Anuman Po Ang Mangyari | San Jose, Mindoro Occidental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=CpXXv3fs0hI,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
15,Albay,"Ama, Kami Ay Sa Iyo Pa Rin",11252,2026-04-30T21:01:06-07:00,"Ama, Kami Ay Sa Iyo Pa Rin | Albay | INCMV AWARDS 2026",https://www.youtube.com/watch?v=wAwGtb7R5fs,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
16,"Paniqui, Tarlac",Yakap,10516,2026-04-30T21:00:16-07:00,"Yakap | Paniqui, Tarlac | INCMV AWARDS 2026",https://www.youtube.com/watch?v=6OJyTteX-7g,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
17,Palawan,Sabi Ni Lola,9838,2026-04-30T21:01:04-07:00,Sabi Ni Lola | Palawan | INCMV AWARDS 2026,https://www.youtube.com/watch?v=rUuEcU77ka4,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
18,Zambales South,Ilagak Ang Pag-asa Sa Biyayang Darating,8489,2026-04-30T21:01:12-07:00,Ilagak Ang Pag-asa Sa Biyayang Darating | Zambales South | INCMV AWARDS 2026,https://www.youtube.com/watch?v=webWHRcDiuI,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
19,CAMANAVA,Pag-asa Natin Ay Magaganap,8325,2026-04-30T21:00:28-07:00,Pag-asa Natin Ay Magaganap | CAMANAVA | INCMV AWARDS 2026,https://www.youtube.com/watch?v=RAqVHEbPSKs,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
20,"Iriga City, Camarines Sur",Anuman Po Ang Mangyari,8195,2026-05-04T02:38:23-07:00,"Anuman Po Ang Mangyari | Iriga City, Camarines Sur | INCMV AWARD 2026",https://www.youtube.com/watch?v=MrD0pX-mTe8,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
21,"Capas, Tarlac",Maglilingkod Pa Rin Ako Sa Diyos,8104,2026-05-03T18:48:38-07:00,"Maglilingkod Pa Rin Ako Sa Diyos | Capas, Tarlac | INCMV AWARDS 2026",https://www.youtube.com/watch?v=k4QEw2OAenQ,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
22,Marikina,Ito Ay Pagsubok Sa Pananampalataya,8007,2026-04-30T21:00:42-07:00,Ito Ay Pagsubok Sa Pananampalataya | Marikina | INCMV AWARDS 2026,https://www.youtube.com/watch?v=YVeH4h6jWJk,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
23,Pampanga East,Galing Sa Iyo,7672,2026-04-30T21:00:34-07:00,Galing Sa Iyo | Pampanga East | INCMV AWARDS2026,https://www.youtube.com/watch?v=O0tKKUbwi_s,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
24,Sta. Rosa Nueva Ecija,Focus,6528,2026-04-30T21:00:31-07:00,Focus | Sta. Rosa Nueva Ecija | INCMV AWARDS 2026,https://www.youtube.com/watch?v=Ijf01YJHytE,"Fetched 05/30/2026, 6:20:59 PM GMT+8"
