Mindanao Ranking
Rank,Entry / District,Song Title,Current Views,Published,Matched Video Title,YouTube URL,Fetched At
1,Zamboanga City,Laan Sa Akin,12600,2026-04-30T21:00:52-07:00,Laan Sa Akin | Zamboanga City | INCMV AWARDS 2026,https://www.youtube.com/watch?v=b6HCZOez12w,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
2,Zamboanga Sibugay,"Ama, Kami Ay Sa Iyo Pa Rin",10404,2026-04-30T21:00:07-07:00,"Ama, Kami Ay Sa Iyo Pa Rin | Zamboanga Sibugay | INCMV AWARDS 2026",https://www.youtube.com/watch?v=6efoFLYt5yU,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
3,Lanao,Anuman Po Ang Mangyari,6217,2026-04-30T21:02:07-07:00,Anuman Po Ang Mangyari | Lanao | INCMV AWARDS 2026,https://www.youtube.com/watch?v=FYLkNK1OqMQ,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
4,Zamboanga del Norte,Maglilingkod Pa Rin Ako Sa Diyos,4889,2026-04-30T21:00:49-07:00,Maglilingkod Pa Rin Ako Sa Diyos | Zamboanga del Norte | INCMV AWARDS 2026,https://www.youtube.com/watch?v=hFLIlZXdjW4,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
5,Agusan del Norte,"Lahat, Posible Sa Ama",4110,2026-05-01T18:01:11-07:00,"Lahat, Posible Sa Ama | Agusan del Norte | INCMV AWARDS 2026",https://www.youtube.com/watch?v=FXsLpyV5Lvo,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
6,Agusan del Sur,Ako'y Ihatid Sa Bayang Banal,3966,2026-05-01T17:53:16-07:00,Ako'y Ihatid Sa Bayang Banal | Agusan del Sur | INCMV AWARDS 2026,https://www.youtube.com/watch?v=sZbkj8hwae0,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
7,"Cagayan De Oro City, Misamis Oriental",Dili Angay Mabalaka (No Need To Worry),3567,2026-04-30T21:00:54-07:00,"Dili Angay Mabalaka (No Need To Worry) | Cagayan De Oro City, Misamis Oriental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=eWZPjfEH388,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
8,"Pagadian City, Zamboanga Del Sur",Anuman Po Ang Mangyari,3101,2026-04-30T21:00:01-07:00,"Anuman Po Ang Mangyari | Pagadian City, Zamboanga Del Sur | INCMV AWARDS 2026",https://www.youtube.com/watch?v=0hku4LqPAJs,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
9,Surigao Del Norte,"Ama, Kami Ay Sa Iyo Pa Rin",2968,2026-04-30T21:00:03-07:00,"Ama, Kami Ay Sa Iyo Pa Rin | Surigao Del Norte | INCMV AWARDS 2026",https://www.youtube.com/watch?v=2uZVcAvOCNo,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
10,"Tandag City, Surigao Del Sur",Brave,2405,2026-04-30T21:00:09-07:00,"Brave | Tandag City, Surigao Del Sur | INCMV AWADS 2026",https://www.youtube.com/watch?v=7xsoRzhtGuA,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
11,Misamis Occidental,Maglilingkod Pa Rin Ako Sa Diyos,2009,2026-04-30T21:32:10-07:00,Maglilingkod Pa Rin Ako Sa Diyos | Misamis Occidental | INCMV AWARDS,https://www.youtube.com/watch?v=9hJaaNK5Vpg,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
12,Cotabato North,Ngayon Na,1677,2026-05-02T07:58:43-07:00,Ngayon Na | Cotabato North | INCMV AWARDS 2026,https://www.youtube.com/watch?v=LAJbQ7A5ZZE,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
13,"Don Carlos, Bukidnon",Masaya,1628,2026-04-30T21:00:42-07:00,"Masaya | Don Carlos, Bukidnon | INCMV AWARDS 2026",https://www.youtube.com/watch?v=_apmEMNj6uQ,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
14,Davao Occidental,Stay Strong,1592,2026-04-30T21:00:29-07:00,Stay Strong | Davao Occidental | INCMV AWARDS 2026,https://www.youtube.com/watch?v=Ub_EdooR4P8,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
15,"Valencia City, Bukidnon",Masaya,1536,2026-05-01T18:38:13-07:00,"Masaya | Valencia City, Bukidnon | INCMV AWARDS 2026",https://www.youtube.com/watch?v=87vnLXXW0u8,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
16,Davao Oriental,"Lahat, Posible Sa Ama",1482,2026-04-30T21:00:45-07:00,"Lahat, Posible Sa Ama | Davao Oriental | INCMV AWARDS 2026",https://www.youtube.com/watch?v=ZGEDxFEiv5E,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
17,Davao Del Sur,Maglilingkod Pa Rin Ako sa Diyos,1303,2026-04-30T22:12:30-07:00,Maglilingkod Pa Rin Ako sa Diyos | Davao Del Sur | INCMV AWARDS 2026,https://www.youtube.com/watch?v=AAcbWXSChU8,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
18,Sultan Kudarat,Maglilingkod Pa Rin Ako Sa Diyos,1268,2026-04-30T21:00:30-07:00,Maglilingkod Pa Rin Ako Sa Diyos | Sultan Kudarat | INCMV AWARDS 2026,https://www.youtube.com/watch?v=EUpHN0FnpP8,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
19,Davao Del Norte,Takbuhin,911,2026-05-04T19:06:54-07:00,Takbuhin | Davao Del Norte | INCMV AWARDS 2026,https://www.youtube.com/watch?v=cmFXZ3uEVO4,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
20,"Koronadal City, South Cotabato",Anuman Po Ang Mangyari,676,2026-04-30T21:00:40-07:00,"Anuman Po Ang Mangyari | Koronadal City, South Cotabato | INCMV AWARDS 2026",https://www.youtube.com/watch?v=XZZukPcJJKo,"Fetched 06/08/2026, 5:18:07 PM GMT+8"
