Philippine Nationwide Ranking
Rank	Region	Entry / District	Song Title	Current Views	Published	Matched Video Title	YouTube URL	Fetched At
1	Luzon	Benguet	God's Love	44578	2026-05-01	God's Love | Benguet | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ROa3kbG5M0U	Fetched 05/21/2026, 12:15:26 AM GMT+8
2	Visayas	Cebu City, Cebu	Ang Pag-awit Sa Iyo Ang Kaaliwan	42725	2026-05-04	Ang Pag-awit Sa Iyo Ang Kaaliwan | Cebu City, Cebu | INCMV AWARDS 2026	https://www.youtube.com/watch?v=HJLauTbonUQ	Fetched 05/21/2026, 12:15:26 AM GMT+8
3	Visayas	Aklan	Lahat, Posible Sa Ama	42344	2026-05-01	Lahat, Posible Sa Ama | Aklan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=TznVRMmBHwI	Fetched 05/21/2026, 12:15:26 AM GMT+8
4	Luzon	Trece Martires City, Cavite	Siya Lagi	38416	2026-05-01	Siya Lagi | Trece Martires City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=ihukT2TiNwM	Fetched 05/21/2026, 12:15:26 AM GMT+8
5	Luzon	Maynila	Di Magsasawang Pasalamatan Ka, Ama	26316	2026-05-01	Di Magsasawang Pasalamatan Ka, Ama | Maynila | INCMV AWARDS 2026	https://www.youtube.com/watch?v=M4k2h6VWlJ0	Fetched 05/21/2026, 12:15:26 AM GMT+8
6	Luzon	Dasmariñas City, Cavite	Pag-asa Natin Ay Magaganap	24794	2026-05-01	Pag-asa Natin Ay Magaganap | Dasmariñas City, Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=V34WkLFWvmA	Fetched 05/21/2026, 12:15:26 AM GMT+8
7	Luzon	Pampanga West	I Have You	20763	2026-05-01	I Have You | Pampanga West | INCMV AWARDS 2026	https://www.youtube.com/watch?v=5uWtu3e7fbw	Fetched 05/21/2026, 12:15:26 AM GMT+8
8	Luzon	Quezon City	Hindi Natin Kailanman Iisipin	20541	2026-05-04	Hindi Natin Kailanman Iisipin | Quezon City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=4hJvjpVrAAM	Fetched 05/21/2026, 12:15:26 AM GMT+8
9	Luzon	Lingayen, Pangasinan	Anuman Po Ang Mangyari	18877	2026-05-01	Anuman Po Ang Mangyari | Lingayen, Pangasinan | INCMV AWARDS 2026	https://www.youtube.com/watch?v=A8hClgV1V78	Fetched 05/21/2026, 12:15:26 AM GMT+8
10	Luzon	Batangas North	Di Magsasawang Pasalamatan Ka, Ama	16605	2026-05-01	Di Magsasawang Pasalamatan Ka, Ama | Batangas North | INCMV AWARDS 2026	https://www.youtube.com/watch?v=jRQ76pIg7cw	Fetched 05/21/2026, 12:15:26 AM GMT+8
11	Luzon	Tarlac City, Tarlac	Sa Muling Pagkikita	12971	2026-05-01	Sa Muling Pagkikita | Tarlac City, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=frNvB2_tlNo	Fetched 05/21/2026, 12:15:26 AM GMT+8
12	Luzon	La Union	Everything is Possible with Father	12231	2026-05-01	Everything is Possible with Father | La Union | INCMV AWARDS 2026	https://www.youtube.com/watch?v=be84unNvvV0	Fetched 05/21/2026, 12:15:26 AM GMT+8
13	Luzon	Cavite	Yakap	12117	2026-05-02	Yakap | Cavite | INCMV AWARDS 2026	https://www.youtube.com/watch?v=Huka7hJAsh8	Fetched 05/21/2026, 12:15:26 AM GMT+8
14	Mindanao	Zamboanga City	Laan Sa Akin	11639	2026-05-01	Laan Sa Akin | Zamboanga City | INCMV AWARDS 2026	https://www.youtube.com/watch?v=b6HCZOez12w	Fetched 05/21/2026, 12:15:26 AM GMT+8
15	Luzon	Rodriguez	Ipanalangin Mo	11445	2026-05-01	Ipanalangin Mo | Rodriguez | INCMV AWARDS 2026	https://www.youtube.com/watch?v=GkHCx116xcc	Fetched 05/21/2026, 12:15:26 AM GMT+8
16	Luzon	San Jose, Mindoro Occidental	Anuman Po Ang Mangyari	10634	2026-05-01	Anuman Po Ang Mangyari | San Jose, Mindoro Occidental | INCMV AWARDS 2026	https://www.youtube.com/watch?v=CpXXv3fs0hI	Fetched 05/21/2026, 12:15:26 AM GMT+8
17	Luzon	Paniqui, Tarlac	Yakap	9806	2026-05-01	Yakap | Paniqui, Tarlac | INCMV AWARDS 2026	https://www.youtube.com/watch?v=6OJyTteX-7g	Fetched 05/21/2026, 12:15:26 AM GMT+8
