Kapisanan Keyword Summary												
Keyword	Matched Comment Rows	Numbers Updated At										
BUKLOD	412	Fetched 05/20/2026, 11:00:00 PM GMT+8										
KADIWA	2178	Fetched 05/20/2026, 11:00:00 PM GMT+8										
BINHI	1558	Fetched 05/20/2026, 11:00:00 PM GMT+8										
PNK	292	Fetched 05/20/2026, 11:00:00 PM GMT+8										
Total Comments	4440											
BUKLOD Comments												
No.	Matched Kapisanan Keyword	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	BUKLOD	@PHEBIE-f7h	1 hour ago	In our Lord God's great POWER, you must BELIEVE!! /  /  /  / BUKLOD OF ATOKGOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxpujwhOUSURgKLRaR4AaABAg	UgxpujwhOUSURgKLRaR4AaABAg	UCNkJMMXP19AJSsNov8Fp3Ag	Fetched 05/20/2026, 11:00:00 PM GMT+8
2	BUKLOD	@joe_arpurganan9809	3 hours ago	Binabati po namin ang aming mahal na Tagapangasiwa ang Kapatid na Ardy Mendoza. Mula po sa Lokal ng Kias Distrito ng Benguet 🤗..CFO Buklod	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxvpgkakRhvdl2PTeR4AaABAg	UgxvpgkakRhvdl2PTeR4AaABAg	UCVI31TSTB165mZe_bC-MOEA	Fetched 05/20/2026, 11:00:00 PM GMT+8
3	BUKLOD	@racqueldaludado1779	3 hours ago	Happy Viewing po mga ka Buklod	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxG4dN1rl-jQB6Se3t4AaABAg	UgxG4dN1rl-jQB6Se3t4AaABAg	UCgZwecFPuKOLF2FdCfR99dw	Fetched 05/20/2026, 11:00:00 PM GMT+8
4	BUKLOD	@dbolangen	3 hours ago	Shout out po sa lahat ng Buklod sa loakan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz-Rgs8h9pU69HHeWV4AaABAg	Ugz-Rgs8h9pU69HHeWV4AaABAg	UCsPr-tv66N0Q3tRGA0LXr4g	Fetched 05/20/2026, 11:00:00 PM GMT+8
5	BUKLOD	@jeanietugad4595	5 hours ago	Masayang panonood sa Kapisanang Buklod ng Atok Gold,,	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwasiof8-BCy_vFh4h4AaABAg	Ugwasiof8-BCy_vFh4h4AaABAg	UC4-hT99A9u-aH7hnm5JCSfg	Fetched 05/20/2026, 11:00:00 PM GMT+8
6	BUKLOD	@joylee1468	6 hours ago	Tayo ang inaasahan / Distrito'y ating suportahan / panonood ating pangunahan / Kahit saan man ang puntahan / ❤mula po sa Kapisanang Buklod / Lokal ng Atok Gold❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw1HxWIiZ5SemP-uj14AaABAg	Ugw1HxWIiZ5SemP-uj14AaABAg	UC7UWPgNV4p4GGKzoeFbHS8g	Fetched 05/20/2026, 11:00:00 PM GMT+8
7	BUKLOD	@joylee1468	6 hours ago	Amin po kayong binabati / Kami’y laging nakangiti / INCMV panoorin palagi / Ating Distrito ating ipagmalaki / Mula po sa Kapisanang Buklod / Lokal ng Atok Gold❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzyFHLZBgnDLJu9IDB4AaABAg	UgzyFHLZBgnDLJu9IDB4AaABAg	UC7UWPgNV4p4GGKzoeFbHS8g	Fetched 05/20/2026, 11:00:00 PM GMT+8
8	BUKLOD	@joylee1468	6 hours ago	Kami po ay bumabati / Huwag nating isantabi / INCMV panoorin palagi / Atin din din itong ibahagi…. / Mula po sa Kapisanang Buklod / Lokal ng Atok Gold❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzA0d971jZmisyb1-t4AaABAg	UgzA0d971jZmisyb1-t4AaABAg	UC7UWPgNV4p4GGKzoeFbHS8g	Fetched 05/20/2026, 11:00:00 PM GMT+8
9	BUKLOD	@joylee1468	6 hours ago	Tayong mga ina / laging nagkakaisa / pangunahan mga anak na / panoorin INCMV na / ❤Kapisanang Buklod❤ / Lokal ng Atok Gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwuPyrP2AqlUDj6Wod4AaABAg	UgwuPyrP2AqlUDj6Wod4AaABAg	UC7UWPgNV4p4GGKzoeFbHS8g	Fetched 05/20/2026, 11:00:00 PM GMT+8
10	BUKLOD	@joylee1468	6 hours ago	Tayong nasa Kapisanang Buklod / Inaasahang mapakagbigay lugod / Makipagkaisa sa Panonood / Sa INCMV tayo’y  manood❤❤ / Mula po sa Kapisanang Buklod / Lokal ng Atok Gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzNVnEhIFFB0dRkB2t4AaABAg	UgzNVnEhIFFB0dRkB2t4AaABAg	UC7UWPgNV4p4GGKzoeFbHS8g	Fetched 05/20/2026, 11:00:00 PM GMT+8
11	BUKLOD	@joylee1468	6 hours ago	saan man mapunta  / laging inaalala / INCMV panoorin pa / lahing binibigyang halaga❤❤❤ / mula po sa Kapisanang Buklod / Lokal ng Atok Gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxoccRbBtooroFGIhN4AaABAg	UgxoccRbBtooroFGIhN4AaABAg	UC7UWPgNV4p4GGKzoeFbHS8g	Fetched 05/20/2026, 11:00:00 PM GMT+8
12	BUKLOD	@PHEBIE-f7h	7 hours ago	Magandang hapon po sa lahat ng nanonood. / Listening to this envigorating song from Benguet District / ❤❤❤Buklod of AtokGold❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyKvC-Y0NDQGV0nYhl4AaABAg	UgyKvC-Y0NDQGV0nYhl4AaABAg	UCNkJMMXP19AJSsNov8Fp3Ag	Fetched 05/20/2026, 11:00:00 PM GMT+8
13	BUKLOD	@levimabutas6628	9 hours ago	Hello po sa mga  buklod sa lokal ng baguio city	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwgTbcUSMo7-uRmm-p4AaABAg	UgwgTbcUSMo7-uRmm-p4AaABAg	UC5QGmbYttC7jRxZsWK-3kew	Fetched 05/20/2026, 11:00:00 PM GMT+8
14	BUKLOD	@ConeyLictawa	11 hours ago	Shout out po sa lahat ng nasa kapisanang buklod sa lokal ng Baguio City	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZdlVfcO2uTzYmyql4AaABAg	UgwZdlVfcO2uTzYmyql4AaABAg	UC0Bso7cZ9ifKQKZlEPIzLHw	Fetched 05/20/2026, 11:00:00 PM GMT+8
15	BUKLOD	@ariannefontanos108	11 hours ago	mula po sa kapisanang buklod happy vewing po mula sa megaroyale village distrito ng Benguet 💚	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgypPeTCWtftr9scPkh4AaABAg	UgypPeTCWtftr9scPkh4AaABAg	UCOGoSx0AuMW7k4FRgfC7oaA	Fetched 05/20/2026, 11:00:00 PM GMT+8
16	BUKLOD	@iya-k7j	11 hours ago	❤Hold on /  / to your /  / Faith❤ /  / 😇😇😇 /  / Kapisanang Buklod /  / lokal ng atok gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwQFpq_ewogoyQh52V4AaABAg	UgwQFpq_ewogoyQh52V4AaABAg	UC_R2GfmFAjE8k8DgEjmtv7g	Fetched 05/20/2026, 11:00:00 PM GMT+8
17	BUKLOD	@jeanietugad4595	11 hours ago	Shout out sa mga nasa Kapisanang Buklod, masayang panonood,, Atok Gold..	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxnSuT8yV5Qff2B2Wp4AaABAg	UgxnSuT8yV5Qff2B2Wp4AaABAg	UC4-hT99A9u-aH7hnm5JCSfg	Fetched 05/20/2026, 11:00:00 PM GMT+8
18	BUKLOD	@joy-d3n4u	12 hours ago	😊😊😊 / masayang 😁😆 morning po / 🎉🎉happy viewing po mga kapatid / Patuloy pong sumusuporta at nakikiisa /  ang aming lokal / Kapisanang Buklod / ❤lokal ng atok gold❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzCMSpXqCARZ4xJ6dp4AaABAg	UgzCMSpXqCARZ4xJ6dp4AaABAg	UCdSHn503pqXwdsqmLKce88g	Fetched 05/20/2026, 11:00:00 PM GMT+8
19	BUKLOD	@joy-d3n4u	12 hours ago	“The world thinks your Lost, / But in His Love so Divine, / Our God Has  / Always your Back..” / ❤❤ / Kapisanang Buklod / Lokal ng Atok Gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0bqQ_WisYejlM5YZ4AaABAg	Ugw0bqQ_WisYejlM5YZ4AaABAg	UCdSHn503pqXwdsqmLKce88g	Fetched 05/20/2026, 11:00:00 PM GMT+8
20	BUKLOD	@joy-d3n4u	12 hours ago	masayang 😁😆 morning po / 🎉🎉happy viewing po mga kapatid / Patuloy pong sumusuporta at nakikiisa /  ang aming lokal / Kapisanang Buklod / ❤lokal ng atok gold❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxJVeSMS7P62DasiyN4AaABAg	UgxJVeSMS7P62DasiyN4AaABAg	UCdSHn503pqXwdsqmLKce88g	Fetched 05/20/2026, 11:00:00 PM GMT+8
21	BUKLOD	@joy-d3n4u	12 hours ago	😊😊😊 / Good day po / masayang panonood po / shout out po sa mga masisipag na /  mga maytungkulin❤❤❤ / Kapisanang Buklod / lokal ng atok gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxYPt7FzzAxn1N6I5l4AaABAg	UgxYPt7FzzAxn1N6I5l4AaABAg	UCdSHn503pqXwdsqmLKce88g	Fetched 05/20/2026, 11:00:00 PM GMT+8
22	BUKLOD	@joy-d3n4u	12 hours ago	🎉🎉 /  Benguet on the Top!!! / ❤❤❤. / INCMC / Kapisanang Buklod / Lokal ng Atok Gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx3nbWCA_qxnWou7Ap4AaABAg	Ugx3nbWCA_qxnWou7Ap4AaABAg	UCdSHn503pqXwdsqmLKce88g	Fetched 05/20/2026, 11:00:00 PM GMT+8
23	BUKLOD	@mayvehn	13 hours ago	❤Hold on / to your / Faith❤ / 😇😇😇 / Kapisanang Buklod / lokal ng atok gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzibxdhP9BOt2xpxHN4AaABAg	UgzibxdhP9BOt2xpxHN4AaABAg	UCivhdJ2CQeLK8tlG7Wh2BSQ	Fetched 05/20/2026, 11:00:00 PM GMT+8
24	BUKLOD	@mayvehn	13 hours ago	hello po / masayang / panonood po / INCMV Benguet / mula po sa  / buklod / lokal ng atok gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxQDJQKNawYHhbIrap4AaABAg	UgxQDJQKNawYHhbIrap4AaABAg	UCivhdJ2CQeLK8tlG7Wh2BSQ	Fetched 05/20/2026, 11:00:00 PM GMT+8
25	BUKLOD	@mayvehn	13 hours ago	happy / viewing po / laging / sumusuporta po / mula sa buklod / lokal ng atok gold	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxXNhj6gLWcy795uRV4AaABAg	UgxXNhj6gLWcy795uRV4AaABAg	UCivhdJ2CQeLK8tlG7Wh2BSQ	Fetched 05/20/2026, 11:00:00 PM GMT+8
