Officer Name	Selected YouTube Username	Selected Account Comments	All Candidate Account Counts
Yancy	@Takoshenchie	16	@Takoshenchie: 16, @YibbyAI: 2, @YancyNacion: 2, @YancyNacion-n5u: 2
Jonie	@jonieyonga-an5239	313	@jonieyonga-an5239: 313
Lui	@luibustamante9493	245	@maluisabustamante2873: 0, @luibustamante9493: 245
Zky	@Its_Handsome_Kurtzky5442	23	@kurtzkylaruan1665: 0, @Its_Handsome_Kurtzky5442: 23
Elle	@ellec01914	0	@ellec01914: 0
Kim	kimberlysarmiento1034	57	kimberlysarmiento1034: 57
Gwyneth	gwynethcayabyab5981	204	gwynethcayabyab5981: 204
Rhyndylyn	almazanrhyndylyn	377	almazanrhyndylyn: 377
Febei	@kristine7303	136	@kristine7303: 136
Henry	@henrycaranto2644	230	@henrycaranto2644: 230
Juls	@Julskie28	197	@Julskie28: 197
Jas	@jasminedaludado7262	145	@jasminedaludado7262: 145
Gelo	@gelo4828	74	@gelo4828: 74
Anle	@johnreylucio8970	352	@johnreylucio8970: 352
Meryll	@meryllsagampod7982	27	@meryllsagampod7982: 27
Wink	@winkdelarosa2397	95	@winkdelarosa2397: 95
Ysay	@yzabelgayadan6013	75	@yzabelgayadan6013: 75
Jazy	@KaJaz-r3n	65	@jazerashleypacardo8593: 6, @MugglesOut0506: 0, @MugglesOut: 3, @KaJaz-r3n: 65
Rejomar	@RejomarTayaban	125	@RejomarTayaban: 125
Yayi	@AllenAndreiBelen	0	@AllenAndreiBelen: 0
