No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Ambiong,@DJDaniwis,14 minutes ago,"Greetings to all brethren at sa mga Binhi District Officers, lokal po ng Ambiong happy viewing poo💙💙",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyX5LsyV-6kV9j_Fy14AaABAg,UgyX5LsyV-6kV9j_Fy14AaABAg,UCciByNaKApcsQBcHkjrrwcA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
2,Ambiong,@DJDaniwis,50 minutes ago,"Pagbati po sa Kapisanang Binhi at sa Binhi District Officers, Happy Viewing po sa ating lahat lokal po ng Ambiong 🇮🇹🎉🎉",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwW3OV4E_msLOspsyp4AaABAg,UgwW3OV4E_msLOspsyp4AaABAg,UCciByNaKApcsQBcHkjrrwcA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
3,Ambiong,@DJDaniwis,1 hour ago,"Magandang Gabi po mga mahal po naming mga kapatid at sa mga Binhi District Officers, muli po ay tuloy po ang pagsuporta po ng Lokal Ng Ambiong 💚🤍♥️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxGHc15Pp7of8mSBJN4AaABAg,UgxGHc15Pp7of8mSBJN4AaABAg,UCciByNaKApcsQBcHkjrrwcA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
4,Ambiong,@DionisioDaniwis,3 hours ago,Ambiong  / Happy Viewing always po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzF7xExeaVKW3Pn4aF4AaABAg,UgzF7xExeaVKW3Pn4aF4AaABAg,UC81uwKgxJfh2fp26YMvmruA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
5,Ambiong,@gidszen,7 hours ago,Watching from ambiong,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwpUSiwWFTCRKS82dF4AaABAg,UgwpUSiwWFTCRKS82dF4AaABAg,UC9K-261nHwhdEwJQ6D4H2UQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
6,Ambiong,@ajoyvaldez2856,7 hours ago,"Happy lunchtime mga kapatid ❤ Tara nuod na po ulit tayu , pagbati po Mula sa lokal Ng Ambiong ❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyaCcYJrFnOYn0uFXF4AaABAg,UgyaCcYJrFnOYn0uFXF4AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
7,Ambiong,@dansolomondaniwis98,10 hours ago,"Good morning po sa lahat ng kapatid, always watching from lokal ng Ambiong",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwrIpBHrHgnT0Qaqq54AaABAg,UgwrIpBHrHgnT0Qaqq54AaABAg,UCMyOD8ulZ7hECicbByo2ZVQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
8,Ambiong,@ajoyvaldez2856,10 hours ago,Patuloy lang Po sa panunuod mga kapatid ❤  / Pagbati Po Mula sa lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugys-CyIRQ6tU_LWv394AaABAg,Ugys-CyIRQ6tU_LWv394AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
9,Ambiong,@meriamdaniwis7940,11 hours ago,"Good Morning po..viewing here fr Ambiong Lokal,Benguet District..Go,go Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxbA2sclPRNZpObzPV4AaABAg,UgxbA2sclPRNZpObzPV4AaABAg,UCJd30xrIZSKtM-TXmHe02WQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
10,Ambiong,@ajoyvaldez2856,13 hours ago,Good morning mga kapatid Tara nuod na po ulit tayu ❤  / 'Push & Fight ' lokal Ng Ambiong ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgylGkslIiscjm74mBJ4AaABAg,UgylGkslIiscjm74mBJ4AaABAg,UCcJYRuhoAeAgOVzUzLgRdmg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
11,Ambiong,@MarkOracion-e7z,13 hours ago,"HAPPY VIEWING PO MGA KAPATID MILA SA, / LOKAL NG AMBIONG "" PUSSSH AND FIGHTTT!!!""",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwiYVlMjnag6Nn7kMF4AaABAg,UgwiYVlMjnag6Nn7kMF4AaABAg,UCHiFdgj9SantBp2q821RfLQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
