No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Ambiong	@ajoyvaldez2856	15 minutes ago	Tara nuod na po mga kapatid ❤ pagbati Po Mula sa lokal Ng Ambiong ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxxtsx_iDN2c5AObH54AaABAg	Ugxxtsx_iDN2c5AObH54AaABAg	UCcJYRuhoAeAgOVzUzLgRdmg	Fetched 05/24/2026, 8:00:01 PM GMT+8
2	Ambiong	@ajoyvaldez2856	15 minutes ago	Tara nuod na po mga kapatid ❤ pagbati Po Mula sa lokal Ng Ambiong ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxKd_r2VM4r30NwFqF4AaABAg	UgxKd_r2VM4r30NwFqF4AaABAg	UCcJYRuhoAeAgOVzUzLgRdmg	Fetched 05/24/2026, 8:00:01 PM GMT+8
3	Ambiong	@remarosemaniwag-peg-ang5745	22 minutes ago	Watching from Lokal ng Ambiong😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw5NgNo7EJbjR6n33Z4AaABAg	Ugw5NgNo7EJbjR6n33Z4AaABAg	UCG3uj4nm0sVNWam1_BzTv_g	Fetched 05/24/2026, 8:00:01 PM GMT+8
4	Ambiong	@jaysonpeg-ang2386	22 minutes ago	GO BENGUET, from lokal ng AMBIONG,push and fight mga kapatid :)	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzjfElpz0XtT2xRjER4AaABAg	UgzjfElpz0XtT2xRjER4AaABAg	UCrzgzEX4kSwGTQVgqRpMuMg	Fetched 05/24/2026, 8:00:01 PM GMT+8
5	Ambiong	@khristinerosec.tabelin3847	24 minutes ago	Happy Viewing po from Kalihiman-Lokal ng Ambiong❤🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyU4JJnKu6TJwPa0KJ4AaABAg	UgyU4JJnKu6TJwPa0KJ4AaABAg	UC0l9sh-LyNj5UdDziMecmPA	Fetched 05/24/2026, 8:00:01 PM GMT+8
6	Ambiong	@remarosemaniwag-peg-ang5745	24 minutes ago	Go Benguet! Lokal ng Ambiong	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXKyynv2V2JfLrxS94AaABAg	UgwXKyynv2V2JfLrxS94AaABAg	UCG3uj4nm0sVNWam1_BzTv_g	Fetched 05/24/2026, 8:00:01 PM GMT+8
7	Ambiong	@remarosemaniwag-peg-ang5745	25 minutes ago	Go Benguet! Lokal ng Ambiong	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx4WAjfRfOmrTQiZLJ4AaABAg	Ugx4WAjfRfOmrTQiZLJ4AaABAg	UCG3uj4nm0sVNWam1_BzTv_g	Fetched 05/24/2026, 8:00:01 PM GMT+8
8	Ambiong	@vincenavidad3366	1 hour ago	Happy viewing po from Lokal ng Ambiong❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxiXVDLu6sWIXCQAnR4AaABAg	UgxiXVDLu6sWIXCQAnR4AaABAg	UChAD-BIMp8SCgp1sYLH-XYw	Fetched 05/24/2026, 8:00:01 PM GMT+8
9	Ambiong	@joy_magenta	1 hour ago	Happy viewing po sa mga kapatid na nasa kalihim /registry, from lokal ng ambiong	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz20_f54fsro-vuFmJ4AaABAg	Ugz20_f54fsro-vuFmJ4AaABAg	UCN5QHoPkSE50Ymv1jcnm41g	Fetched 05/24/2026, 8:00:01 PM GMT+8
10	Ambiong	@joy_magenta	1 hour ago	Happy viewing po sa mga kapatid na nasa kalihim /registry, from lokal ng ambiong	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzA3myW1G4w7a0RJFN4AaABAg	UgzA3myW1G4w7a0RJFN4AaABAg	UCN5QHoPkSE50Ymv1jcnm41g	Fetched 05/24/2026, 8:00:01 PM GMT+8
11	Ambiong	@remarosemaniwag-peg-ang5745	1 hour ago	Pagbati po mula sa Kalihiman ng Lokal ng Ambiong😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzdQYxfTWjf2mutQyd4AaABAg	UgzdQYxfTWjf2mutQyd4AaABAg	UCG3uj4nm0sVNWam1_BzTv_g	Fetched 05/24/2026, 8:00:01 PM GMT+8
12	Ambiong	@khristinerosec.tabelin3847	1 hour ago	Gooo Benguett🎉❤ /  / Happy Viewing po from Lokal ng Ambiong❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw2qHUA6YlrSRch36l4AaABAg	Ugw2qHUA6YlrSRch36l4AaABAg	UC0l9sh-LyNj5UdDziMecmPA	Fetched 05/24/2026, 8:00:01 PM GMT+8
13	Ambiong	@khristinerosec.tabelin3847	4 hours ago	Happy Viewing po from Lokal ng Ambiong🎉❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgykOmdpiGsKd07rQfl4AaABAg	UgykOmdpiGsKd07rQfl4AaABAg	UC0l9sh-LyNj5UdDziMecmPA	Fetched 05/24/2026, 8:00:01 PM GMT+8
