No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Atok Gold,@Jermiejade,11 days ago,Kami Po ay bumabati sa lahat Ng MT Ng LOKAL NG ATOK GOLD BENGUET,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCYTdLfC5aSgYz30V4AaABAg,UgyCYTdLfC5aSgYz30V4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
2,Atok Gold,@Jermiejade,11 days ago,Naimbag nga rabii kakabsat Mula sa LoKAL Ng ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwdpw-uA8-IrZFUT154AaABAg,Ugwdpw-uA8-IrZFUT154AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
3,Atok Gold,@Jermiejade,11 days ago,Proud viewers here Mula sa LoKAL Ng ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyUvDsK5n6k23MyhY54AaABAg,UgyUvDsK5n6k23MyhY54AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
4,Atok Gold,@Jermiejade,11 days ago,Keep on watching from LOKAL NG ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy3XcN7fnQQkWd-pzZ4AaABAg,Ugy3XcN7fnQQkWd-pzZ4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
5,Atok Gold,@Jermiejade,11 days ago,Fighting till di end go BENGUET Mula sa LoKAL Ng ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgysX2wPPi9qt9MYKLF4AaABAg,UgysX2wPPi9qt9MYKLF4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
6,Atok Gold,@Jermiejade,11 days ago,Happy viewing Po Mula sa LoKAL Ng ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw5DedmL3M_hSqHqYt4AaABAg,Ugw5DedmL3M_hSqHqYt4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
7,Atok Gold,@Jermiejade,11 days ago,Full support from lOKAL ATOK GOLD BENGUET shout out sa masusugid na manonoood Hanggang sa hulk,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXjhXMM-3fc_SEcz54AaABAg,UgwXjhXMM-3fc_SEcz54AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
8,Atok Gold,@Jermiejade,11 days ago,Gogogo BENGUET Mula sa LoKAL Ng ATOK GOLD BENGUET,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw_DwNrzu7QPU2xAUB4AaABAg,Ugw_DwNrzu7QPU2xAUB4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
9,Atok Gold,@Jermiejade,11 days ago,Yes BENGUET Mula sa LoKAL Ng ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxHRralglhAwX4ZfhF4AaABAg,UgxHRralglhAwX4ZfhF4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
10,Atok Gold,@Jermiejade,11 days ago,I'm proud viewers here Mula sa LoKAL Ng ATOK GOLD,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy_NMY1c5S5NLvbunN4AaABAg,Ugy_NMY1c5S5NLvbunN4AaABAg,UCZ6UJXSjEyimpxsNE0rYrBw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
