No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Atok Gold	@Jermiejade	6 days ago	Kami Po ay bumabati sa lahat Ng MT Ng LOKAL NG ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCYTdLfC5aSgYz30V4AaABAg	UgyCYTdLfC5aSgYz30V4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
2	Atok Gold	@Jermiejade	6 days ago	Naimbag nga rabii kakabsat Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwdpw-uA8-IrZFUT154AaABAg	Ugwdpw-uA8-IrZFUT154AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
3	Atok Gold	@Jermiejade	6 days ago	Proud viewers here Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyUvDsK5n6k23MyhY54AaABAg	UgyUvDsK5n6k23MyhY54AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
4	Atok Gold	@Jermiejade	6 days ago	Keep on watching from LOKAL NG ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy3XcN7fnQQkWd-pzZ4AaABAg	Ugy3XcN7fnQQkWd-pzZ4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
5	Atok Gold	@Jermiejade	6 days ago	Fighting till di end go BENGUET Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgysX2wPPi9qt9MYKLF4AaABAg	UgysX2wPPi9qt9MYKLF4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
6	Atok Gold	@Jermiejade	6 days ago	Happy viewing Po Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw5DedmL3M_hSqHqYt4AaABAg	Ugw5DedmL3M_hSqHqYt4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
7	Atok Gold	@Jermiejade	6 days ago	Full support from lOKAL ATOK GOLD BENGUET shout out sa masusugid na manonoood Hanggang sa hulk	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXjhXMM-3fc_SEcz54AaABAg	UgwXjhXMM-3fc_SEcz54AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
8	Atok Gold	@Jermiejade	6 days ago	Gogogo BENGUET Mula sa LoKAL Ng ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw_DwNrzu7QPU2xAUB4AaABAg	Ugw_DwNrzu7QPU2xAUB4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
9	Atok Gold	@Jermiejade	6 days ago	Yes BENGUET Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxHRralglhAwX4ZfhF4AaABAg	UgxHRralglhAwX4ZfhF4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
10	Atok Gold	@Jermiejade	6 days ago	I'm proud viewers here Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy_NMY1c5S5NLvbunN4AaABAg	Ugy_NMY1c5S5NLvbunN4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
11	Atok Gold	@Jermiejade	6 days ago	May Oras pa go BENGUET Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy9Wz2AClSqZbaG1iB4AaABAg	Ugy9Wz2AClSqZbaG1iB4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
12	Atok Gold	@Jermiejade	6 days ago	Habol pa Po Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgykB4e8G4yBrbTzY0V4AaABAg	UgykB4e8G4yBrbTzY0V4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
13	Atok Gold	@Jermiejade	6 days ago	Happy viewing Po Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyFZQrcudM0TgmUB7V4AaABAg	UgyFZQrcudM0TgmUB7V4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
14	Atok Gold	@Jermiejade	6 days ago	Go BENGUET top 1 spot Mula sa LoKAL Ng ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwVfyo5w6Ah2YeoDhl4AaABAg	UgwVfyo5w6Ah2YeoDhl4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
15	Atok Gold	@Jermiejade	6 days ago	Keep on watching from LOKAL NG ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxhIQ7Wp3n8pyD-uVJ4AaABAg	UgxhIQ7Wp3n8pyD-uVJ4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
16	Atok Gold	@Jermiejade	6 days ago	Kami ay lubos na nakikipagkaiisa Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzv5FETFg2e421Hxqh4AaABAg	Ugzv5FETFg2e421Hxqh4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
17	Atok Gold	@Jermiejade	6 days ago	Kami Po ay bumabati sa lahat Ng MT Ng LOKAL NG ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyf2kBCAv90hVWOCzJ4AaABAg	Ugyf2kBCAv90hVWOCzJ4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
18	Atok Gold	@Jermiejade	6 days ago	Naimbag nga rabii kakabsat Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzd7FRfRDbIiL37vzp4AaABAg	Ugzd7FRfRDbIiL37vzp4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
19	Atok Gold	@Jermiejade	6 days ago	Keep on watching from LOKAL NG ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyY7r5iBXhVbA4a6X94AaABAg	UgyY7r5iBXhVbA4a6X94AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
20	Atok Gold	@Jermiejade	6 days ago	Ajah fighting BENGUET Mula sa LoKAL Ng ATOK GOLD	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwojJgAyQ4p6XdpV6B4AaABAg	UgwojJgAyQ4p6XdpV6B4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
21	Atok Gold	@Jermiejade	6 days ago	Big support from lOKAL ATOK GOLD BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyoD2wwfmL-gc3R3-d4AaABAg	UgyoD2wwfmL-gc3R3-d4AaABAg	UCZ6UJXSjEyimpxsNE0rYrBw	Fetched 06/04/2026, 6:00:05 PM GMT+8
