No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Atok Gold,@Lxzaaaaa,13 minutes ago,Go Benguet!!❤❤ /  / Support po from Lokal ng Atok Gold✨🌷,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy_3BTS7RRq4xiZK5N4AaABAg,Ugy_3BTS7RRq4xiZK5N4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
2,Atok Gold,@Lxzaaaaa,30 minutes ago,"Good evening po sa ating lahat, happy watching po from Lokal ng Atok Gold✨🌷",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxIpwLptbn-DIznQPJ4AaABAg,UgxIpwLptbn-DIznQPJ4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
3,Atok Gold,@jeanietugad4595,46 minutes ago,"Halina mga kapatid,, rewatching po  tayo,, mula sa Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxmfme7ekXNrTD1hh94AaABAg,Ugxmfme7ekXNrTD1hh94AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4,Atok Gold,@jeanietugad4595,48 minutes ago,"Pagbati sa lahat,, Happy viewing,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzUy7nM6pYOjTP-JgZ4AaABAg,UgzUy7nM6pYOjTP-JgZ4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
5,Atok Gold,@jeanietugad4595,48 minutes ago,"Sa mga kapatid na Scan,, maligayang panonood,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxNg0I7UcqNt0ZeXnV4AaABAg,UgxNg0I7UcqNt0ZeXnV4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6,Atok Gold,@jeanietugad4595,50 minutes ago,"Shout out sa lahat ng Maytungkulin,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyPz9QSYs-2BLiyo4t4AaABAg,UgyPz9QSYs-2BLiyo4t4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
7,Atok Gold,@jeanietugad4595,52 minutes ago,"Masayang panonood sa lahat, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyBPravn_FOefdkNDB4AaABAg,UgyBPravn_FOefdkNDB4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
8,Atok Gold,@jeanietugad4595,53 minutes ago,"Shout out sa lahat ng Sambahayan,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxzm-puM7ywx2YMLYB4AaABAg,Ugxzm-puM7ywx2YMLYB4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
9,Atok Gold,@jeanietugad4595,54 minutes ago,"Pagbati sa lahat,, happy watching,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyIsaCsjalbQnQlfyt4AaABAg,UgyIsaCsjalbQnQlfyt4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
10,Atok Gold,@jeanietugad4595,1 hour ago,"Pagbati sa kapisanang Buklod,, masayang panonood,, Atok Gold,, Kalihiman/ Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz_89UQ15M9zbvDIzx4AaABAg,Ugz_89UQ15M9zbvDIzx4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
11,Atok Gold,@jeanietugad4595,1 hour ago,"Lets go,, support Benguet on Top,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzOhpJnNH2rfgUAxkt4AaABAg,UgzOhpJnNH2rfgUAxkt4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
12,Atok Gold,@jeanietugad4595,1 hour ago,"Shout out sa lahat ng kapatid,, happy viewing,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyFP_B1-37lIXnE5IV4AaABAg,UgyFP_B1-37lIXnE5IV4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
13,Atok Gold,@jeanietugad4595,1 hour ago,"God's love,, happy watching,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwq639fRqBO83M77qF4AaABAg,Ugwq639fRqBO83M77qF4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
14,Atok Gold,@lvrxliza16,1 hour ago,Road 53k viewss🎉 go Benguet!!❤ /  /  / Support po from Lokal ng Atok Gold✨,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMpn3faaIHXsP9OAV4AaABAg,UgwMpn3faaIHXsP9OAV4AaABAg,UCDT1iWYM0xpyuHmGQYI0O2A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
15,Atok Gold,@lvrxliza16,1 hour ago,Happy viewing po from Lokal ng Atok Gold✨🌷,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzjbb5rhz5xoB2Zjbt4AaABAg,Ugzjbb5rhz5xoB2Zjbt4AaABAg,UCDT1iWYM0xpyuHmGQYI0O2A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
16,Atok Gold,@jeanietugad4595,3 hours ago,"Shout out sa lahat ng kapatid sa Benguet,, happy watching,, Atok Gold, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyhpQ_AQTu8MOBbFiZ4AaABAg,UgyhpQ_AQTu8MOBbFiZ4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
17,Atok Gold,@jeanietugad4595,3 hours ago,"Benguet fight, fight,fight,, Atok Gold,, Kalihiman/Registry..",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzZkxgMgHoW1dS63TN4AaABAg,UgzZkxgMgHoW1dS63TN4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
18,Atok Gold,@jeanietugad4595,3 hours ago,"Mula sa lokal ng Atok Gold,, Kalihiman/Registry,, happy viewing sa lahat.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwf6UJYijtuQWxFLsd4AaABAg,Ugwf6UJYijtuQWxFLsd4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
19,Atok Gold,@jeanietugad4595,3 hours ago,Masayang panonood sa lahat....Atok Gold..,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzl4wooNsU4zFviDqJ4AaABAg,Ugzl4wooNsU4zFviDqJ4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
20,Atok Gold,@jeanietugad4595,3 hours ago,"Benguet fly to the Top,, God's love,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzHzRic3h5j5OZ02Z14AaABAg,UgzHzRic3h5j5OZ02Z14AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
21,Atok Gold,@jeanietugad4595,3 hours ago,"Good afternoon sa lahat,, happy watching,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxinVH0daokBty4S1t4AaABAg,UgxinVH0daokBty4S1t4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22,Atok Gold,@lvrxliza16,4 hours ago,Road 52k viewss🎉 go Benguet!!  /  /  / Support po from Lokal ng Atok Gold✨🌷,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0bm5f6mU1H1vlHXl4AaABAg,Ugw0bm5f6mU1H1vlHXl4AaABAg,UCDT1iWYM0xpyuHmGQYI0O2A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
23,Atok Gold,@jeanietugad4595,5 hours ago,"Mga kapatid manood na po muli tayo,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyT1DXaTKPOBOSry754AaABAg,UgyT1DXaTKPOBOSry754AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
24,Atok Gold,@jeanietugad4595,5 hours ago,"Strike,, Benguet fly fly to the Top,, happy viewing,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgygomltQY_ZWhAgDSx4AaABAg,UgygomltQY_ZWhAgDSx4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
25,Atok Gold,@jeanietugad4595,6 hours ago,"Hello mga kapatid na nasa Kalihiman/Registry,, Rewatching na po tayo,, mula sa lokal ng Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzdpauj0fOdW6yufvp4AaABAg,Ugzdpauj0fOdW6yufvp4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26,Atok Gold,@Lxzaaaaa,6 hours ago,Happy viewing po mula sa Lokal ng Atok Gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxxKvZ7yZaauacT37V4AaABAg,UgxxKvZ7yZaauacT37V4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
27,Atok Gold,@juliansicmaten4936,7 hours ago,Happy viewing mga kapatid.  From lokal ng atok gold,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0pYtKKvDLH1purX14AaABAg,Ugw0pYtKKvDLH1purX14AaABAg,UCJaCCnvNXDW3QqufbXJYLog,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
28,Atok Gold,@Lxzaaaaa,8 hours ago,Road 52k views🎉🎉 go Benguet!❤ /  /  /  / Support po from Lokal ng Atok Gold✨🌷,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzb0UVSXdd0YT-4WhF4AaABAg,Ugzb0UVSXdd0YT-4WhF4AaABAg,UC-MTBqslPrXeabiRe4UpQxw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
29,Atok Gold,@jeanietugad4595,9 hours ago,"Lets support our very own Benguet District,, fight,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCPRa3ochOWXhw8A54AaABAg,UgyCPRa3ochOWXhw8A54AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
30,Atok Gold,@jeanietugad4595,9 hours ago,"Continue watching brethren,, lets fly Benguet to the top,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxN8jzgUOA3srHRcNp4AaABAg,UgxN8jzgUOA3srHRcNp4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
31,Atok Gold,@jeanietugad4595,9 hours ago,"Fight,, Benguet,,mula sa Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyyQJV9NOJbW1TW1Nx4AaABAg,UgyyQJV9NOJbW1TW1Nx4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
32,Atok Gold,@jeanietugad4595,9 hours ago,"Come on mga nasa Kadiwa ng Atok Gold,, Happy watching,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPGLNprLpWoDzqkXZ4AaABAg,UgxPGLNprLpWoDzqkXZ4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
33,Atok Gold,@jeanietugad4595,9 hours ago,"Halina mga kapatid,, tuloy lang po sa panonood,, Kalihiman/Registry,, Atok Gold.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxezHL2gSXNe15yyuN4AaABAg,UgxezHL2gSXNe15yyuN4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
34,Atok Gold,@jeanietugad4595,9 hours ago,"Brethren,, lets support Benguet to the Top,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzruQPTHQ6Dqjx4rqB4AaABAg,UgzruQPTHQ6Dqjx4rqB4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
35,Atok Gold,@jeanietugad4595,9 hours ago,"Maligayang panonood sa lahat,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdJsIjQ1e4yoqyDyl4AaABAg,UgwdJsIjQ1e4yoqyDyl4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
36,Atok Gold,@jeanietugad4595,9 hours ago,"Lets goo Atok Gold,, happy watching,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwslBnxWVDafmtJTLh4AaABAg,UgwslBnxWVDafmtJTLh4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
37,Atok Gold,@jeanietugad4595,9 hours ago,"Benguet to the Top,, God's Love,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzWmmhF4Q1dJKxL-lN4AaABAg,UgzWmmhF4Q1dJKxL-lN4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
38,Atok Gold,@jeanietugad4595,9 hours ago,"Sabayan po natin ang maganda at masayang awitin,, Atok Gold,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXYpXON6pHKFmowox4AaABAg,UgwXYpXON6pHKFmowox4AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
39,Atok Gold,@jeanietugad4595,9 hours ago,"Hello Atok Gold,, gooo,, masayang panonood,, Kalihiman/Registry.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyaGNruKI1coxtzau54AaABAg,UgyaGNruKI1coxtzau54AaABAg,UC4-hT99A9u-aH7hnm5JCSfg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
