No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Aurora Hill,@KarenMaliwat-d6e,11 hours ago,go benguet go aurora hilll,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyxHsATGMDKaTgVjyl4AaABAg,UgyxHsATGMDKaTgVjyl4AaABAg,UCfVbKf43f2Pt1KjlPjUIWjw,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
2,Aurora Hill,@KarenMaliwat-d6e,11 hours ago,go benguet go aurora hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxCG3MLfT5bK6HIOrx4AaABAg,UgxCG3MLfT5bK6HIOrx4AaABAg,UCfVbKf43f2Pt1KjlPjUIWjw,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
3,Aurora Hill,@KarenMaliwat-d6e,11 hours ago,go benguet go aurora hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx_x7IkM26bbGhJgC14AaABAg,Ugx_x7IkM26bbGhJgC14AaABAg,UCfVbKf43f2Pt1KjlPjUIWjw,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
4,Aurora Hill,@KarenMaliwat-d6e,11 hours ago,go benguet go aurora hill,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzKnP-Uy5qd6iN1oal4AaABAg,UgzKnP-Uy5qd6iN1oal4AaABAg,UCfVbKf43f2Pt1KjlPjUIWjw,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
5,Aurora Hill,@femanzano786,2 days ago,Happy watching to all brethren...! From local ng Aurora Hill Distrito nG Benguet!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx18fw4-z-ZdPXqoBB4AaABAg,Ugx18fw4-z-ZdPXqoBB4AaABAg,UCSO8wW0Z68rjkiARMOmA7IA,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
6,Aurora Hill,@dexiecasiquin9200,2 days ago,Good morning Benguet  / From Aurora Hill 🥰,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwg9Ixl8x8va54A74J4AaABAg,Ugwg9Ixl8x8va54A74J4AaABAg,UCySPbBwfAlUiuJK_0vMpMow,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
7,Aurora Hill,@dexiecasiquin9200,2 days ago,Good morning Benguet  / From Aurora Hill 🥰,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx1JjNdGjfxchx8GNZ4AaABAg,Ugx1JjNdGjfxchx8GNZ4AaABAg,UCySPbBwfAlUiuJK_0vMpMow,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
8,Aurora Hill,@dexiecasiquin9200,2 days ago,Good morning Benguet  / From Aurora Hill 🥰,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxbXfCYTmwdvIOH_qh4AaABAg,UgxbXfCYTmwdvIOH_qh4AaABAg,UCySPbBwfAlUiuJK_0vMpMow,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
9,Aurora Hill,@dexiecasiquin9200,2 days ago,Good morning Benguet  / From Aurora Hill 🥰,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz9-sDD_kMTjosPl2d4AaABAg,Ugz9-sDD_kMTjosPl2d4AaABAg,UCySPbBwfAlUiuJK_0vMpMow,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
10,Aurora Hill,@Rainiejinyoung,2 days ago,"Hello po sa lahat ng kapatid .lokal ng Aurora Hill, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzhvbCs-l4XznVNWtF4AaABAg,UgzhvbCs-l4XznVNWtF4AaABAg,UCOa-IYL-EYjViSxYqFUOYGw,"Fetched 05/30/2026, 9:00:04 PM GMT+8"
