No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Baguio City,@jojovillamor1162,10 days ago,Watching po from lokal ng Baguio city❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdYrUisYd5SgipeyN4AaABAg,UgwdYrUisYd5SgipeyN4AaABAg,UCsX0DAm3QC9n23HR6kbFodQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
2,Baguio City,@Adliselb,10 days ago,Go....go...go.....fight fight fight... Baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzpLkt5TIFMw5r9NTp4AaABAg,UgzpLkt5TIFMw5r9NTp4AaABAg,UCqdcIovy1nUIY294NOXH8LQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
3,Baguio City,@elenamercado703,11 days ago,# Baguio City ❤ Benguet / # God's ❤❤❤ bigger than the ocean and brighter than the sun🎉🎉🎉🎉🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyB0lvKqU0hiX2U9MF4AaABAg,UgyB0lvKqU0hiX2U9MF4AaABAg,UCNozFZrWKHQlsgIMWyFmFIA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
4,Baguio City,@daisycastaneda7972,11 days ago,GOD'S LOVE IS  TRULY AMAZING WITH ALL THE BLESSINGS AROUND US  /  WATCHING  ALL THE WAY FROM BAGUIO CITY.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwWaYyXdXCxpuf4qOB4AaABAg,UgwWaYyXdXCxpuf4qOB4AaABAg,UCD3NlGp4eLYcR2RGC7FwnKQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
5,Baguio City,@elenamercado703,11 days ago,# Blessed by God's ❤❤❤ Baguio City Benguet / Pakikipagkaisa sa pamamahala,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwom1KEO_4IZQR-o_x4AaABAg,Ugwom1KEO_4IZQR-o_x4AaABAg,UCNozFZrWKHQlsgIMWyFmFIA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
6,Baguio City,@danielsangalang4416,11 days ago,KADIWA gisingg!!! patuloy po kaming nakikipag kaisa sa pangunguna po ng aming Destinado at kapisanang KADIWA sa Lokal ng Baguio City.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzHDP5UiH02mhySqtV4AaABAg,UgzHDP5UiH02mhySqtV4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
7,Baguio City,@cherrydevera8251,11 days ago,Congratulations po sa bumubuo ng INCMV ng Benguet.. 🎉🎉🎉More INCMV to come🎉🎉🎉 / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx8cjFmziIdx01EQ9R4AaABAg,Ugx8cjFmziIdx01EQ9R4AaABAg,UCrod3zHPNdFZBv-HyVuLJ3g,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
8,Baguio City,@elenamercado703,11 days ago,"# Baguio City / # Benguet / # God's❤❤❤❤ / Sa lahat ng MT ng lokal, Let's Go!!!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVr3ePeA0LSKPGuL54AaABAg,UgzVr3ePeA0LSKPGuL54AaABAg,UCNozFZrWKHQlsgIMWyFmFIA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
9,Baguio City,@danielsangalang4416,11 days ago,Patuloy po kaming makikipag kaisa sa lahat ng gawain sa loob ng INC sa pangunguna po ng aming NAMAMAHALA. /  / Kalihiman/Registry  / KADIWA / Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyEdp_F4ViRGhyMbkp4AaABAg,UgyEdp_F4ViRGhyMbkp4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
10,Baguio City,@elenamercado703,11 days ago (edited),Baguio City ❤ Benguet / Congratulations sa mga top performers ng Benguet / # God's ❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyjoV0uDnlDQro2xJN4AaABAg,UgyjoV0uDnlDQro2xJN4AaABAg,UCNozFZrWKHQlsgIMWyFmFIA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
11,Baguio City,@hazelhalican2149,11 days ago,Tuloy tuloy parin po ang pakikipagkaisa mga kapatid 💚  /  / Baguio City 🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyK2tYa6fDZv7YBjg54AaABAg,UgyK2tYa6fDZv7YBjg54AaABAg,UC5JK1YaWy38yVHiRtJW47sw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
12,Baguio City,@EleanorMislang,11 days ago,Congratulations po sa lahat ng mga bumubuo s ating MV.pati n din po s lahat ng mga kapatid n sumuporta gang dulo.from lokal ng Baguio city ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxp6p8NsluiNWs3fWB4AaABAg,Ugxp6p8NsluiNWs3fWB4AaABAg,UC-SX89r34HKuT1KlN8J7WTA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
13,Baguio City,@elenamercado703,11 days ago,# Baguio City ❤ Benguet / # God's ❤❤❤❤ / Let's GO!!!!! Let's GO!!!!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzWboWmcLry9L1w3aR4AaABAg,UgzWboWmcLry9L1w3aR4AaABAg,UCNozFZrWKHQlsgIMWyFmFIA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
