No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Baguio City,@jojovillamor1162,5 days ago,Watching po from lokal ng Baguio city❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdYrUisYd5SgipeyN4AaABAg,UgwdYrUisYd5SgipeyN4AaABAg,UCsX0DAm3QC9n23HR6kbFodQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
2,Baguio City,@boholhazeline05,6 days ago,God's love Benguet on the top  / Happy viewing po from Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxoCsxkbIiLSOioGPp4AaABAg,UgxoCsxkbIiLSOioGPp4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
3,Baguio City,@Adliselb,6 days ago,Go....go...go.....fight fight fight... Baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzpLkt5TIFMw5r9NTp4AaABAg,UgzpLkt5TIFMw5r9NTp4AaABAg,UCqdcIovy1nUIY294NOXH8LQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
4,Baguio City,@boholhazeline05,6 days ago,God's love  / Benguet 💚🤍❤ / Magandang hapon po happy watching po mula sa Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJCIUdenJABXEZ-M94AaABAg,UgwJCIUdenJABXEZ-M94AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
5,Baguio City,@boholhazeline05,6 days ago,Benguet on the top  / Full support po from Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugymz_XBdOSVelxOCVt4AaABAg,Ugymz_XBdOSVelxOCVt4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
6,Baguio City,@boholhazeline05,6 days ago,Benguet on the top  / Pagbati po mula sa Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyVKDhfwBFty4VGXPd4AaABAg,UgyVKDhfwBFty4VGXPd4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
7,Baguio City,@boholhazeline05,6 days ago,God's love Benguet on the top  / Full support po from Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwtKVdxz2PMXztZ6NN4AaABAg,UgwtKVdxz2PMXztZ6NN4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
8,Baguio City,@boholhazeline05,6 days ago,Viewing po from Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwntaaefR9Ys0YYzPJ4AaABAg,UgwntaaefR9Ys0YYzPJ4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
9,Baguio City,@boholhazeline05,6 days ago,Go Benguet on the top  / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzAlUS5NkefygB5Gz94AaABAg,UgzAlUS5NkefygB5Gz94AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
10,Baguio City,@boholhazeline05,6 days ago,Happy watching po  / From finance officer ❤ / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwAohmvQ_zLt7CymCR4AaABAg,UgwAohmvQ_zLt7CymCR4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
11,Baguio City,@boholhazeline05,6 days ago,Greetings from Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwooicrTQ8KMv9M6RZ4AaABAg,UgwooicrTQ8KMv9M6RZ4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
12,Baguio City,@boholhazeline05,6 days ago,God's love  / Benguet fight fight fight  / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyE6f2qqp7IE3k-ekx4AaABAg,UgyE6f2qqp7IE3k-ekx4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
13,Baguio City,@boholhazeline05,6 days ago,Magandang gabi po mga kapatid pagbati po mula sa Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw970JCINMHLMlIfJN4AaABAg,Ugw970JCINMHLMlIfJN4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
14,Baguio City,@boholhazeline05,6 days ago,God's love Benguet on the top  / Pagbati po mula sa Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzeNV9nk_yW9hgwI4Z4AaABAg,UgzeNV9nk_yW9hgwI4Z4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
15,Baguio City,@boholhazeline05,6 days ago,Happy watching Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyjkRjdvxN8GCVQn4J4AaABAg,UgyjkRjdvxN8GCVQn4J4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
16,Baguio City,@boholhazeline05,6 days ago,Happy viewing Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxGy9BCE8NQ_DborXd4AaABAg,UgxGy9BCE8NQ_DborXd4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
17,Baguio City,@boholhazeline05,6 days ago,Benguet on the top  / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyXNSwPoZJn3dSNzQV4AaABAg,UgyXNSwPoZJn3dSNzQV4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
18,Baguio City,@boholhazeline05,6 days ago,Happy viewing / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwox-BvZNSbu29S8Pd4AaABAg,Ugwox-BvZNSbu29S8Pd4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
19,Baguio City,@boholhazeline05,6 days ago,Lokal ng Baguio City Gising na Gising  / Fight Fight Fight!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxYvl8wJr7Pxkkn0TN4AaABAg,UgxYvl8wJr7Pxkkn0TN4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
20,Baguio City,@boholhazeline05,6 days ago,Happy viewing Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxfMDWX5fVceIv4LHZ4AaABAg,UgxfMDWX5fVceIv4LHZ4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
21,Baguio City,@boholhazeline05,6 days ago,Benguet on the top  / Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy9u22krPzb0Euqy5t4AaABAg,Ugy9u22krPzb0Euqy5t4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
22,Baguio City,@boholhazeline05,6 days ago,Lokal ng Baguio City ❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyTG-KGrjx1cJWa1114AaABAg,UgyTG-KGrjx1cJWa1114AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
23,Baguio City,@boholhazeline05,6 days ago,Let go Benguet fight fight fight  / Pagbati po mula sa mga finance officer Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoaRbXkWdX-6VfYbJ4AaABAg,UgzoaRbXkWdX-6VfYbJ4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
24,Baguio City,@boholhazeline05,6 days ago,God's love ❤❤ / Benguet fight fight fight  / Pagbati po mula sa Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgymLrCJ4ko5OdBnUhh4AaABAg,UgymLrCJ4ko5OdBnUhh4AaABAg,UCNxuEnfuDgIEBwBrpx_Pl3w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
25,Baguio City,@NancyMoyano-r7u,6 days ago,Let's go Benguet ❤❤❤ / Lokal ng Baguio City 💖,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzosQIVATpnOykWAd54AaABAg,UgzosQIVATpnOykWAd54AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
26,Baguio City,@NancyMoyano-r7u,6 days ago,INCMV God's Love Benguet ❤❤❤ / Lokal ng Baguio City 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9BzwhG8fWeFsx-Il4AaABAg,Ugx9BzwhG8fWeFsx-Il4AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
27,Baguio City,@NancyMoyano-r7u,6 days ago,"Happy viewing po mga Kapatid  / Baguio City, Benguet ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0_txF5StUQXj1NLl4AaABAg,Ugw0_txF5StUQXj1NLl4AaABAg,UCIZH5g0o-lHJidrq7pdjV5w,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
28,Baguio City,@GreySantino,6 days ago,happy viewing po dito sa lokal ng baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyg5IsbF6ryiZQYF-d4AaABAg,Ugyg5IsbF6ryiZQYF-d4AaABAg,UCgmH8Vmu8sdTmagiLke9JGA,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
29,Baguio City,@danielsangalang4416,6 days ago,Happy viewing po.  / Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxwIW2dQijucCrig2l4AaABAg,UgxwIW2dQijucCrig2l4AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
30,Baguio City,@danielsangalang4416,6 days ago,Baguio City FIGHT!!!! / Kalihiman/Registry / KADIWA,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyPTfg4t_T6_Veofj94AaABAg,UgyPTfg4t_T6_Veofj94AaABAg,UCd83g5cGg_Es6Qyl02u7jdw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
