No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Balakbak	@AtamlenieA	7 days ago	Happy Viewing po 😊 / Mula po sa Balakbak-Kibungan Extension	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx08ghPk0pShkbH51Z4AaABAg	Ugx08ghPk0pShkbH51Z4AaABAg	UCvGbuhwopeLtI-hBsve9e6w	Fetched 06/04/2026, 10:00:04 PM GMT+8
2	Balakbak	@user-oe4ii6ey8u	7 days ago	Happy viewing po. /  / Mula po sa Lokal ng Balakbak, Kinungan Extension	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz9rsAZk2TCXd04DX54AaABAg	Ugz9rsAZk2TCXd04DX54AaABAg	UCvWCkl_7OY5EbPZp2TGwzMw	Fetched 06/04/2026, 10:00:04 PM GMT+8
3	Balakbak	@user-oe4ii6ey8u	7 days ago	Happy viewing po. /  / Mula po sa Lokal ng Balakbak, Kinungan Extension	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzp6xYrYnERgdpf48F4AaABAg	Ugzp6xYrYnERgdpf48F4AaABAg	UCvWCkl_7OY5EbPZp2TGwzMw	Fetched 06/04/2026, 10:00:04 PM GMT+8
4	Balakbak	@SAURA-b7h	8 days ago	Happy viewing po mga kapatid ❣️ / Mula po sa lokal ng Balakbak  / Distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzCaCF4O_gOo0DaAtF4AaABAg	UgzCaCF4O_gOo0DaAtF4AaABAg	UCPc1V0wr8b0zbayVcpl6Ldw	Fetched 06/04/2026, 10:00:04 PM GMT+8
5	Balakbak	@Ermida-z8i	9 days ago	Happy viewing Po mga Kapatid,,,Mula Po sa lokal Ng balakbak kibungan extension Po,,,,,Distrito Ng Benguet,,,,,,,	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZyGYryORDXwP0lpl4AaABAg	UgwZyGYryORDXwP0lpl4AaABAg	UC2-gVy-SeybxaSrYtuG6Bgg	Fetched 06/04/2026, 10:00:04 PM GMT+8
6	Balakbak	@ShadeRexzylTelio	9 days ago	Magandang gabi po sa lahat❤, Happy viewing po mula po sa Lokal ng Balakbak-Kibungan Extension Distrito ng Benguet....Go Benguet🎉..FIGHT! FIGHT! FIGHT!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwH7Pqid1EI5nfFzGF4AaABAg	UgwH7Pqid1EI5nfFzGF4AaABAg	UC2h5mwET6YHlEFf-N1vkLMg	Fetched 06/04/2026, 10:00:04 PM GMT+8
7	Balakbak	@ShadeRexzylTelio	9 days ago	Good evening po, happy viewing po mula po sa lokal ng Balakbak-kibungan Extension Distrito ng Benguet - Go Benguet🎉...FIGHT! FIGHT! FIGHT!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz6xNhU6X5JX8D-Y0x4AaABAg	Ugz6xNhU6X5JX8D-Y0x4AaABAg	UC2h5mwET6YHlEFf-N1vkLMg	Fetched 06/04/2026, 10:00:04 PM GMT+8
8	Balakbak	@FRIANJOYBOADILLA	9 days ago	Good evening po sa lahat ng mga Kapatid mula sa Balakbak - Kibungan Extension....Go Benguet!🎉...FIGHT! FIGHT! FIGHT!❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw6-f2YkyD8nDcDVwZ4AaABAg	Ugw6-f2YkyD8nDcDVwZ4AaABAg	UCQkzdUjb2Wm1agNOWFy5VfQ	Fetched 06/04/2026, 10:00:04 PM GMT+8
9	Balakbak	@RichardBoadilla-c9x	9 days ago	Happy Viewing Balakbak Kibungan Ext	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyTxASJesuQefcoSn94AaABAg	UgyTxASJesuQefcoSn94AaABAg	UCNIAMtQdWtiXjfaG8D1RQhw	Fetched 06/04/2026, 10:00:04 PM GMT+8
10	Balakbak	@FridayAtam	9 days ago	Happy viewing po local po ng balakbak kibungan extension	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDiJhx_CSoGKe1nHx4AaABAg	UgyDiJhx_CSoGKe1nHx4AaABAg	UCs_9wsUOKrNAs0NGn4M9JUA	Fetched 06/04/2026, 10:00:04 PM GMT+8
