No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Balatoc,@lolitalupo2567,7 days ago,Happy viewing po balatoc Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwwgRFTWcxUR6iORVJ4AaABAg.AXIbQwSbpBdAXIbh5DSnsN,UgwwgRFTWcxUR6iORVJ4AaABAg.AXIbQwSbpBdAXIbh5DSnsN,UCMHSU-Ccke9NPYtkBiXAHjg,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
2,Balatoc,@VirgieCalpito-s3j,8 days ago,"Go, Benguet Go Local ng Balatoc shout po",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxhmaODyCx2TbnKSHp4AaABAg,UgxhmaODyCx2TbnKSHp4AaABAg,UC8E59mU5WEpLghl92dx4itw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
3,Balatoc,@VirgieCalpito-s3j,8 days ago,"Go, Go Benguet watching po Local ng Balatoc",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw3AHa_gLl2d7UQggR4AaABAg,Ugw3AHa_gLl2d7UQggR4AaABAg,UC8E59mU5WEpLghl92dx4itw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
4,Balatoc,@MichElleAlferez-i7c,8 days ago,Happy viewing mga kapatid ❤️ from lokal ng Balatoc,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx0ra0KRNmHVwxZNQN4AaABAg,Ugx0ra0KRNmHVwxZNQN4AaABAg,UCd5RBp69POSkfOYTlzZbxDw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
5,Balatoc,@alferezmarjorie,8 days ago,Good Evening po mga kapatid! Keep watching po! 🌹 From Locale of BALATOC. 🌷,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzAIs-kQS5IZ1QnLsx4AaABAg,UgzAIs-kQS5IZ1QnLsx4AaABAg,UC5fNNvYCMCDsteUajIom10g,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
6,Balatoc,@LorealLagdao,9 days ago (edited),"Pagbati po mula sa kapisanang kadiwa dto sa Lokal ng Balatoc.  / #TAGUMPAY, BENGUET!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyfIt416LMXyGO4E3J4AaABAg,UgyfIt416LMXyGO4E3J4AaABAg,UCBJ-tIjN8X7cn9Pa6oZNvpQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
7,Balatoc,@JhunJhii,9 days ago,Viewing from Lokal ng Balatoc,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwAl-EFk8vBNc8vYsR4AaABAg,UgwAl-EFk8vBNc8vYsR4AaABAg,UCLW8q2x3lIOGiwH0OpfDXzw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
8,Balatoc,@LorealLagdao,9 days ago,Go Benguet ilaban natin to ☝️💛 /  / Viewing from Balatoc 😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxOxnwW_g8u51TF4-J4AaABAg,UgxOxnwW_g8u51TF4-J4AaABAg,UCBJ-tIjN8X7cn9Pa6oZNvpQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
9,Balatoc,@VirgieCalpito-s3j,9 days ago,Local ng Balatoc  Benguet po viewing n po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwcvAK8szXGQDHPCod4AaABAg,UgwcvAK8szXGQDHPCod4AaABAg,UC8E59mU5WEpLghl92dx4itw,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
10,Balatoc,@alferezmarjorie,9 days ago (edited),Good Afternoon po mga kapatid! Happy Viewing po! /  / ~ Locale of Balatoc,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzrPfMKLfxIz_5sSfF4AaABAg,UgzrPfMKLfxIz_5sSfF4AaABAg,UC5fNNvYCMCDsteUajIom10g,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
11,Balatoc,@gabriellehernandez6361,9 days ago,Go Benguet ! From balatoc,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVEaASER6ZdMqrDVx4AaABAg,UgzVEaASER6ZdMqrDVx4AaABAg,UCylnsqG8oZ5h0g9ce8muBzg,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
