No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	City Camp	@Michael-w8j8v	3 hours ago	It's God's Love from lokal ng City Camp po..	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7_X4yDAvqI3_4Hy54AaABAg	Ugy7_X4yDAvqI3_4Hy54AaABAg	UCfhuQZhT9DsqVKNCoKhqvPg	Fetched 05/21/2026, 11:00:03 PM GMT+8
2	City Camp	@evangelinedomingo3096	9 hours ago	Greetings from Lokal ng City Camp...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx995pVZT_9XbUMu0l4AaABAg	Ugx995pVZT_9XbUMu0l4AaABAg	UC2N0YT_sTOyNJyLR0SZBDUA	Fetched 05/21/2026, 11:00:03 PM GMT+8
3	City Camp	@alfeotadifa6957	12 hours ago	#God's Love  / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyNmmi4ZnRAsF-K24t4AaABAg	UgyNmmi4ZnRAsF-K24t4AaABAg	UCc6xDLun7Fl2t2_QbJOrnIQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
4	City Camp	@alfeotadifa6957	12 hours ago	#God's Love  / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwk8PIrtKAyqoIu2G54AaABAg	Ugwk8PIrtKAyqoIu2G54AaABAg	UCc6xDLun7Fl2t2_QbJOrnIQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
5	City Camp	@alfeotadifa6957	12 hours ago	#God's Love  / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwU4J8ueENARYKYEZF4AaABAg	UgwU4J8ueENARYKYEZF4AaABAg	UCc6xDLun7Fl2t2_QbJOrnIQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
6	City Camp	@alfeotadifa6957	12 hours ago	#God's Love  / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz1Cg1QLPDbcrUrB9l4AaABAg	Ugz1Cg1QLPDbcrUrB9l4AaABAg	UCc6xDLun7Fl2t2_QbJOrnIQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
7	City Camp	@alfeotadifa6957	12 hours ago	#God's Love  / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxaZ_NJ02kUkoCExqN4AaABAg	UgxaZ_NJ02kUkoCExqN4AaABAg	UCc6xDLun7Fl2t2_QbJOrnIQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
8	City Camp	@alfeotadifa6957	12 hours ago	#God's Love  / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwgh0E6rMgPQrPm42d4AaABAg	Ugwgh0E6rMgPQrPm42d4AaABAg	UCc6xDLun7Fl2t2_QbJOrnIQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
9	City Camp	@rovelintipay7457	1 day ago	#GodsLove / #GoBenguet / Mula sa Lokal ng City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyqNIZ8RRTI3N_hsoN4AaABAg	UgyqNIZ8RRTI3N_hsoN4AaABAg	UCK6aIH06PIgctrC72wMsdAg	Fetched 05/21/2026, 11:00:03 PM GMT+8
10	City Camp	@rovelintipay7457	1 day ago	Good evening po mga kapatid viewing from Lokal ng City Camp / #goBenguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugza8pCSN_oAR4yYzlp4AaABAg	Ugza8pCSN_oAR4yYzlp4AaABAg	UCK6aIH06PIgctrC72wMsdAg	Fetched 05/21/2026, 11:00:03 PM GMT+8
11	City Camp	@rajeferddeguzman6414	1 day ago	Go Benguet, City Camp	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwfn5G1HgM1rSyBPlV4AaABAg	Ugwfn5G1HgM1rSyBPlV4AaABAg	UCTBj1fkUN7Dy0tb3YYinyKQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
12	City Camp	@theacamba-z6q	1 day ago	God's Loveee  /  / Go go go Benguet  /  / Full support from lokal ng City Camp!!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyt69sI9bicOc1a-lF4AaABAg	Ugyt69sI9bicOc1a-lF4AaABAg	UCV572zTQRRxPwvT8x1baNxw	Fetched 05/21/2026, 11:00:03 PM GMT+8
13	City Camp	@TheaCamba	1 day ago	Happy viewing po muli mula sa lokal ng City Camp!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7rnZ6BHqi8T1Ctz94AaABAg	Ugy7rnZ6BHqi8T1Ctz94AaABAg	UCsaAXxBGdUkAnz-EdAnHCMQ	Fetched 05/21/2026, 11:00:03 PM GMT+8
14	City Camp	@jasonxofficial1870	1 day ago	Nice music Video from lokal ng city camp distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzteYlIp_xZ1OSXj6V4AaABAg	UgzteYlIp_xZ1OSXj6V4AaABAg	UCH5PTqFb2Mwjh4BIrZ1da0A	Fetched 05/21/2026, 11:00:03 PM GMT+8
15	City Camp	@jasonxofficial1870	1 day ago	I love this video. Mula po sa lokal ng city camp Distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzkPxF6hTcCktPag-J4AaABAg	UgzkPxF6hTcCktPag-J4AaABAg	UCH5PTqFb2Mwjh4BIrZ1da0A	Fetched 05/21/2026, 11:00:03 PM GMT+8
