No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Gibraltar	@Elfrelramos1822	2 hours ago	Lokal ng Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxeGU7KnZBA9i83LuF4AaABAg	UgxeGU7KnZBA9i83LuF4AaABAg	UCZmt76d6FWcTnoECNPqm0Tg	Fetched 05/26/2026, 8:00:05 PM GMT+8
2	Gibraltar	@Elfrelramos1822	2 hours ago	Go go Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxzhIdHSDHui1oCyM54AaABAg	UgxzhIdHSDHui1oCyM54AaABAg	UCZmt76d6FWcTnoECNPqm0Tg	Fetched 05/26/2026, 8:00:05 PM GMT+8
3	Gibraltar	@rjhayvaldez	6 hours ago	happy viewing po from  lokal ng Gibraltar ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyQIaFq2COrkrDvyLF4AaABAg	UgyQIaFq2COrkrDvyLF4AaABAg	UC4MepxpRf7PEvAD3HR8UYwA	Fetched 05/26/2026, 8:00:05 PM GMT+8
4	Gibraltar	@thebautistafamvlog	13 hours ago	Galing ng mga Kapatid natin. / Gwapo ng Ka Chris Dyan ah.. / Hi lady, Zedrick & Sofia naki birthday pala kau Dyan mga anak ha?  / From lokal ng Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyeZKHunxiW-QTSUD54AaABAg	UgyeZKHunxiW-QTSUD54AaABAg	UC_JCmccJgnOUaey4toL_XMQ	Fetched 05/26/2026, 8:00:05 PM GMT+8
5	Gibraltar	@thebautistafamvlog	14 hours ago	Happy Tuesday! / Greetings from Lokal ng Gibraltar.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxQfJcKJ0vAf5U2uf54AaABAg	UgxQfJcKJ0vAf5U2uf54AaABAg	UC_JCmccJgnOUaey4toL_XMQ	Fetched 05/26/2026, 8:00:05 PM GMT+8
6	Gibraltar	@thebautistafamvlog	14 hours ago	Good morning po. / Happy viewing po sa lahat ng mga Kapatid. / From Bautista Family / Lokal ng Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwV61Iqz8uIrlQAYUR4AaABAg	UgwV61Iqz8uIrlQAYUR4AaABAg	UC_JCmccJgnOUaey4toL_XMQ	Fetched 05/26/2026, 8:00:05 PM GMT+8
7	Gibraltar	@thebautistafamvlog	14 hours ago	Good morning po mga Kapatid. / From lokal ng Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxLdvXDwbK33hlqVIJ4AaABAg	UgxLdvXDwbK33hlqVIJ4AaABAg	UC_JCmccJgnOUaey4toL_XMQ	Fetched 05/26/2026, 8:00:05 PM GMT+8
8	Gibraltar	@AvelinaMolintas	21 hours ago	Happy  viewing  po from Gibraltar Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgytMXMBQU0nwc1nolJ4AaABAg	UgytMXMBQU0nwc1nolJ4AaABAg	UCjz-ONITb91UwW1Qcdaj2LA	Fetched 05/26/2026, 8:00:05 PM GMT+8
9	Gibraltar	@JosieAbanag	22 hours ago	Happy Viewing po - local ng Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx3TLwYoZdYZqrBv7p4AaABAg	Ugx3TLwYoZdYZqrBv7p4AaABAg	UC8VvEq0VMoEAWZZ4fuIlrtg	Fetched 05/26/2026, 8:00:05 PM GMT+8
10	Gibraltar	@RosaMananquil	22 hours ago	Happy viewing po sa lahat!!! mula sa Lokal ng Gibraltar❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyBS9fZ2Zr5kfwfYr54AaABAg	UgyBS9fZ2Zr5kfwfYr54AaABAg	UC7Qddl_qGdRMJsL2Xr8M-mg	Fetched 05/26/2026, 8:00:05 PM GMT+8
11	Gibraltar	@catherinecruz2673	22 hours ago	Go Benguet! Happy viewing po mula sa lokal ng Gibraltar❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxmwA2fT05j16JerSB4AaABAg	UgxmwA2fT05j16JerSB4AaABAg	UCJjS2uRok9tcQwe_vGDbbTQ	Fetched 05/26/2026, 8:00:05 PM GMT+8
12	Gibraltar	@JesusHermosa-q3m	22 hours ago	Happy viewing from lokal ng Gibraltar  distrito ng benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyyiHn5aPgiBC1jS-x4AaABAg	UgyyiHn5aPgiBC1jS-x4AaABAg	UC2qnrFzYX7GIWlVfCCYN1ew	Fetched 05/26/2026, 8:00:05 PM GMT+8
13	Gibraltar	@criseldavillenagatchalian9885	22 hours ago	Happy viewing po mga kapatid, mula sa Lokal ng Gibraltar, Distrito ng Benguet po..	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwhv424qwQ0W_pp9n94AaABAg	Ugwhv424qwQ0W_pp9n94AaABAg	UCP7DKiUJtpD2ErpWYH0aDig	Fetched 05/26/2026, 8:00:05 PM GMT+8
14	Gibraltar	@ericsamson8001	23 hours ago	From Lokal ng Gibraltar 😀	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZDq0yA_UYSfMERS94AaABAg.AXBB6HiHcbTAXEFsNNFiRA	UgwZDq0yA_UYSfMERS94AaABAg.AXBB6HiHcbTAXEFsNNFiRA	UCXhCdvOECDr5bIw_BF4-NGw	Fetched 05/26/2026, 8:00:05 PM GMT+8
15	Gibraltar	@arlenebalbin6623	1 day ago	Happy viewing po mula sa lokal ng gibraltar, Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzH7TaZ1UpApKxNOh14AaABAg	UgzH7TaZ1UpApKxNOh14AaABAg	UCWQcH5xUETtZvdbqLKGipmA	Fetched 05/26/2026, 8:00:05 PM GMT+8
16	Gibraltar	@JebrenaUllah	1 day ago	Lokal ng gibraltar gogogo	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwcDfQDaN0AYRPIB2F4AaABAg	UgwcDfQDaN0AYRPIB2F4AaABAg	UCGX6DmgYxhd_tGIriGYEQaA	Fetched 05/26/2026, 8:00:05 PM GMT+8
17	Gibraltar	@JebrenaUllah	1 day ago	Gogogo gibraltar lokal	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyMWTb7W8NtvfBecRp4AaABAg	UgyMWTb7W8NtvfBecRp4AaABAg	UCGX6DmgYxhd_tGIriGYEQaA	Fetched 05/26/2026, 8:00:05 PM GMT+8
18	Gibraltar	@Elfrelramos1822	1 day ago	Go Gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxWTgfiM6xswJaXNTd4AaABAg	UgxWTgfiM6xswJaXNTd4AaABAg	UCZmt76d6FWcTnoECNPqm0Tg	Fetched 05/26/2026, 8:00:05 PM GMT+8
19	Gibraltar	@jebunbun1971	1 day ago	Bumabati po km sa lahat ng Kapatid sa LOKAL ng Gibraltar distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzGqU-vFg2sW_aVoGV4AaABAg	UgzGqU-vFg2sW_aVoGV4AaABAg	UCOXXRLaMS-G28cP70jD9oxg	Fetched 05/26/2026, 8:00:05 PM GMT+8
20	Gibraltar	@RESTYDUMAGUING	1 day ago	Happy viewing Po proud local ng Gibraltar distrito ng Benguet❤️🫰	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy73cCNQDbJgjgBUyZ4AaABAg	Ugy73cCNQDbJgjgBUyZ4AaABAg	UCoAx0W6YUOSIDBaZnpmbRZA	Fetched 05/26/2026, 8:00:05 PM GMT+8
21	Gibraltar	@FerdinandPerez-h3b	1 day ago	Happy watching po...lokal ng gibraltar,distrito Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxdnssagKgaQEl90z94AaABAg	UgxdnssagKgaQEl90z94AaABAg	UCb4qEqh88TyUj3uGoDTV7Bg	Fetched 05/26/2026, 8:00:05 PM GMT+8
22	Gibraltar	@egymlee	1 day ago	magandang gabi po / patuloy pong nakikiisa / Lokal ng Gibraltar😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxdnssagKgaQEl90z94AaABAg.AXBs2Fa8qthAXBsP_3Z5hT	UgxdnssagKgaQEl90z94AaABAg.AXBs2Fa8qthAXBsP_3Z5hT	UCQuTByWcigHh1sDG2ivw25A	Fetched 05/26/2026, 8:00:05 PM GMT+8
23	Gibraltar	@LuzvimindaRoberto-w1x	1 day ago	We L❤ve #gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxUnGFG6REmSJm8uxF4AaABAg	UgxUnGFG6REmSJm8uxF4AaABAg	UCkVnlMQ-11G4N5r0pfxdkug	Fetched 05/26/2026, 8:00:05 PM GMT+8
24	Gibraltar	@helenserafica37	1 day ago	Hello po sa lahat from lokal of gibraltar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw-HkeB0ofIRxoR7BV4AaABAg.AXBg7dLSn8RAXBga8kHYJs	Ugw-HkeB0ofIRxoR7BV4AaABAg.AXBg7dLSn8RAXBga8kHYJs	UCrfBYYy-r-N5wq513mjl2LQ	Fetched 05/26/2026, 8:00:05 PM GMT+8
25	Gibraltar	@FrancisLibua	2 days ago	Go benguet watching lokal ng Gibraltar.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzFBTnUg2WOWa5duTB4AaABAg	UgzFBTnUg2WOWa5duTB4AaABAg	UCwDnKZvKVBk6Q0KQ8L4AW0Q	Fetched 05/26/2026, 8:00:05 PM GMT+8
26	Gibraltar	@rjhayvaldez	2 days ago	Happy Viewing po to all the Brethren of Locale Congregation of Gibraltar. Go Fighting Benguet 🌲🤍🍓	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyr4uA3PCUxX1bYp3N4AaABAg	Ugyr4uA3PCUxX1bYp3N4AaABAg	UC4MepxpRf7PEvAD3HR8UYwA	Fetched 05/26/2026, 8:00:05 PM GMT+8
