No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Greenwater,@MarkAnthonyAlvior-dm8pq,11 days ago,"Mula po dito sa aming lokal ng Greenwater, maligayang panonood po sa ating lahat 🙏",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzfxP8StBVCjxGMegF4AaABAg,UgzfxP8StBVCjxGMegF4AaABAg,UC0cg01D5crTJKa0gjb0tVzg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
2,Greenwater,@janemandapat,11 days ago,"good noon po sa lahat ng kaanib ng GREENWATER, BENGUET💚🤍❤️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwGA3Poj9xOsEZnX_14AaABAg,UgwGA3Poj9xOsEZnX_14AaABAg,UCCkh0vcKnwB1VHUjLgNQeJg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
3,Greenwater,@SamGarcia-o6x,11 days ago,Happy viiewing po from the lokal of Greenwater Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzYflzTXhwrOAPc1F54AaABAg,UgzYflzTXhwrOAPc1F54AaABAg,UCjJ8K6KPJmSj58WQZl21HVQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
4,Greenwater,@GloriaPrado-j5y,11 days ago,Happy viewing from Greenwater locale Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzWh3lLZV212FDRf5h4AaABAg,UgzWh3lLZV212FDRf5h4AaABAg,UC64pT5gl9WPFawhOWHlXKzA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
5,Greenwater,@SamGarcia-o6x,2 weeks ago,Go !Go! Go!Benguet from the local of Greenwater ❤ ❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxsPCpfahVGuMZ_MuV4AaABAg,UgxsPCpfahVGuMZ_MuV4AaABAg,UCjJ8K6KPJmSj58WQZl21HVQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
6,Greenwater,@GloriaPrado-j5y,2 weeks ago,Very inspiratinal music happy viewing Greenwater Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz560JTgDPh9xi7HvF4AaABAg,Ugz560JTgDPh9xi7HvF4AaABAg,UC64pT5gl9WPFawhOWHlXKzA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
7,Greenwater,@GloriaPrado-j5y,2 weeks ago,Go fight go Lokal ng Greenwater Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxuxB0fo-Oj7X8bOKZ4AaABAg,UgxuxB0fo-Oj7X8bOKZ4AaABAg,UC64pT5gl9WPFawhOWHlXKzA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
8,Greenwater,@mikosolano1461,2 weeks ago,Benguet ... FIGHT !!! /  / HAPPY VIEWING from lokal ng GREENWATER.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxIX2Oi2LhDa8_ophx4AaABAg,UgxIX2Oi2LhDa8_ophx4AaABAg,UClTjsgTSPo1Qpcv0vNKsJsQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
9,Greenwater,@MarkAnthonyAlvior-dm8pq,2 weeks ago,Good day to all of you mga kabagis❤ from locale of Greenwater,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz1xL1wePiY-SuSNsZ4AaABAg,Ugz1xL1wePiY-SuSNsZ4AaABAg,UC0cg01D5crTJKa0gjb0tVzg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
10,Greenwater,@MarkAnthonyAlvior-dm8pq,2 weeks ago,"Gandang gabi po mga kabagis, maligayang panonood ulit after ng work, mula po dito sa aming lokal ng Greenwater ♥️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwLplJk5xKcoD_QTb14AaABAg,UgwLplJk5xKcoD_QTb14AaABAg,UC0cg01D5crTJKa0gjb0tVzg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
11,Greenwater,@janemandapat,2 weeks ago,"Happy viewing po sa lahat. Pagbati po mula dito sa GREENWATER, BENGUET😊",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzdNL9GEcvIKxgnxpB4AaABAg,UgzdNL9GEcvIKxgnxpB4AaABAg,UCCkh0vcKnwB1VHUjLgNQeJg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
12,Greenwater,@GloriaPrado-j5y,2 weeks ago,Very inspira try ional music love ❤️ it Greenwater,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy4LTqh4DbN90tnAjl4AaABAg,Ugy4LTqh4DbN90tnAjl4AaABAg,UC64pT5gl9WPFawhOWHlXKzA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
