No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Guisad,@maryannfernandez9408,3 hours ago,Go go go Benguet...mul po sa lokal ng Guisad ❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyhkj3Sysa5MW0vT-F4AaABAg,Ugyhkj3Sysa5MW0vT-F4AaABAg,UC6QnYlqIsg0WPmOKL74vIPg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
2,Guisad,@jonadelacruz1790,3 hours ago,"Enjoy watching mga kapatid. Go go go fight fight fight Benguet. From Lokal ng Guisad, Distrito ng Benguet.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwH6s29TGJyFDGibjx4AaABAg,UgwH6s29TGJyFDGibjx4AaABAg,UCkoi4scG8h7ByKW6CstbHyA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
3,Guisad,@zyragalacgac3250,4 hours ago,"Happy viewing po mga kapatid! Mula po sa Lokal ng Guisad, Distrito ng Benguet! 😁",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgziyiG-gL40b32VkSh4AaABAg,UgziyiG-gL40b32VkSh4AaABAg,UCFn1MfEFkAsLk6eJWgE1now,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
4,Guisad,@jazzherflawless6982,6 hours ago,Halu po mga kapatid! Nood na po tayo ulit! 😁 /  / ~Lokal ng Guisad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxXNOmfRTl7nUqgoPl4AaABAg,UgxXNOmfRTl7nUqgoPl4AaABAg,UCa-rZI9R7bRXxaVdHV3qBxQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
5,Guisad,@rioedenbumatay6951,7 hours ago,"Happy lunch po mula sa lokal ng GUISAD!! On loop na po ang God's Love. Go, Benguet!!!!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzkltmRB5vA6NgNnnB4AaABAg,UgzkltmRB5vA6NgNnnB4AaABAg,UCDDFc14Z99RNPZ7PEDZ40PA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
6,Guisad,@jonathandaludado6716,7 hours ago,"Hello po sa lahat ng mga kaparid, mula sa lokal ng Guisad Distrito ng Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwyVeWBUpABXn_Vm4l4AaABAg,UgwyVeWBUpABXn_Vm4l4AaABAg,UCf5mtWvDfCoexKqklznvFyw,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
7,Guisad,@FebePicart,7 hours ago,"Mula po sa lokal ng Guisad, happy viewing po mga kapatid!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx69xee99gjKRqjfyt4AaABAg,Ugx69xee99gjKRqjfyt4AaABAg,UCa1K7Cg5c_mqTgZJKO-t0Fw,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
8,Guisad,@jonathandaludado6716,7 hours ago,"Happy viewing po sa aming tagapangasiwa. Kapatid na Ardy Mendoza. Mula sa lokal ng Guisad, Distrito ng Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx8vcvRcsl9c__hst54AaABAg,Ugx8vcvRcsl9c__hst54AaABAg,UCf5mtWvDfCoexKqklznvFyw,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
9,Guisad,@jonathandaludado6716,7 hours ago,"Happy viewing po sa aming destinado ngblokal ng Guisad, kaparid na Pawlo Soriano.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz1wNL5f6UwtdBOsWx4AaABAg,Ugz1wNL5f6UwtdBOsWx4AaABAg,UCf5mtWvDfCoexKqklznvFyw,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
10,Guisad,@jonadelacruz1790,8 hours ago,"Good morning po mga kapatid! Enjoy watching po. From Lokal ng Guisad, Distrito ng Benguet.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx7YE9a4BDtBdLICLp4AaABAg,Ugx7YE9a4BDtBdLICLp4AaABAg,UCkoi4scG8h7ByKW6CstbHyA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
11,Guisad,@maryannfernandez9408,8 hours ago,"Happy lunch na po mga kabagis. Habang kumakain po,nood nood din Tau. Mula po sa lokal ng Guisad ❤❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwjcOG1Nm4uASBEceh4AaABAg,UgwjcOG1Nm4uASBEceh4AaABAg,UC6QnYlqIsg0WPmOKL74vIPg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
12,Guisad,@JulieAnnCabusi-pz3hl,9 hours ago (edited),Go Benguet FIGHT FIGHT FIGHT 🎉🎉🎉 mula sa  Lokal ng Guisad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgynzRCAKLoe7fKOo0B4AaABAg,UgynzRCAKLoe7fKOo0B4AaABAg,UC2wbc6054klivhZEERMMgOA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
13,Guisad,@JulieAnnCabusi-pz3hl,9 hours ago (edited),Go go Benguet  / FIGHT FIGHT FIGHT  / Mula sa Lokal ng Guisad 🎉🎉🎉🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz-mG3kPjXUEzW-WLR4AaABAg,Ugz-mG3kPjXUEzW-WLR4AaABAg,UC2wbc6054klivhZEERMMgOA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
14,Guisad,@Andweyaaah,9 hours ago,"HAPPY VIEWING PO MGA KAPATID!! Mula po sa Lokal ng Guisad, Distrito ng Benguet! 🫶❤️💚",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugziz34XG3aZ6PbRh8R4AaABAg,Ugziz34XG3aZ6PbRh8R4AaABAg,UC4ldE8RD0KBjbWtlL4l9QDw,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
