No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Irisan,@jaydeesotto488,1 day ago,magandang gabi sa lahat ng mga kapatid .. mula po sa lokal ng Irisan Distrito ng Benguet...happy viewing po❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4kWIO13ki-CSH9Rd4AaABAg,Ugz4kWIO13ki-CSH9Rd4AaABAg,UCjnf-CTt3LWKZVwyiWSJcmg,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
2,Irisan,@reynaldoferrer7945,5 days ago,IRISAN,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMpUsw0NKpKfbsenB4AaABAg,UgwMpUsw0NKpKfbsenB4AaABAg,UCuFMy5nUteaB1Ky10l5xpbw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
3,Irisan,@MaryRoseSismundoPerez,5 days ago,Go go go benguet❤ / #Fighting / Watching from Mang Aawit/Kalihim Ng Lokal Ng Irisan Distrito Ng Benguet❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz2xx7e6QfCVh-kvip4AaABAg,Ugz2xx7e6QfCVh-kvip4AaABAg,UC059Z7nvMdVFCi5sg-aB4zw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
4,Irisan,@MaryRoseSismundoPerez,6 days ago,Fighting!!!Go Benguet!!!Watching From Mang Aawit/Kalihim Ng Lokal Ng Irisan Distrito Ng Benguet ❤❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyjgTGrJrUtuKCbPtJ4AaABAg,UgyjgTGrJrUtuKCbPtJ4AaABAg,UC059Z7nvMdVFCi5sg-aB4zw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
5,Irisan,@rickebeyns1370,6 days ago,Mula po sa Lokal ng Irisan! Happy viewing po mga kapatid!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy3zd4tGy13CCbgTDl4AaABAg,Ugy3zd4tGy13CCbgTDl4AaABAg,UC8rmJ3wznEJOdkWXxFpVcTg,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
6,Irisan,@ritaembang6761,6 days ago,Viewing lokal Ng Irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw2CggLAc8bvYWQnGl4AaABAg,Ugw2CggLAc8bvYWQnGl4AaABAg,UC6X7NUMcP3mHELkFlnR-1Tw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
7,Irisan,@paciniancorpuscles,6 days ago,Let’s GO BENGUET!! / Pagbati rin mula sa mga MT ng PNK sa Lokal ng Irisan💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyMr_sD7xptA4VAhRt4AaABAg,UgyMr_sD7xptA4VAhRt4AaABAg,UC8naP6Vtsccsu3wImOglAYQ,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
8,Irisan,@paciniancorpuscles,6 days ago,Pagbati po mula sa mga mang-aawit ng Lokal ng Irisan❤️ / #BenguetFightFightFight,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzZNJO2A4fA4m8_GF14AaABAg,UgzZNJO2A4fA4m8_GF14AaABAg,UC8naP6Vtsccsu3wImOglAYQ,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
9,Irisan,@ReynanteBauzon,6 days ago,🥳🎉🎊 / Lokal ng irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw5YrOSfWcwv9fG-S94AaABAg,Ugw5YrOSfWcwv9fG-S94AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
10,Irisan,@ReynanteBauzon,6 days ago,Benguet / Fight fight fight / Lokal ng irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgySs7OU1DdS4mqC5YN4AaABAg,UgySs7OU1DdS4mqC5YN4AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
11,Irisan,@ReynanteBauzon,6 days ago,Happy viewing po / Lokal ng Irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxaK2eXWdfyEvWNDX94AaABAg,UgxaK2eXWdfyEvWNDX94AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
12,Irisan,@ReynanteBauzon,6 days ago,💚🤍❤️ / Lokal ng irisan..,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzshu-NxDt9tkaICHF4AaABAg,Ugzshu-NxDt9tkaICHF4AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
13,Irisan,@ReynanteBauzon,6 days ago,❤😊 / Lokal ng Irisan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzzfMt3CS8uHignpXp4AaABAg,UgzzfMt3CS8uHignpXp4AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
14,Irisan,@reynaldoferrer7945,6 days ago,Good morning IRISAN 😊😊😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxuuhv9-WLq8S123lF4AaABAg,Ugxuuhv9-WLq8S123lF4AaABAg,UCuFMy5nUteaB1Ky10l5xpbw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
15,Irisan,@Lia_smith3,7 days ago,Happy lang lokal ng Irisan❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzq5_fqlEJHanVtl7Z4AaABAg,Ugzq5_fqlEJHanVtl7Z4AaABAg,UCFL7g2qr8PmvUjS0ssfZBkg,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
16,Irisan,@reynaldoferrer7945,7 days ago,IRISAN,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwIDNy1EOg3_NKvr3h4AaABAg,UgwIDNy1EOg3_NKvr3h4AaABAg,UCuFMy5nUteaB1Ky10l5xpbw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
17,Irisan,@reynaldoferrer7945,7 days ago,IRISAN,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyYscJ42xeO60lKY254AaABAg,UgyYscJ42xeO60lKY254AaABAg,UCuFMy5nUteaB1Ky10l5xpbw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
18,Irisan,@reynaldoferrer7945,7 days ago,IRISAN,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwT9xQDpeC2-nOlzz14AaABAg,UgwT9xQDpeC2-nOlzz14AaABAg,UCuFMy5nUteaB1Ky10l5xpbw,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
19,Irisan,@MarivicBumahit-es6vy,7 days ago,Helo  frm irisan po baguio cty,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyXed0E01EA4sXcHFB4AaABAg,UgyXed0E01EA4sXcHFB4AaABAg,UC8Ne_zTCIFKLpiblf5WaT9A,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
20,Irisan,@JoanneJoyAbellano-i3f,7 days ago,Good evening po mula sa lokal ng IRISAN,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx_sDSic1z47JtBcjR4AaABAg,Ugx_sDSic1z47JtBcjR4AaABAg,UCpncflg7XlvPfq85794SPpQ,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
21,Irisan,@RayvenMendoza-v7o,7 days ago,❤Go Benguet.  Happy viewing po from  lokal ng Irisan ❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx-b7lT7Tpm-ooxH4J4AaABAg,Ugx-b7lT7Tpm-ooxH4J4AaABAg,UCVgDBFBJEeIpQhTICn0Eodg,"Fetched 06/04/2026, 9:00:05 AM GMT+8"
