No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Irisan	@TinyEnchanters	20 minutes ago	:hand-pink-waving: KALIHIMAN/REGISTRY ng IRISAN, BENGUET!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxthN0bAoFruZGkUX54AaABAg	UgxthN0bAoFruZGkUX54AaABAg	UCIYazOuVxb5StkuFYFMoMsg	Fetched 05/22/2026, 12:00:02 AM GMT+8
2	Irisan	@rosendabauzon2025	1 hour ago	GODS LOVE is bigger than the ocean.. / LOKAL NG IRISAN❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy-czAfOyrb-EUPklR4AaABAg	Ugy-czAfOyrb-EUPklR4AaABAg	UCIxunIag4Pkjs9AwwMi_KOw	Fetched 05/22/2026, 12:00:02 AM GMT+8
3	Irisan	@rosendabauzon2025	1 hour ago	Pagbati mula sa may tungkulin ng PAMANALAPI LOKAL NG IRISAN❤❤🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzRQhlaImyWM9EGfJh4AaABAg	UgzRQhlaImyWM9EGfJh4AaABAg	UCIxunIag4Pkjs9AwwMi_KOw	Fetched 05/22/2026, 12:00:02 AM GMT+8
4	Irisan	@rosendabauzon2025	1 hour ago	❤❤LOKAL NG IRISAN❤❤🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxfNSfcvK2iI-z96Ud4AaABAg	UgxfNSfcvK2iI-z96Ud4AaABAg	UCIxunIag4Pkjs9AwwMi_KOw	Fetched 05/22/2026, 12:00:02 AM GMT+8
5	Irisan	@rosendabauzon2025	1 hour ago	Happy viewing po mga kapatid❤ / Lokal ng IRISAN🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCTAt0lzmjKQTO57l4AaABAg	UgyCTAt0lzmjKQTO57l4AaABAg	UCIxunIag4Pkjs9AwwMi_KOw	Fetched 05/22/2026, 12:00:02 AM GMT+8
6	Irisan	@rosendabauzon2025	1 hour ago	# INCMV AWARDS 2026 / # GODS LOVE / # LOKAL NG IRISAN❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwtPOzxGEsrrVnhQIZ4AaABAg	UgwtPOzxGEsrrVnhQIZ4AaABAg	UCIxunIag4Pkjs9AwwMi_KOw	Fetched 05/22/2026, 12:00:02 AM GMT+8
7	Irisan	@rosendabauzon2025	1 hour ago	Gandang gabi mga kapatid / LOKAL NG IRISAN❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzOvsqZUfpJmA7pzJx4AaABAg	UgzOvsqZUfpJmA7pzJx4AaABAg	UCIxunIag4Pkjs9AwwMi_KOw	Fetched 05/22/2026, 12:00:02 AM GMT+8
8	Irisan	@TheEmzthine	2 hours ago	Let's Go BEGUET!  /  / Shout-out sa mga Kalihim na ginabi ulit  /  / Lokal ng Irisan ❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugye4v3TYd9WF7aIsjh4AaABAg	Ugye4v3TYd9WF7aIsjh4AaABAg	UCxLUxuNrB5SEVcJFtEZauDw	Fetched 05/22/2026, 12:00:02 AM GMT+8
9	Irisan	@MaryRoseSismundoPerez	2 hours ago	Go! Go! Go! #Benguet❤❤❤ / Pagbati mula sa Kalihim/Mang Aawit Ng Lokal Ng Irisan Distrito Ng Benguet❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwM27GxgJg6dLmshn54AaABAg	UgwM27GxgJg6dLmshn54AaABAg	UC059Z7nvMdVFCi5sg-aB4zw	Fetched 05/22/2026, 12:00:02 AM GMT+8
10	Irisan	@TheEmzthine	6 hours ago	#1 Benguet🎉🎉🎉🎉 /  / Irisan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzeXGAXK7TYpkFVy9l4AaABAg	UgzeXGAXK7TYpkFVy9l4AaABAg	UCxLUxuNrB5SEVcJFtEZauDw	Fetched 05/22/2026, 12:00:02 AM GMT+8
