No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Kapangan	@liezelbangsiel1099	16 hours ago	Good morning mga kapatid, bumabati po lahat ng taka Lokal ng Kapangan 🇮🇪❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwyANyTY1VrpasG-Eh4AaABAg	UgwyANyTY1VrpasG-Eh4AaABAg	UCIY-LGp-hkQPT2puc_eYUwg	Fetched 05/28/2026, 12:00:05 AM GMT+8
2	Kapangan	@diytech4877	3 days ago	happy viewing po from lokal ng kapangan🎉🎉🎉❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwuE3JXEx4nyiNTZsh4AaABAg	UgwuE3JXEx4nyiNTZsh4AaABAg	UCLrRo_OsmOZiRCoeX84N3ww	Fetched 05/28/2026, 12:00:05 AM GMT+8
3	Kapangan	@evenybagayao2174	4 days ago	happy viewing po, mga kapatid.. 🎉🎉🎉 from lokal ng kapangan, distrito ng benguet..	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzZ_5ZvQH5aB7Dx1194AaABAg	UgzZ_5ZvQH5aB7Dx1194AaABAg	UCw0CnMea-9w5CFtcci4v_6g	Fetched 05/28/2026, 12:00:05 AM GMT+8
4	Kapangan	@diytech4877	4 days ago	happy viewing po, mga kapatid. pagbati mula sa lokal ng kapangan, distrito ng benguet🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy2AIljojxvXInAF7N4AaABAg	Ugy2AIljojxvXInAF7N4AaABAg	UCLrRo_OsmOZiRCoeX84N3ww	Fetched 05/28/2026, 12:00:05 AM GMT+8
5	Kapangan	@EvenyBagayao-hq8pt	4 days ago	lets go benguet ^^ .. happy viewing po, mga kapatid.. pagbati po mula sa lokal ng kapangan ^^ ..	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzNguXL8cAT2u7P6J4AaABAg	UgwzNguXL8cAT2u7P6J4AaABAg	UCPe-hti08eoa5pNRtcgJGJg	Fetched 05/28/2026, 12:00:05 AM GMT+8
6	Kapangan	@elleinehz	5 days ago (edited)	Let's go Benguet! / Mula po sa lokal ng kapangan, kapisanang KADIWA,...Happy viewing po mga kapatid!😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzzwgw4Knvps0dKkD94AaABAg	Ugzzwgw4Knvps0dKkD94AaABAg	UCYswZPer6VDlrQHiWHmMpnw	Fetched 05/28/2026, 12:00:05 AM GMT+8
7	Kapangan	@liezelbangsiel1099	6 days ago	Happy viewing and good vibes po mga kapatid, mula po sa Lokal ng Kapangan💚🤍♥️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyxsltnBMxoOT1QGqt4AaABAg	UgyxsltnBMxoOT1QGqt4AaABAg	UCIY-LGp-hkQPT2puc_eYUwg	Fetched 05/28/2026, 12:00:05 AM GMT+8
8	Kapangan	@liezelbangsiel1099	8 days ago	Mainit na pagbati sa lahat ng mga kapatid mula po sa lokal ng Kapangan..🥰🇮🇪	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugygc1l9tyYiA7c7pU94AaABAg	Ugygc1l9tyYiA7c7pU94AaABAg	UCIY-LGp-hkQPT2puc_eYUwg	Fetched 05/28/2026, 12:00:05 AM GMT+8
9	Kapangan	@liezelbangsiel1099	9 days ago	Mainit na pagbati mula po sa Lokal ng Kapangan 🇮🇪❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx-7W-mbwIb0OidFql4AaABAg	Ugx-7W-mbwIb0OidFql4AaABAg	UCIY-LGp-hkQPT2puc_eYUwg	Fetched 05/28/2026, 12:00:05 AM GMT+8
10	Kapangan	@jesytv9323	9 days ago	Magandang hapon po,, mula po sa Lokal ng Kapangan, binabati po namin ang lahat ng mga kapatid na taga Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwDZidPSeYZzS2iEJV4AaABAg	UgwDZidPSeYZzS2iEJV4AaABAg	UCQv9Uqtrt2s6XNH91dZhO-w	Fetched 05/28/2026, 12:00:05 AM GMT+8
