No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,La Trinidad,@AltheaEstephanieJaballa,1 hour ago,Happy viewing po mula sa lokal ng La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgylRt35SY41tit5PQx4AaABAg,UgylRt35SY41tit5PQx4AaABAg,UCIr2XT0yhBj05SQv0YCD_vQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
2,La Trinidad,@musicoclassic8489,2 hours ago,"salamat po Distrito ng benguet, mula sa lokal ng La trinidad",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwHtjMkS4WQkQfHmjt4AaABAg,UgwHtjMkS4WQkQfHmjt4AaABAg,UCMhh670yZFkvzFf2001mYmA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
3,La Trinidad,@musicoclassic8489,2 hours ago,watching po mula sa lokal ng la trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMYh0PQuufpKtHlEJ4AaABAg,UgwMYh0PQuufpKtHlEJ4AaABAg,UCMhh670yZFkvzFf2001mYmA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
4,La Trinidad,@mecoriasca,2 hours ago,"good afternoon mga kapatid,happy viewing po mula sa lokal ng la trinidad",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzLiimjzYiVA8N2Znx4AaABAg,UgzLiimjzYiVA8N2Znx4AaABAg,UCdnFDbvD1577buOgWtrk7HQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
5,La Trinidad,@sylverlubin4910,2 hours ago,Nakaka inspire ng MV Go!Fight! Benguet  -Local ng La Trinidad-🍓❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxIs4yyQQjC2OehKCd4AaABAg,UgxIs4yyQQjC2OehKCd4AaABAg,UC2CbrvpFnO4Yq_QRkyOcp3A,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
6,La Trinidad,@tayabanrt,3 hours ago,Happy watching lokal ng Lokal ng La Trinidad and everyone watching. Greetings from the Officers of PNK of  Lokal ng La Trinidad 🎉🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwp0PibC_Z_l92I6Kx4AaABAg,Ugwp0PibC_Z_l92I6Kx4AaABAg,UCCpOKu7HxJqnWctZ5fG9DZg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
7,La Trinidad,@tayabanrt,3 hours ago,Happy watching lokal ng Lokal ng La Trinidad and everyone watching. Greetings from the Officers of PNK of  Lokal ng La Trinidad 🎉🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwh3fevhdvlEa3rlzl4AaABAg,Ugwh3fevhdvlEa3rlzl4AaABAg,UCCpOKu7HxJqnWctZ5fG9DZg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
8,La Trinidad,@dianaroseinfantedejesus1479,3 hours ago,Happy viewing po From La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzoTis9PXSLmOF-aTN4AaABAg,UgzoTis9PXSLmOF-aTN4AaABAg,UCBQdv6hUNcBq-xg-j4z6gwA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
9,La Trinidad,@winkdelarosa2397,3 hours ago,Happy viewing po~ from lokal ng la trinidad✨,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz9tBRZ_Mj5vApWQeN4AaABAg,Ugz9tBRZ_Mj5vApWQeN4AaABAg,UCcSUir_e5wTvoTFR6eQepyQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
10,La Trinidad,@axeliee-m5u,3 hours ago,Happy viewing everyone 🎉🎉  / Pagbati po mula sa Lokal ng La Trinidad 🙌,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxI2Et3tOB6TJ42WR14AaABAg,UgxI2Et3tOB6TJ42WR14AaABAg,UCxjmGS0yLlCMs4Fe-AqbHFw,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
