No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Lacaan	@FredaVii	10 days ago	Magandang Umaga po /  / Happy viewing from lokal ng LACAAN	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxtiDNIjQ5ajvYMvN94AaABAg	UgxtiDNIjQ5ajvYMvN94AaABAg	UCTjnHYHJ0jV_eDKT2L7MLUg	Fetched 06/09/2026, 9:00:05 PM GMT+8
2	Lacaan	@KhensonMarcos	10 days ago	Happy viewing po mga kapatid,, / Mula po sa lokal ng Lacaan distrito ng Benguet,	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPZ_8AvY_AWZmbZx94AaABAg	UgxPZ_8AvY_AWZmbZx94AaABAg	UCOTnUmFpKxKbkmIXJYVwgfg	Fetched 06/09/2026, 9:00:05 PM GMT+8
3	Lacaan	@AnastaciaVicente-t9x	13 days ago	Magandang Tanghali po mga kapatid,,,,ang sarap po kumain habang nanonood ng GOD'S LOVE,,,,mula po sa Lokal ng Lacaan, Distrito ng Benguet, / Kalihiman/Registry/Chroniclers	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyMlMQZ7IfiJiQLDMp4AaABAg	UgyMlMQZ7IfiJiQLDMp4AaABAg	UCfipobWpwEUWCYExdhtSsFQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
4	Lacaan	@AnastaciaVicente-t9x	13 days ago	gud morning po mga kapatid,,,happy viewing po,,,from Lokal ng LACAAN, Distrito ng BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4g9iBPnJyB2fmBoZ4AaABAg	Ugz4g9iBPnJyB2fmBoZ4AaABAg	UCfipobWpwEUWCYExdhtSsFQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
5	Lacaan	@JessieEspinueva	13 days ago	❤❤❤ good morning  / Happy viewing po sa lahat ng kapatid ❤❤❤Go Benguet Go ❤❤❤mula po dito sa Lokal ng lacaan Distrito ng Benguet ❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxdBiW7NJiHH4UDCz94AaABAg	UgxdBiW7NJiHH4UDCz94AaABAg	UCVIFn1oY77C-ncqb4kh8inQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
6	Lacaan	@FredaVii	13 days ago	Lacaan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwHZlDKFlFq10F6qsN4AaABAg	UgwHZlDKFlFq10F6qsN4AaABAg	UCTjnHYHJ0jV_eDKT2L7MLUg	Fetched 06/09/2026, 9:00:05 PM GMT+8
7	Lacaan	@LnthSgndo	13 days ago	Happy viewing po mula sa Lokal ng Lacaan, Distrito ng Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw3v7CKzM9lS0lgw-J4AaABAg	Ugw3v7CKzM9lS0lgw-J4AaABAg	UC_qVlVxi58CuY10VcfmutWA	Fetched 06/09/2026, 9:00:05 PM GMT+8
8	Lacaan	@LeonardSegundo-x6h	2 weeks ago	Happy viewing po mula po sa lokal ng Lacaan 💚	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDiJIDQEVKVslmkSd4AaABAg	UgxDiJIDQEVKVslmkSd4AaABAg	UC4cYHCAQ4q6dGPF23VDvREQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
9	Lacaan	@LethSeconds	2 weeks ago	Magandang gabi po mga kapatid.. mula sa lokal ng lacaan ... go go "BENGUET"..  Happy viewing po...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxoKk61sGmyVXLLq9J4AaABAg	UgxoKk61sGmyVXLLq9J4AaABAg	UCVHP4oerVxoJcF4KSqezUxQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
10	Lacaan	@LethSeconds	2 weeks ago	Magandang gabi po mga kapatid.. mula sa lokal ng lacaan ... go go "BENGUET"..  Happy viewing po...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxH1QJw5oisZ6cDNOt4AaABAg	UgxH1QJw5oisZ6cDNOt4AaABAg	UCVHP4oerVxoJcF4KSqezUxQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
11	Lacaan	@AnastaciaVicente-t9x	2 weeks ago	happy viewing po, mula po sa Lokal ng Lacaan, Distrito ng Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxWi-b5FdLLIe5UrtZ4AaABAg	UgxWi-b5FdLLIe5UrtZ4AaABAg	UCfipobWpwEUWCYExdhtSsFQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
12	Lacaan	@MelizaNadiahan	2 weeks ago	Go³ Benguet! Fight³ /  / ❤Lacaan❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzwaIu1UD__hQ_RcpJ4AaABAg	UgzwaIu1UD__hQ_RcpJ4AaABAg	UC4th0SAmQ7VxwAouGTeYoSQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
13	Lacaan	@MelizaNadiahan	2 weeks ago	Good Morning po sa lahat! Sumusuporta po from lokal ng Lacaan🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwMZOKz_ING-lWP3Xh4AaABAg	UgwMZOKz_ING-lWP3Xh4AaABAg	UC4th0SAmQ7VxwAouGTeYoSQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
14	Lacaan	@jennymarcos4181	2 weeks ago	Happy viewing po❤😊 / _Gods Love🥰 / _from lokal of lacaan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw-cfSQFfggHk32czN4AaABAg	Ugw-cfSQFfggHk32czN4AaABAg	UCbxLkY86CjRWI-RXibZUmmA	Fetched 06/09/2026, 9:00:05 PM GMT+8
15	Lacaan	@AnastaciaVicente-t9x	3 weeks ago	Masayang panonood po. Mula po sa Lokal ng Lacaan, Distrito ng Benguet / Kalihiman and Registry	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzILlWMLKBv2njcKid4AaABAg	UgzILlWMLKBv2njcKid4AaABAg	UCfipobWpwEUWCYExdhtSsFQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
