No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Loacan,@ledorsanulam9664,6 days ago,Happy Viewing! Mula po sa lokal ng Loacan Distrito ng Benguet😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxrGyOOfYMbPSWGQ6l4AaABAg,UgxrGyOOfYMbPSWGQ6l4AaABAg,UCARjftPwKH_pPQV268xxSQw,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
2,Loacan,@JimmyBetudio,7 days ago,Gud eve mga kapatid! Happy Viewing po ulit from Lokal Ng Loacan  / Distrito ng Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwYzfGxiOgqWKp4piB4AaABAg,UgwYzfGxiOgqWKp4piB4AaABAg,UCMlUKwxoelkB-HYmZa2nkOw,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
3,Loacan,@JohnRayMatabang,7 days ago,Happy Viewing from Loacan Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzjJ2MKLXr3qtb3qJR4AaABAg,UgzjJ2MKLXr3qtb3qJR4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
4,Loacan,@JohnRayMatabang,7 days ago,Good Morning po.Pagbati Mula sa Lokal ng Loacan Distrito ng Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxCeW7gQpC698oI9CF4AaABAg,UgxCeW7gQpC698oI9CF4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
5,Loacan,@JohnRayMatabang,7 days ago,From Loacan Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwFtIsdXWKaA-81kMx4AaABAg,UgwFtIsdXWKaA-81kMx4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
6,Loacan,@JohnRayMatabang,8 days ago,Happy Viewing Mula sa Lokal ng Loacan Distrito ng Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyGyGKiJNNrW4evcuZ4AaABAg,UgyGyGKiJNNrW4evcuZ4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
7,Loacan,@gemaila_unay,8 days ago,"Let's stream together! support from Lokal ng Loacan, Benguet!❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxdTEXorSLFpi3C3H14AaABAg,UgxdTEXorSLFpi3C3H14AaABAg,UCcBJ4Uu39m7yYYSP80sXO5g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
8,Loacan,@RonnieAkitan,8 days ago,happy viewing po mula sa Upper Loacan GWS,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzKTUCXWZQ5oYgHotB4AaABAg,UgzKTUCXWZQ5oYgHotB4AaABAg,UCOTONXsu5r1XjxBvZ7DjbxA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
9,Loacan,@ledorsanulam9664,9 days ago,Happy Viewing! Mula po sa lokal ng Loacan Distrito ng Benguet😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwV-qjzpS8lQaYdVed4AaABAg,UgwV-qjzpS8lQaYdVed4AaABAg,UCARjftPwKH_pPQV268xxSQw,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
10,Loacan,@JohnRayMatabang,9 days ago,HAPPY VIEWING FROM LOACAN BENGUET,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxlLO73iq8WqP59VFt4AaABAg,UgxlLO73iq8WqP59VFt4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
11,Loacan,@sherryrosedorado3983,9 days ago,Goodevening po mga kabagis. All the way from Loacan! 😄,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugye_yrHwhol5y7qR6h4AaABAg,Ugye_yrHwhol5y7qR6h4AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
12,Loacan,@sherryrosedorado3983,9 days ago,Watching again from Locale of Loacan 🤗,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzEXFYjKKkXyXgxsfJ4AaABAg,UgzEXFYjKKkXyXgxsfJ4AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
13,Loacan,@sherryrosedorado3983,9 days ago,patuloy na panonood po mula dto sa Lokal ng Loacan 😊😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZvTb_lB2T7i9KY094AaABAg,UgxZvTb_lB2T7i9KY094AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
14,Loacan,@sherryrosedorado3983,9 days ago,Happy viewing mga kabagis.  / Go benguet! 🎉  /  / lokal ng loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw8uxpiBiECEGyAqm94AaABAg,Ugw8uxpiBiECEGyAqm94AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
15,Loacan,@JohnRayMatabang,9 days ago,GOOD morning PO FROM LOACAN Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxv7aW0VpkXmjM_QoR4AaABAg,Ugxv7aW0VpkXmjM_QoR4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
16,Loacan,@jonathanmalunas3534,9 days ago,Watching from local Ng loacan distrito Ng benguet❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgymRMxBSRNxIwyCb2t4AaABAg,UgymRMxBSRNxIwyCb2t4AaABAg,UCnF2j0neLoFJewWO3GSP3JQ,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
17,Loacan,@gemaila_unay,9 days ago,Let's go Benguet! Support from Lokal ng Loacan! ❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy5QNXy9RDd-C8dAD14AaABAg,Ugy5QNXy9RDd-C8dAD14AaABAg,UCcBJ4Uu39m7yYYSP80sXO5g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
18,Loacan,@ramcelc.lorezco3335,9 days ago,happy Viewing po from Lokal ng Loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwlRITskut5HXgpGQ94AaABAg,UgwlRITskut5HXgpGQ94AaABAg,UC1VNPpgapsCm-OX-ZQjROUw,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
19,Loacan,@JohnRayMatabang,10 days ago,Hello po from Loacan Benguet 🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwNLFaCZpsPX0dsZGt4AaABAg,UgwNLFaCZpsPX0dsZGt4AaABAg,UC4Wg_mO5HJeJN5OgcLxMgPA,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
20,Loacan,@Vhenzdepz,10 days ago,Local ng Loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz-kCwvOEaFSTstLQJ4AaABAg,Ugz-kCwvOEaFSTstLQJ4AaABAg,UC-AsYSQR9KZTQNyBFCMiwvw,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
21,Loacan,@marilouunay6755,10 days ago,Maligayang panonod mga Kapatid.Mula sa lokal Ng Loacan Distrito Ng Benguet.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwWLd4Tl1fBUEBbGcR4AaABAg,UgwWLd4Tl1fBUEBbGcR4AaABAg,UC-INZhlZfkmTHBdvuelthkw,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
22,Loacan,@RolandoUnay-k5h,10 days ago,Go benguet!mula sa lokal ng loacan antamok..❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwKYb83s57To072DTR4AaABAg,UgwKYb83s57To072DTR4AaABAg,UCqcdA_rbvmk5x9Fcl0_xQxg,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
23,Loacan,@sherryrosedorado3983,10 days ago,still watching here.. 😀 /  / Go benguet!! Lokal ng Loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwWwgH5MNvLm33NkPx4AaABAg,UgwWwgH5MNvLm33NkPx4AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
24,Loacan,@sherryrosedorado3983,10 days ago,Make it top! Yan ang Benguet!  /  / Lokal ng Loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzBMxTz_tFDfCFvYRV4AaABAg,UgzBMxTz_tFDfCFvYRV4AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
25,Loacan,@sherryrosedorado3983,10 days ago,pagbati po mula sa Loacan! Go benguet 😄,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyahElF_bNd-FZf0HB4AaABAg,UgyahElF_bNd-FZf0HB4AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
26,Loacan,@Dondon-n6n,10 days ago,Gods Love / Go Loacan / Go Benguet❤❤❤ / Fight,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgziY_2WPqQlfhU198J4AaABAg,UgziY_2WPqQlfhU198J4AaABAg,UC-KpXZLj98-A9XNg091kY1Q,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
27,Loacan,@sherryrosedorado3983,10 days ago,happy viewing po 😄 /  / lokal ng loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxI_-t9p8_y0hhFm-R4AaABAg,UgxI_-t9p8_y0hhFm-R4AaABAg,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
28,Loacan,@sherryrosedorado3983,10 days ago,happy viewing po 😄 /  / lokal ng loacan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy66Ep3UUklq2yhJWR4AaABAg.AXGO06JxtbKAXGPGCjhqdY,Ugy66Ep3UUklq2yhJWR4AaABAg.AXGO06JxtbKAXGPGCjhqdY,UCxHxJyvwIQnBsv_apYYEL4g,"Fetched 06/05/2026, 10:00:03 PM GMT+8"
