No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Loacan	@sherryrosedorado3983	28 minutes ago	Goodevening po mga kabagis. All the way from Loacan! 😄	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugye_yrHwhol5y7qR6h4AaABAg	Ugye_yrHwhol5y7qR6h4AaABAg	UCxHxJyvwIQnBsv_apYYEL4g	Fetched 05/27/2026, 8:00:04 PM GMT+8
2	Loacan	@sherryrosedorado3983	6 hours ago	Watching again from Locale of Loacan 🤗	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzEXFYjKKkXyXgxsfJ4AaABAg	UgzEXFYjKKkXyXgxsfJ4AaABAg	UCxHxJyvwIQnBsv_apYYEL4g	Fetched 05/27/2026, 8:00:04 PM GMT+8
3	Loacan	@sherryrosedorado3983	8 hours ago	patuloy na panonood po mula dto sa Lokal ng Loacan 😊😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZvTb_lB2T7i9KY094AaABAg	UgxZvTb_lB2T7i9KY094AaABAg	UCxHxJyvwIQnBsv_apYYEL4g	Fetched 05/27/2026, 8:00:04 PM GMT+8
4	Loacan	@sherryrosedorado3983	8 hours ago	Happy viewing mga kabagis.  / Go benguet! 🎉  /  / lokal ng loacan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw8uxpiBiECEGyAqm94AaABAg	Ugw8uxpiBiECEGyAqm94AaABAg	UCxHxJyvwIQnBsv_apYYEL4g	Fetched 05/27/2026, 8:00:04 PM GMT+8
5	Loacan	@JohnRayMatabang	14 hours ago	GOOD morning PO FROM LOACAN Benguet 🇮🇹	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxv7aW0VpkXmjM_QoR4AaABAg	Ugxv7aW0VpkXmjM_QoR4AaABAg	UC4Wg_mO5HJeJN5OgcLxMgPA	Fetched 05/27/2026, 8:00:04 PM GMT+8
6	Loacan	@jonathanmalunas3534	20 hours ago	Watching from local Ng loacan distrito Ng benguet❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgymRMxBSRNxIwyCb2t4AaABAg	UgymRMxBSRNxIwyCb2t4AaABAg	UCnF2j0neLoFJewWO3GSP3JQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
7	Loacan	@gemaila_unay	21 hours ago	Let's go Benguet! Support from Lokal ng Loacan! ❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy5QNXy9RDd-C8dAD14AaABAg	Ugy5QNXy9RDd-C8dAD14AaABAg	UCcBJ4Uu39m7yYYSP80sXO5g	Fetched 05/27/2026, 8:00:04 PM GMT+8
8	Loacan	@ramcelc.lorezco3335	21 hours ago	happy Viewing po from Lokal ng Loacan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwlRITskut5HXgpGQ94AaABAg	UgwlRITskut5HXgpGQ94AaABAg	UC1VNPpgapsCm-OX-ZQjROUw	Fetched 05/27/2026, 8:00:04 PM GMT+8
9	Loacan	@JohnRayMatabang	22 hours ago	Hello po from Loacan Benguet 🇮🇹	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwNLFaCZpsPX0dsZGt4AaABAg	UgwNLFaCZpsPX0dsZGt4AaABAg	UC4Wg_mO5HJeJN5OgcLxMgPA	Fetched 05/27/2026, 8:00:04 PM GMT+8
10	Loacan	@Vhenzdepz	23 hours ago	Local ng Loacan	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz-kCwvOEaFSTstLQJ4AaABAg	Ugz-kCwvOEaFSTstLQJ4AaABAg	UC-AsYSQR9KZTQNyBFCMiwvw	Fetched 05/27/2026, 8:00:04 PM GMT+8
