No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Loakan Airport	@C0C0AL0V3SY0U	12 days ago	Happy watching from Lokal ng Loakan Airport, Distrito ng Benguet🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw8oOIkPRJc0PqZQw54AaABAg	Ugw8oOIkPRJc0PqZQw54AaABAg	UC9N3pFbWZQUJ-aPIT8YZZIw	Fetched 06/09/2026, 9:00:05 PM GMT+8
2	Loakan Airport	@Rochellebalingao	12 days ago	Go benguet🎉🎉🎉🎉from Loakan Airport 🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy2Bor7P7r_bhyFplx4AaABAg	Ugy2Bor7P7r_bhyFplx4AaABAg	UCn2RLDeoruL1TzAnGu5V1og	Fetched 06/09/2026, 9:00:05 PM GMT+8
3	Loakan Airport	@HylenVillanueva	12 days ago	Go Benguet❤ Happy Viewing po from Loakan Airport, Benguet 😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwandAEDw1zMSBz8Jt4AaABAg	UgwandAEDw1zMSBz8Jt4AaABAg	UCcbJzLxKGYrp7w4Jlei72dQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
4	Loakan Airport	@C0C0AL0V3SY0U	12 days ago	Happy watching from Lokal ng Loakan Airport, Distrito ng Benguet🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzWDJAqvhUz-uS6boJ4AaABAg	UgzWDJAqvhUz-uS6boJ4AaABAg	UC9N3pFbWZQUJ-aPIT8YZZIw	Fetched 06/09/2026, 9:00:05 PM GMT+8
5	Loakan Airport	@C0C0AL0V3SY0U	12 days ago	Happy watching from Lokal ng Loakan Airport, Distrito ng Benguet🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw7ITE4VhpVGXVDvwF4AaABAg	Ugw7ITE4VhpVGXVDvwF4AaABAg	UC9N3pFbWZQUJ-aPIT8YZZIw	Fetched 06/09/2026, 9:00:05 PM GMT+8
6	Loakan Airport	@C0C0AL0V3SY0U	12 days ago	Happy watching from Lokal ng Loakan Airport, Distrito ng Benguet🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdSfYqBLXPyFt2eLJ4AaABAg	UgwdSfYqBLXPyFt2eLJ4AaABAg	UC9N3pFbWZQUJ-aPIT8YZZIw	Fetched 06/09/2026, 9:00:05 PM GMT+8
7	Loakan Airport	@C0C0AL0V3SY0U	12 days ago	Happy watching from Lokal ng Loakan Airport, Distrito ng Benguet🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwr-lpp_nZb3yyPQeR4AaABAg	Ugwr-lpp_nZb3yyPQeR4AaABAg	UC9N3pFbWZQUJ-aPIT8YZZIw	Fetched 06/09/2026, 9:00:05 PM GMT+8
8	Loakan Airport	@C0C0AL0V3SY0U	12 days ago	❤❤❤ loakan airport!!! 💐💖	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyzp90hdOebzYRmkJd4AaABAg	Ugyzp90hdOebzYRmkJd4AaABAg	UC9N3pFbWZQUJ-aPIT8YZZIw	Fetched 06/09/2026, 9:00:05 PM GMT+8
9	Loakan Airport	@Rochellebalingao	12 days ago	Happy lunch mga Kapatid from Loakan Airport🎉🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXKQHmoO17njt1VvR4AaABAg	UgwXKQHmoO17njt1VvR4AaABAg	UCn2RLDeoruL1TzAnGu5V1og	Fetched 06/09/2026, 9:00:05 PM GMT+8
10	Loakan Airport	@reynaquedi9078	12 days ago	Happy lunch po 🎉 /  / Loakan Airport Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxAqMKN4FU3Pp54ALN4AaABAg	UgxAqMKN4FU3Pp54ALN4AaABAg	UC5PBjvoyqFMwJl0KxmJFgtQ	Fetched 06/09/2026, 9:00:05 PM GMT+8
