No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Marcos Highway,@raymundlaluan6258,2 hours ago,Happy viewing po ❤ / Shout out sa mga Maytungkulin sa Pagsamba ng Kabataan sa lokal ng Marcos Highway ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxkRxSm-INfwn5o5MR4AaABAg,UgxkRxSm-INfwn5o5MR4AaABAg,UCd90_7SI3CJbAhquRna-8RQ,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
2,Marcos Highway,@JelouMaeSa-ong,2 hours ago,"Lezzz go Benguet! / From Local of Marcos Highway, District of Benguet /  / -PNK",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgydCN4bL_jLGiwz-zp4AaABAg,UgydCN4bL_jLGiwz-zp4AaABAg,UCZ-851vepVl9jhfL8WZ3HVQ,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
3,Marcos Highway,@josephdulay9738,3 hours ago,Walk out ! Dapat manood na lang tayo ng video good morning from Lokal ng Marcos Highway Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw2ggqhKa9BSNtV5Zx4AaABAg,Ugw2ggqhKa9BSNtV5Zx4AaABAg,UCwvvvRliliMsTWa0NSEeWPg,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
4,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugys-3DAkq6BOQMu1MB4AaABAg,Ugys-3DAkq6BOQMu1MB4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
5,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugys_pktwAZWYURHYHt4AaABAg,Ugys_pktwAZWYURHYHt4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
6,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwG2EyFCRjHOIDxEtx4AaABAg,UgwG2EyFCRjHOIDxEtx4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
7,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzMB3FxxDJmY4JJAXV4AaABAg,UgzMB3FxxDJmY4JJAXV4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
8,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxiG1N2FdTgnuvGQmR4AaABAg,UgxiG1N2FdTgnuvGQmR4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
9,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugye5CIVroRXPv9W6Dh4AaABAg,Ugye5CIVroRXPv9W6Dh4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
10,Marcos Highway,@camshinn137,10 hours ago,Happy viewing po to all brethren!  /  / Greetings from Local of MARCOS HIGHWAY!!! 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzQTL1Z5qffWVVP2Dh4AaABAg,UgzQTL1Z5qffWVVP2Dh4AaABAg,UCdoWnC3qAw2LGoS58oioDYw,"Fetched 05/27/2026, 11:00:04 AM GMT+8"
