No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Megaroyale Village,@markdee4662,6 days ago,Watching from lokal ng megaroyale Village. Time check 2:52Am,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgworvvCnyLCKrhBJm94AaABAg,UgworvvCnyLCKrhBJm94AaABAg,UCa2Y_FoGVERvnxIwM_suxOA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
2,Megaroyale Village,@mariacristinajimenez8705,11 days ago,Happy viewing po mula s lokal ng megaroyale village..❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyWxY1W8vqUdyGO4ih4AaABAg,UgyWxY1W8vqUdyGO4ih4AaABAg,UCVbarTHUnbNGC654gSVH8Zg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
3,Megaroyale Village,@mariacristinajimenez8705,11 days ago,Happy viewing po mula lokal ng Megaroyale village. Go! Benguet🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxfKaqx97imGLnYmdl4AaABAg,UgxfKaqx97imGLnYmdl4AaABAg,UCVbarTHUnbNGC654gSVH8Zg,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
4,Megaroyale Village,@angelamayramos4712,11 days ago,Happy Viewing po mula sa Lokal ng Megaroyale Village 🎉 /  / ~Kadiwa/Mang-aawait/Kalihim,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzMihKiaAHpGxIW-Pd4AaABAg,UgzMihKiaAHpGxIW-Pd4AaABAg,UCCx8guWwM33n9MAoUPnAmBA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
5,Megaroyale Village,@angelamayramos4712,11 days ago,Go Benguet 🎉 / Good Morning po mula sa Lokal ng Megaroyale Village /  / Kadiwa~,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyqMcxhQab3ATZpSol4AaABAg,UgyqMcxhQab3ATZpSol4AaABAg,UCCx8guWwM33n9MAoUPnAmBA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
6,Megaroyale Village,@angelamayramos4712,12 days ago,Baguio City Go Go Go 🎉 / Happy Viewing po mula sa Lokal ng Megaroyale Village /  / ~Kadiwa,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyFDD4sdJBN_5OleUN4AaABAg,UgyFDD4sdJBN_5OleUN4AaABAg,UCCx8guWwM33n9MAoUPnAmBA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
7,Megaroyale Village,@CorneliaRivera-m3h,12 days ago,"Happy viewing po mga kapatid  / --MEGAROYALE VILLAGE, BENGUET",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz9I8AN0zcdFTLfnhZ4AaABAg,Ugz9I8AN0zcdFTLfnhZ4AaABAg,UCsyF3TrQ-UOo5FBiDnQguLQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
8,Megaroyale Village,@CorneliaRivera-m3h,12 days ago,"Good evening po mga kapatid / --MEGAROYALE VILLAGE, BENGUET",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzDF8eI1FZMW8aJKkl4AaABAg,UgzDF8eI1FZMW8aJKkl4AaABAg,UCsyF3TrQ-UOo5FBiDnQguLQ,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
9,Megaroyale Village,@angelamayramos4712,12 days ago,Galing Benguet 🎉👏 Happy Viewing po from Megaroyale Village ~Kadiwa(Kalihim/Mang-aawit),https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwEEJdlKGK975ovS6N4AaABAg,UgwEEJdlKGK975ovS6N4AaABAg,UCCx8guWwM33n9MAoUPnAmBA,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
10,Megaroyale Village,@RamosAngelaMay,12 days ago,Happy Viewing Po Mula sa lokal ng Megaroyale Village 🎉 /  / Kadiwa/Kalihim/Mang-aawit,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxrjMoM9-RH1G22cCB4AaABAg,UgxrjMoM9-RH1G22cCB4AaABAg,UCe7b7k61uYlObM2owVI_JJw,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
