No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Megaroyale Village	@angelamayramos4712	4 hours ago	Galing Benguet 🎉👏 Happy Viewing po from Megaroyale Village ~Kadiwa(Kalihim/Mang-aawit)	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwEEJdlKGK975ovS6N4AaABAg	UgwEEJdlKGK975ovS6N4AaABAg	UCCx8guWwM33n9MAoUPnAmBA	Fetched 05/27/2026, 8:00:04 PM GMT+8
2	Megaroyale Village	@RamosAngelaMay	4 hours ago	Happy Viewing Po Mula sa lokal ng Megaroyale Village 🎉 /  / Kadiwa/Kalihim/Mang-aawit	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxrjMoM9-RH1G22cCB4AaABAg	UgxrjMoM9-RH1G22cCB4AaABAg	UCe7b7k61uYlObM2owVI_JJw	Fetched 05/27/2026, 8:00:04 PM GMT+8
3	Megaroyale Village	@gelie_04_miranda	4 hours ago	Happy Viewing po from Lokal ng Megaroyale Village Distrito Ng Benguet😇😮	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwp16QkNuFMFhox3jp4AaABAg	Ugwp16QkNuFMFhox3jp4AaABAg	UCKNLwuil9HpRiiVgiZjWtyQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
4	Megaroyale Village	@gelie_04_miranda	4 hours ago	Happy Viewing po from Lokal ng Megaroyale Village Distrito Ng Benguet😇❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyQo1CjTUpauP8aWGx4AaABAg	UgyQo1CjTUpauP8aWGx4AaABAg	UCKNLwuil9HpRiiVgiZjWtyQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
5	Megaroyale Village	@Altheamay18	5 hours ago	Watching po, kalihim (LCRC) ng lokal ng Megaroyale Village Distrito ng Benguet po 😄	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPfA7asTQ0yqrt4AV4AaABAg	UgxPfA7asTQ0yqrt4AV4AaABAg	UC_uXcDgwZnPo7AAQqssaEcA	Fetched 05/27/2026, 8:00:04 PM GMT+8
6	Megaroyale Village	@mariacristinajimenez8705	9 hours ago	Happy viewing po Go! go!Go! Benguet.. Mula s lokal ng megaroyale village po	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxuTDiVflSaXvtjhlp4AaABAg	UgxuTDiVflSaXvtjhlp4AaABAg	UCVbarTHUnbNGC654gSVH8Zg	Fetched 05/27/2026, 8:00:04 PM GMT+8
7	Megaroyale Village	@emersonsrrivera8499	10 hours ago	Magandang araw po... Shoutout po sa lahat ng mga kapatid sa lokal ng Megaroyale Village...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDrXPkR_aVqejGf214AaABAg	UgxDrXPkR_aVqejGf214AaABAg	UCEwD1sGs1TBK_FclZJYDoEw	Fetched 05/27/2026, 8:00:04 PM GMT+8
8	Megaroyale Village	@CorneliaRivera-m3h	12 hours ago	Magandang umaga po / --MEGAROYALE VILLAGE, BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwQTd_P8Yy_0okOJ-l4AaABAg	UgwQTd_P8Yy_0okOJ-l4AaABAg	UCsyF3TrQ-UOo5FBiDnQguLQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
9	Megaroyale Village	@CorneliaRivera-m3h	1 day ago	Good evening po mga kapatid sama-sama po tayong muling manood  / Megaroyale Village, Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzkB_AVjQRu0SZrLrh4AaABAg	UgzkB_AVjQRu0SZrLrh4AaABAg	UCsyF3TrQ-UOo5FBiDnQguLQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
10	Megaroyale Village	@nicholsoncaezarrivera991	1 day ago	Good evening po mga kapatid sama-sama po tayong muling manood  / Megaroyale Village, Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyfqqdglKGH0LQZ89J4AaABAg	UgyfqqdglKGH0LQZ89J4AaABAg	UCj1hmCKHJZQb6ZuqCt2iHCw	Fetched 05/27/2026, 8:00:04 PM GMT+8
11	Megaroyale Village	@CorneliaRivera-m3h	1 day ago	TOGETHER FOR BENGUET!!! / Watching from MEGAROYALE VILLAGE BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVT0r7mWVPbJZmKA54AaABAg	UgzVT0r7mWVPbJZmKA54AaABAg	UCsyF3TrQ-UOo5FBiDnQguLQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
12	Megaroyale Village	@nicholsoncaezarrivera991	1 day ago	Benguet the best!!!! / Watching from MEGAROYALE VILLAGE, BENGUET	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugynrl4EHMOeR0FUUl14AaABAg	Ugynrl4EHMOeR0FUUl14AaABAg	UCj1hmCKHJZQb6ZuqCt2iHCw	Fetched 05/27/2026, 8:00:04 PM GMT+8
