No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Mirador Hills,@sapheireaquino8583,8 days ago,Happy viewing po from Mirador Hills ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy9Q0MnJwikNpX3wkJ4AaABAg,Ugy9Q0MnJwikNpX3wkJ4AaABAg,UCesnXc6qDBLHqxmeygv95fA,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
2,Mirador Hills,@maricondangla3935,9 days ago,Happy Viewing po mga Kapatid / MIRADOR HILLS BENGUET❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwhvHEyc0lqcRZzaKd4AaABAg,UgwhvHEyc0lqcRZzaKd4AaABAg,UCs1kMxl27CsnHrVQVdMNT8A,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
3,Mirador Hills,@Adliselb,9 days ago,Binbati ko po..Happy 18th yrs anniversary ang lokal ng Mirador hills....mula po sa aming sambahayan.....watch po Tayo ng INCMV mula po sa Baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzTLtGqUFmT3eB7qYF4AaABAg,UgzTLtGqUFmT3eB7qYF4AaABAg,UCqdcIovy1nUIY294NOXH8LQ,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
4,Mirador Hills,@maricondangla3935,9 days ago,Happy 18th Anniversary Lokal ng MIRADOR HILLS!!!! / Happy Viewing!!!pagbati mula sa maytungkulin ng PANANALAPI mula po sa lokal ng Mirador Hills❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwuWZW64qD-jIKXcH94AaABAg,UgwuWZW64qD-jIKXcH94AaABAg,UCs1kMxl27CsnHrVQVdMNT8A,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
5,Mirador Hills,@maricondangla3935,9 days ago,Happy Viewing from Lokal ng Mirador Hills❤❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwM7x9w3z3CZtYSYqx4AaABAg,UgwM7x9w3z3CZtYSYqx4AaABAg,UCs1kMxl27CsnHrVQVdMNT8A,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
6,Mirador Hills,@FilipinaWallis,11 days ago,"Go Benguet,,happy viewing po,,kalihiman mirador hills",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJ3zxU2QDKWD7gPz94AaABAg,UgwJ3zxU2QDKWD7gPz94AaABAg,UColgebCrDJsPRccJNQLMt_A,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
7,Mirador Hills,@IeshaObana,11 days ago,"goodeve po sa mga kasama kong binhi at kadiwa district officer, happy viewing po mula sa lokal ng mirador hills❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzW7hut9W44iSSl3e14AaABAg,UgzW7hut9W44iSSl3e14AaABAg,UCipT-3PF6TAIBDln8IkDgkA,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
8,Mirador Hills,@IeshaObana,12 days ago,"goodmorning po sa mga kasama kong binhi at kadiwa district officer na nanonood, mula po sa lokal ng mirador hills",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxwc0CyS83-iOK_M1Z4AaABAg,Ugxwc0CyS83-iOK_M1Z4AaABAg,UCipT-3PF6TAIBDln8IkDgkA,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
9,Mirador Hills,@IeshaObana,12 days ago,"goodevening po sa mga kasama kong binhi at kadiwa district officer na nanonood, happy viewing po mula sa lokal ng mirador hills, go go benguet, habol po tayo❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzAXR8SvTA1LwWkczd4AaABAg,UgzAXR8SvTA1LwWkczd4AaABAg,UCipT-3PF6TAIBDln8IkDgkA,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
10,Mirador Hills,@IeshaObana,12 days ago,"goodaftie po sa mga kasama kong binhi at kadiwa district officer na nanonood, happy viewing po mula sa lokal ng mirador hills, go benguet!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDvDc1FdMXTVA08194AaABAg,UgyDvDc1FdMXTVA08194AaABAg,UCipT-3PF6TAIBDln8IkDgkA,"Fetched 06/04/2026, 12:00:04 PM GMT+8"
