No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Mirador Hills	@maricondangla3935	21 hours ago	Happy Viewing po mga Kapatid / MIRADOR HILLS BENGUET❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwhvHEyc0lqcRZzaKd4AaABAg	UgwhvHEyc0lqcRZzaKd4AaABAg	UCs1kMxl27CsnHrVQVdMNT8A	Fetched 05/26/2026, 3:00:04 PM GMT+8
2	Mirador Hills	@Adliselb	23 hours ago	Binbati ko po..Happy 18th yrs anniversary ang lokal ng Mirador hills....mula po sa aming sambahayan.....watch po Tayo ng INCMV mula po sa Baguio city	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzTLtGqUFmT3eB7qYF4AaABAg	UgzTLtGqUFmT3eB7qYF4AaABAg	UCqdcIovy1nUIY294NOXH8LQ	Fetched 05/26/2026, 3:00:04 PM GMT+8
3	Mirador Hills	@maricondangla3935	23 hours ago	Happy 18th Anniversary Lokal ng MIRADOR HILLS!!!! / Happy Viewing!!!pagbati mula sa maytungkulin ng PANANALAPI mula po sa lokal ng Mirador Hills❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwuWZW64qD-jIKXcH94AaABAg	UgwuWZW64qD-jIKXcH94AaABAg	UCs1kMxl27CsnHrVQVdMNT8A	Fetched 05/26/2026, 3:00:04 PM GMT+8
4	Mirador Hills	@maricondangla3935	23 hours ago	Happy Viewing from Lokal ng Mirador Hills❤❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwM7x9w3z3CZtYSYqx4AaABAg	UgwM7x9w3z3CZtYSYqx4AaABAg	UCs1kMxl27CsnHrVQVdMNT8A	Fetched 05/26/2026, 3:00:04 PM GMT+8
5	Mirador Hills	@FilipinaWallis	2 days ago	Go Benguet,,happy viewing po,,kalihiman mirador hills	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwJ3zxU2QDKWD7gPz94AaABAg	UgwJ3zxU2QDKWD7gPz94AaABAg	UColgebCrDJsPRccJNQLMt_A	Fetched 05/26/2026, 3:00:04 PM GMT+8
6	Mirador Hills	@IeshaObana	2 days ago	goodeve po sa mga kasama kong binhi at kadiwa district officer, happy viewing po mula sa lokal ng mirador hills❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzW7hut9W44iSSl3e14AaABAg	UgzW7hut9W44iSSl3e14AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
7	Mirador Hills	@IeshaObana	3 days ago	goodmorning po sa mga kasama kong binhi at kadiwa district officer na nanonood, mula po sa lokal ng mirador hills	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxwc0CyS83-iOK_M1Z4AaABAg	Ugxwc0CyS83-iOK_M1Z4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
8	Mirador Hills	@IeshaObana	3 days ago	goodevening po sa mga kasama kong binhi at kadiwa district officer na nanonood, happy viewing po mula sa lokal ng mirador hills, go go benguet, habol po tayo❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzAXR8SvTA1LwWkczd4AaABAg	UgzAXR8SvTA1LwWkczd4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
9	Mirador Hills	@IeshaObana	4 days ago	goodaftie po sa mga kasama kong binhi at kadiwa district officer na nanonood, happy viewing po mula sa lokal ng mirador hills, go benguet!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDvDc1FdMXTVA08194AaABAg	UgyDvDc1FdMXTVA08194AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
10	Mirador Hills	@IeshaObana	4 days ago	happy lunch po sa mga kasama kong binhi at kadiwa district officer na nanonood, mula po sa lokal ng mirador hills happy viewing po❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwmHMuswKN-sl2PLst4AaABAg	UgwmHMuswKN-sl2PLst4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
11	Mirador Hills	@IeshaObana	4 days ago	goodmorning po sa mga kasama kong binhi at kadiwa district officer, happy viewing po mula sa lokal ng mirador hills💗💗	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyj7H0RLrUSNet3-AZ4AaABAg	Ugyj7H0RLrUSNet3-AZ4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
12	Mirador Hills	@IeshaObana	4 days ago	goodevening po sa mga kasama kong binhi at kadiwa district officer, mula po sa lokal ng mirador hills, go benguet!!!❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwunnNdR9FGQKaeTtF4AaABAg	UgwunnNdR9FGQKaeTtF4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
13	Mirador Hills	@IeshaObana	4 days ago	goodaftie po sa mga kasama kong binhi at kadiwa district officer, mula po sa lokal ng mirador hills	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxwU4StBkS5SIDVx414AaABAg	UgxwU4StBkS5SIDVx414AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
14	Mirador Hills	@IeshaObana	5 days ago	pagbati po sa mga kasama kong binhi at kadiwa district officer, mula po sa lokal ng mirador hills	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwwaeHGVvufh1Lua5V4AaABAg	UgwwaeHGVvufh1Lua5V4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
15	Mirador Hills	@IeshaObana	5 days ago	goodevening po sa mga kasama kong binhi at kadiwa district officer, happy viewing po mula sa lokal ng mirador hills, go benguet❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxEiptin_B7q5lxTnd4AaABAg	UgxEiptin_B7q5lxTnd4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
16	Mirador Hills	@IeshaObana	6 days ago	goodmorning po sa mga kasa kong binhi at kadiwa district officer. mula po sa lokal ng mirador hills, GO BENGUET!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyBW91_vHebZR2avNV4AaABAg	UgyBW91_vHebZR2avNV4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
17	Mirador Hills	@IeshaObana	6 days ago	happy viewing po, lalo na sa mga kasama kong binhi at kadiwa district officer, mula po sa lokal ng mirador hills. tuloy tuloy lang po, top 1 na ang benguet!!❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxg7ZiWImudteRvdAd4AaABAg	Ugxg7ZiWImudteRvdAd4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
18	Mirador Hills	@sapheireaquino8583	6 days ago	Happy viewing po from Mirador Hills ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyN1c0Bxz3z3FF41kx4AaABAg	UgyN1c0Bxz3z3FF41kx4AaABAg	UCesnXc6qDBLHqxmeygv95fA	Fetched 05/26/2026, 3:00:04 PM GMT+8
19	Mirador Hills	@IeshaObana	7 days ago	pagbati po sa mga kasama kong district officer, mula po sa lokal ng mirador hills, go benguett!!!!!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPojNytxo4LX-agLd4AaABAg	UgxPojNytxo4LX-agLd4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
20	Mirador Hills	@AquinCache	7 days ago	Happy viewing po from Mirador hills ❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwNRUzHcL34d_N8YP54AaABAg	UgwNRUzHcL34d_N8YP54AaABAg	UCyxlSWWkVCtqGfPuJcykIuA	Fetched 05/26/2026, 3:00:04 PM GMT+8
21	Mirador Hills	@IeshaObana	7 days ago	go benguet, pagbati po sa mga kapisanang binhi na nanonood, mula po sa lokal ng mirador hillss	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZwt7HhKC2Zp-Zfn54AaABAg	UgwZwt7HhKC2Zp-Zfn54AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
22	Mirador Hills	@IeshaObana	7 days ago	goodmorning po sa mga kasama kong binhi at kadiwa  district officer na nanonood, mula po sa lokal ng mirador hills	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxsza4hQ3KjF7rSzYp4AaABAg	Ugxsza4hQ3KjF7rSzYp4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
23	Mirador Hills	@Savage_TP_TP	7 days ago	go Benguet / #Mirador Hills	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz5rWc5hADCixrQoL14AaABAg	Ugz5rWc5hADCixrQoL14AaABAg	UC5-9JkIGyDd8BadvA32sl9g	Fetched 05/26/2026, 3:00:04 PM GMT+8
24	Mirador Hills	@IeshaObana	7 days ago (edited)	pagbatiii po sa mga kasama kong binhi at kadiwa district officer, lalo na po sa aming pangulong binhi na si ate lhexie, happy viewing po. mula sa lokal ng mirador hillsss❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxYphuDhy13KcifRGN4AaABAg	UgxYphuDhy13KcifRGN4AaABAg	UCipT-3PF6TAIBDln8IkDgkA	Fetched 05/26/2026, 3:00:04 PM GMT+8
