No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Norcar,@haielei2869,7 days ago,"Lets Go Benguet!  / Habang kumakain tayo po ay patuloy sa panunuod!  / Greetings po mula sa Lokal ng Norcar, binhi at ilaw",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyJUlOutfdKskazHud4AaABAg,UgyJUlOutfdKskazHud4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
2,Norcar,@HermeniaBurgos,7 days ago,Good morning po BENGUET!  / GO GO GO.   / Greetings from Lokal ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxkeDiSKI3y-iDH9Ht4AaABAg,UgxkeDiSKI3y-iDH9Ht4AaABAg,UC0pdkEU5A7kafS24ezIewAA,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
3,Norcar,@HermeniaBurgos,7 days ago,A very heartwarming song to start our day.  / Greetings from Lokal ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwqkS68yX1oO70KJRh4AaABAg,UgwqkS68yX1oO70KJRh4AaABAg,UC0pdkEU5A7kafS24ezIewAA,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
4,Norcar,@haielei2869,7 days ago,isang magadang morning para sa BENGUET! /  / Lets go Top 1. FIGHT FIGHT FIGHT / greetings po from Norcar binhi  at ilaw,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPSPzh1qqIvlCdHvp4AaABAg,UgxPSPzh1qqIvlCdHvp4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
5,Norcar,@romulodeverajr.9937,7 days ago,Shout po sa mga kapatid sa Norcar. / Go baguio city,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy-PjVjqh1N-SdPXcl4AaABAg,Ugy-PjVjqh1N-SdPXcl4AaABAg,UCp-gBjV5Wh420GHK3cminkw,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
6,Norcar,@almazanrhyndylyn,7 days ago,Happy watching mula sa Lokal ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzYJHF2F8KupG24eKV4AaABAg,UgzYJHF2F8KupG24eKV4AaABAg,UCEoQCNgytnJxjJnAQLSzFeA,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
7,Norcar,@haielei2869,7 days ago,"Lets Go Benguet!  / Habang kumakain tayo po ay patuloy sa panunuod!  / Greetings po mula sa Lokal ng Norcar, binhi at ilaw",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyIzXep7qCBhvjMs4N4AaABAg,UgyIzXep7qCBhvjMs4N4AaABAg,UCf3PWHW8mj2mncX07kw9ZQw,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
8,Norcar,@HermeniaBurgos,7 days ago,Good morning po BENGUET!  / GO GO GO.   / Greetings from Lokal ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzDaOBpvzzt-5aHIn54AaABAg,UgzDaOBpvzzt-5aHIn54AaABAg,UC0pdkEU5A7kafS24ezIewAA,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
9,Norcar,@HermeniaBurgos,7 days ago,A very heartwarming song to start our day.  / Greetings from Lokal ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwxn1nPKbti7Ypith14AaABAg,Ugwxn1nPKbti7Ypith14AaABAg,UC0pdkEU5A7kafS24ezIewAA,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
10,Norcar,@almazanrhyndylyn,7 days ago,Fighting Benguet /  / ❤ Lokal ng Norcar,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgywinhzcBKkUBcUS654AaABAg,UgywinhzcBKkUBcUS654AaABAg,UCEoQCNgytnJxjJnAQLSzFeA,"Fetched 06/04/2026, 11:00:05 PM GMT+8"
