No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Norcar	@HermeniaBurgos	11 days ago	Good morning po BENGUET!  / GO GO GO.   / Greetings from Lokal ng Norcar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxkeDiSKI3y-iDH9Ht4AaABAg	UgxkeDiSKI3y-iDH9Ht4AaABAg	UC0pdkEU5A7kafS24ezIewAA	Fetched 06/08/2026, 10:00:05 PM GMT+8
2	Norcar	@haielei2869	11 days ago	Kaya natin to BENGUET! Ngayon na! Kahit may ginagawa patuloy po kami sa pakikinig!  / Mula po sa Lokal ng Norcar, ilaw at binhi	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxq_G52rCu9xICv1iN4AaABAg	Ugxq_G52rCu9xICv1iN4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
3	Norcar	@haielei2869	11 days ago	Lets Go Benguet!  / Habang kumakain tayo po ay patuloy sa panunuod!  / Greetings po mula sa Lokal ng Norcar, binhi at ilaw	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyJUlOutfdKskazHud4AaABAg	UgyJUlOutfdKskazHud4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
4	Norcar	@haielei2869	11 days ago	Enjoy watching po. Good afternoon po sa ating Tagapamahalang Pangkalahatan Ka Eduardo V. Manalo at ang kanya pong buong sambahayan from Lokal ng Norcar po	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxTJQ3KOvnX2cGLGsV4AaABAg	UgxTJQ3KOvnX2cGLGsV4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
5	Norcar	@HermeniaBurgos	11 days ago	A very heartwarming song to start our day.  / Greetings from Lokal ng Norcar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwqkS68yX1oO70KJRh4AaABAg	UgwqkS68yX1oO70KJRh4AaABAg	UC0pdkEU5A7kafS24ezIewAA	Fetched 06/08/2026, 10:00:05 PM GMT+8
6	Norcar	@haielei2869	11 days ago	Enjoy watching po. Good afternoon po sa ating II Tagapamahalang Pangkalahatan Ka Angelo Eraño Manalo at ang kanila pong buong sambahayan from Lokal ng Norcar po	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwPilcLuXFy8T2cLHh4AaABAg	UgwPilcLuXFy8T2cLHh4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
7	Norcar	@haielei2869	11 days ago	isang magadang morning para sa BENGUET! /  / Lets go Top 1. FIGHT FIGHT FIGHT / greetings po from Norcar binhi  at ilaw	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPSPzh1qqIvlCdHvp4AaABAg	UgxPSPzh1qqIvlCdHvp4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
8	Norcar	@haielei2869	11 days ago	Kaya natin to BENGUET! Ngayon na! Kahit may ginagawa patuloy po kami sa pakikinig!  / Mula po sa Lokal ng Norcar, ilaw at binhi Kaya natin to BENGUET! Ngayon na! Kahit may ginagawa patuloy po kami sa pakikinig!  / Mula po sa Lokal ng Norcar, ilaw at binhi	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzYG-i-h4lUqooaxpt4AaABAg	UgzYG-i-h4lUqooaxpt4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
9	Norcar	@HermeniaBurgos	11 days ago	Good morning po BENGUET!  / GO GO GO.   / Greetings from Lokal ng Norcar	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzDaOBpvzzt-5aHIn54AaABAg	UgzDaOBpvzzt-5aHIn54AaABAg	UC0pdkEU5A7kafS24ezIewAA	Fetched 06/08/2026, 10:00:05 PM GMT+8
10	Norcar	@haielei2869	11 days ago	Kaya natin to BENGUET! Ngayon na! Kahit may ginagawa patuloy po kami sa pakikinig!  / Mula po sa Lokal ng Norcar, ilaw at binhi	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzInxkR7WpNKsRUTN4AaABAg	UgwzInxkR7WpNKsRUTN4AaABAg	UCf3PWHW8mj2mncX07kw9ZQw	Fetched 06/08/2026, 10:00:05 PM GMT+8
