No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Philex,@josephlambino4452,7 hours ago,Happy viewing po from lokal lokal NG philex mines district of benguet  / Choir/kadiwa,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxodS6x24Y4fEo_UdR4AaABAg,UgxodS6x24Y4fEo_UdR4AaABAg,UCSEeDPjm0M94BsJzVTNTWQQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
2,Philex,@ValentinBalmonte,1 day ago,Hello po mga kpatid philex benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzof4FcgCo37pOdtRl4AaABAg,Ugzof4FcgCo37pOdtRl4AaABAg,UC3xoaoK2u01Wt-CTyQpm7Cg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
3,Philex,@victorlibasteazur8380,1 day ago,"Go go go Benguet,happy viewing to all brethrens from Philex mines locale district of Benguet 🇮🇹",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzyFkvs3_ZnJbKt0G54AaABAg,UgzyFkvs3_ZnJbKt0G54AaABAg,UCiWF13lcJKjyrtcb23nIIEg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
4,Philex,@josephlambino4452,1 day ago,Mula po SA lokal NG philex mines district of benguet po..maligayang panonood po mga kabagis..  / Mangaawit po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyhk8wZGrxMF9ZGtLd4AaABAg,Ugyhk8wZGrxMF9ZGtLd4AaABAg,UCSEeDPjm0M94BsJzVTNTWQQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
5,Philex,@josephlambino-u4p,1 day ago,Good day po mga kapatid mula po sa LOKAL ng Philex mines distrito ng Benguet. Maligayang panonood po sa ating lahat po go Benguet God's love.. / @Mang-aawit sa LOKAL po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgySv66unM9WpjfgniF4AaABAg,UgySv66unM9WpjfgniF4AaABAg,UCh8WU3VaUXbHHbfx8ZwhSsQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
6,Philex,@TRISHAEMYROSEARCEO,1 day ago,"Happy viewing po!  From lokal ng Philex Mines, distrito ng Benguet. - Organista/Kalihim",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy2UIrh4l0LDZLWxmR4AaABAg,Ugy2UIrh4l0LDZLWxmR4AaABAg,UCX_kjKgnB8Ck_0ZTAwbadcA,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
7,Philex,@josephlambino-u4p,1 day ago,Happy viewing po mga kabagis .. LOKAL NG PHILEX mines district of Benguet Godbless po sa lahat po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz4DZLrSDT31oeC5bB4AaABAg,Ugz4DZLrSDT31oeC5bB4AaABAg,UCh8WU3VaUXbHHbfx8ZwhSsQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
8,Philex,@jayignacioolaguer2167,1 day ago,"Happy viewing to all.  / Greetings to everyone.  / -Lokal ng Philex Mines, District of Benguet.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxM-TrTrm0JH-cts6h4AaABAg,UgxM-TrTrm0JH-cts6h4AaABAg,UCd5aoAOmHEFZOr2JJS4B95w,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
9,Philex,@ValentinBalmonte,1 day ago,Hello po watching philex benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxitEeDtfYeTQrqRcF4AaABAg,UgxitEeDtfYeTQrqRcF4AaABAg,UC3xoaoK2u01Wt-CTyQpm7Cg,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
10,Philex,@josephlambino4452,2 days ago,Mula po SA lokal NG philex mines po DISTRITO NG BENGUET Happy viewing po SA LAHAt mga kabagis..,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyVWqFrYIW9AA2rAhd4AaABAg,UgyVWqFrYIW9AA2rAhd4AaABAg,UCSEeDPjm0M94BsJzVTNTWQQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
11,Philex,@CJOlaguer,2 days ago,Fight fight fight! Let's go Benguet. Mula sa Philex Mines,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwFfCEw2_rH2mF-8U14AaABAg,UgwFfCEw2_rH2mF-8U14AaABAg,UCyCwjyfSct5YCJGawn3SH-g,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
12,Philex,@josephlambino4452,2 days ago,Happy viewing po from lokal NG philex mines district of benguet po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzbcJftecyY7EZ0SNh4AaABAg,UgzbcJftecyY7EZ0SNh4AaABAg,UCSEeDPjm0M94BsJzVTNTWQQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
13,Philex,@josephlambino4452,2 days ago,Happy viewing po from lokal NG philex mines district of benguet godbless po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz0VLl9GkZLa79I_p54AaABAg,Ugz0VLl9GkZLa79I_p54AaABAg,UCSEeDPjm0M94BsJzVTNTWQQ,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
14,Philex,@CJOlaguer,2 days ago,Upbeat na tugtog sa umagang kay ganda. Fight fight fight Benguet! Mula sa Lokal ng Philex Mines,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwkdYPMhEgO7Q1TEyt4AaABAg,UgwkdYPMhEgO7Q1TEyt4AaABAg,UCyCwjyfSct5YCJGawn3SH-g,"Fetched 05/27/2026, 8:00:04 PM GMT+8"
