No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Pinsao	@JocelynAngsofan	3 hours ago	love and support mula po sa kapisanan ng kadiwa at pananalapi sa lokal ng Pinsao, distrito ng Benguet♥️ / happy viewing po ulit❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzt1Nh3Eq7GZClT6Zx4AaABAg	Ugzt1Nh3Eq7GZClT6Zx4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
2	Pinsao	@JocelynAngsofan	3 hours ago	enjoy watching po🥰  / patuloy na sumusuporta po kapisanan ng pananalapi sa lokal ng Pinsao, distrito ng Benguet🥰	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyadVnxz-BE4F4Kn_V4AaABAg	UgyadVnxz-BE4F4Kn_V4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
3	Pinsao	@JocelynAngsofan	3 hours ago (edited)	magandang hapon po, pagbati po mula sa lokal ng Pinsao, distrito ng Benguet, happy viewing po sa ating lahat♥️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgymFJErvf0qoTAJBJF4AaABAg	UgymFJErvf0qoTAJBJF4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
4	Pinsao	@NormalynVillaruel-u7x	3 hours ago	Gd pm po sa lahat ng nanood from lokal ng pinsao	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyoKjryLF4SJVZjGs94AaABAg	UgyoKjryLF4SJVZjGs94AaABAg	UC2kojY0QxK4EqKyByBqHuyw	Fetched 05/27/2026, 8:00:04 PM GMT+8
5	Pinsao	@JocelynAngsofan	9 hours ago	#INCMV BENGUET GOD'S LOVE♥️ / sumusuporta lokal ng Pinsao, distrito ng Benguet🥰 happy viewing po sa ating lahat♥️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwM0FSJPOMk48Ge7kp4AaABAg	UgwM0FSJPOMk48Ge7kp4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
6	Pinsao	@JocelynAngsofan	9 hours ago	enjoy watching po mula sa kapisanan ng kadiwa at pananalapi sa lokal ng Pinsao, distrito ng Benguet ♥️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwid_DeoVgyxomqdId4AaABAg	Ugwid_DeoVgyxomqdId4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
7	Pinsao	@JocelynAngsofan	9 hours ago (edited)	nanonood po ulit mula sa lokal ng Pinsao, distrito ng Benguet😁 shout out sa mga mababait kong kasama sa pananalapi sa lokal ng Pinsao, manood na po tayo happy viewing😁♥️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwqcjkPKhjB0xMwfwV4AaABAg	UgwqcjkPKhjB0xMwfwV4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
8	Pinsao	@JocelynAngsofan	9 hours ago	Good morning po mga kapatid☺️let's go, fight fight fight! Benguet🥰 greetings po mula sa lokal ng Pinsao, distrito ng Benguet🥰	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwtmvOgggIrygfmHQl4AaABAg	UgwtmvOgggIrygfmHQl4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
9	Pinsao	@jonathancatiggay-j6y	9 hours ago	Good morning po patuloy Ang suporta # fight fight fight Benguet, pagbati from lokal Ng pinsao	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwbesTtuTh_YeGmXOV4AaABAg	UgwbesTtuTh_YeGmXOV4AaABAg	UCNLAwztd3VgOpHznyW7NcMw	Fetched 05/27/2026, 8:00:04 PM GMT+8
10	Pinsao	@JocelynAngsofan	22 hours ago	go go go! fight fight fight! benguet☺️ /  / lokal ng Pinsao, distrito ng Benguet🥰	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxqN6j-SJgRCeAqj3d4AaABAg	UgxqN6j-SJgRCeAqj3d4AaABAg	UCQuHB6XVkmo3wL7uCy2bF5w	Fetched 05/27/2026, 8:00:04 PM GMT+8
