No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Posos	@thewattpader3883	3 days ago	Pagbati po mula sa Lokal ng Posos, Happy viewing po mga mahal na Kapatid	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxQ_wrMNU1P1-EIDMd4AaABAg	UgxQ_wrMNU1P1-EIDMd4AaABAg	UCDhv02CkK82KPswkmnlFdEQ	Fetched 06/04/2026, 6:00:05 PM GMT+8
2	Posos	@ANGELOBERTING	4 days ago	GO POSOS!GO BENGUET!🎉😍🤩	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxEtXfjOqj1Hh8djbd4AaABAg	UgxEtXfjOqj1Hh8djbd4AaABAg	UC9-aYA2fDEQSDzH_ivVIGXw	Fetched 06/04/2026, 6:00:05 PM GMT+8
3	Posos	@nymphabalite-d9s	6 days ago	Happy evening viewing po mga kapatid mula sa kapisanang Buklod ng lokal ng Posos...	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwtPqNz9LLVihBSFC94AaABAg	UgwtPqNz9LLVihBSFC94AaABAg	UC1PiC1UfpyLIGUfOyLOourQ	Fetched 06/04/2026, 6:00:05 PM GMT+8
4	Posos	@nymphabalite-d9s	7 days ago	Lunch time habit... Viewing while eating... Heppy watching po mula sa mga maytungkulin ng lokal ng Posos....	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxQf2xgJUzaxG6dB0Z4AaABAg	UgxQf2xgJUzaxG6dB0Z4AaABAg	UC1PiC1UfpyLIGUfOyLOourQ	Fetched 06/04/2026, 6:00:05 PM GMT+8
5	Posos	@nymphabalite-d9s	7 days ago	👏 Congrats po sa production team... Happy viewing po... /  / -Lokal ng Posos/Pananalapi	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzSV-D75i68MfAmwtV4AaABAg	UgzSV-D75i68MfAmwtV4AaABAg	UC1PiC1UfpyLIGUfOyLOourQ	Fetched 06/04/2026, 6:00:05 PM GMT+8
6	Posos	@nymphabalite-d9s	7 days ago	Greetings po mga kapatid mula sa Kalihiman/Registry Section lokal ng Posos	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyw6IvSL1QWuCN0dQR4AaABAg	Ugyw6IvSL1QWuCN0dQR4AaABAg	UC1PiC1UfpyLIGUfOyLOourQ	Fetched 06/04/2026, 6:00:05 PM GMT+8
7	Posos	@nymphabalite-d9s	7 days ago	Shout out to my Thalia😍😍😍 sa Posos....	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy6Vp6ZulCl0z3yHsl4AaABAg	Ugy6Vp6ZulCl0z3yHsl4AaABAg	UC1PiC1UfpyLIGUfOyLOourQ	Fetched 06/04/2026, 6:00:05 PM GMT+8
8	Posos	@ANGELOBERTING	7 days ago	Benguet!!!Fight!Fight!Fight!Mula po dito sa lokal ng mga may / P❤SO!--POSOS!!!🎉🤩	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyCN4LvrtRHl9TdkmV4AaABAg	UgyCN4LvrtRHl9TdkmV4AaABAg	UC9-aYA2fDEQSDzH_ivVIGXw	Fetched 06/04/2026, 6:00:05 PM GMT+8
9	Posos	@NeilBerting	7 days ago	Happy viewing po mula sa Lokal ng Posos. / Gooogoogo Let's go Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzQKY2nP0Rhj-g3_t4AaABAg	UgwzQKY2nP0Rhj-g3_t4AaABAg	UCG6-Ups8N-9lDauH1SojOKA	Fetched 06/04/2026, 6:00:05 PM GMT+8
10	Posos	@ANGELOBERTING	7 days ago	Happy viewing Po Mula sa Lokal ng Posos🎉Go Benguet🥰	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyGB-uuaVLinRJgwKd4AaABAg	UgyGB-uuaVLinRJgwKd4AaABAg	UC9-aYA2fDEQSDzH_ivVIGXw	Fetched 06/04/2026, 6:00:05 PM GMT+8
11	Posos	@NeilBerting	7 days ago	Happy viewing po mga kapatid, mula po sa Lokal ng Posos.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzSvVHQo6xblAi6KzB4AaABAg	UgzSvVHQo6xblAi6KzB4AaABAg	UCG6-Ups8N-9lDauH1SojOKA	Fetched 06/04/2026, 6:00:05 PM GMT+8
12	Posos	@ANGELOBERTING	7 days ago	Lokal ng Posos❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwvVVSM7cHp_QgQk_F4AaABAg	UgwvVVSM7cHp_QgQk_F4AaABAg	UC9-aYA2fDEQSDzH_ivVIGXw	Fetched 06/04/2026, 6:00:05 PM GMT+8
