No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Sablan,@AndresAnayasan,19 hours ago,Happy watching p0 mga kapatid..lokal ng sablan  distrito ng benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw4tG0XaGgqSmYFm-N4AaABAg,Ugw4tG0XaGgqSmYFm-N4AaABAg,UCTB72-LuYj7-rNefFtHkRHA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
2,Sablan,@mardyaustria3697,19 hours ago,Shout out po sa mga kapatid sa lokal ng Sablan. Masayang panonood mga kapatid!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzaJ2Te75eYpprNxNd4AaABAg,UgzaJ2Te75eYpprNxNd4AaABAg,UCowF1GhubEW0VMFHKidtnXw,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
3,Sablan,@Mattjulric-d2b,19 hours ago,Happy viewing from lokal ng Sablan po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwXAoru1UhxO7nuWod4AaABAg,UgwXAoru1UhxO7nuWod4AaABAg,UCQbUGdnYyN7BudzW-c6-qBg,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
4,Sablan,@arjanejesalva9246,1 day ago,Tuloy tuloy po ang suporta mga kabagis! viewing po mula sa lokal ng Sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9JywUgbsPHHPiM5F4AaABAg,Ugx9JywUgbsPHHPiM5F4AaABAg,UCZujTpMON7q_SeOkP7_8fYA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
5,Sablan,@arjanejesalva9246,1 day ago,Magandang hapon po mga kabagis. Tuloy po ang suporta mula po sa  / LOKAL NG SABLAN,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgywTeKqZT7kElqzzPh4AaABAg,UgywTeKqZT7kElqzzPh4AaABAg,UCZujTpMON7q_SeOkP7_8fYA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
6,Sablan,@AndresAnayasan,2 days ago,"Go Benguet go fr0m,LSO Lokal ng Sablan",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyaSrBgB5ZHEkNbsnZ4AaABAg,UgyaSrBgB5ZHEkNbsnZ4AaABAg,UCTB72-LuYj7-rNefFtHkRHA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
7,Sablan,@arjanejesalva9246,2 days ago,Goodevening po mga kapatid / From lokal ng Sablan ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzflXpFJCi3WCn3JgF4AaABAg,UgzflXpFJCi3WCn3JgF4AaABAg,UCZujTpMON7q_SeOkP7_8fYA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
8,Sablan,@jrcanja-p2j,2 days ago,Happy Watching po sa ating lahat. Tuloy-tuloy po ang panonood natin mga Kapatid. / Lalo po sa mga nasa lokal ng SABLAN! 😁😁😁 💚🤍❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzvaZ2nUgGBvUtJnkZ4AaABAg,UgzvaZ2nUgGBvUtJnkZ4AaABAg,UCykn86Ha46HDPYtEK2KPtkQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
9,Sablan,@arjanejesalva9246,3 days ago,Goodevening po mula po sa Lokal ng Sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxwY-70jyI7NQTOL_14AaABAg,UgxwY-70jyI7NQTOL_14AaABAg,UCZujTpMON7q_SeOkP7_8fYA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
10,Sablan,@arjanejesalva9246,3 days ago,Happy viewing po mga kabagis. Mula po sa lokal ng Sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgweGg5ijNakub-QGkF4AaABAg,UgweGg5ijNakub-QGkF4AaABAg,UCZujTpMON7q_SeOkP7_8fYA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
11,Sablan,@musicsoul8955,6 days ago,"Go Benguet, patuloy na sumusubaybay po ang mga MT sa pananalapi mula sa lokal ng Sablan!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxPTvIxu76P-mUDHUB4AaABAg,UgxPTvIxu76P-mUDHUB4AaABAg,UCq3FCauKDPIaze1sRP9Jj1g,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
12,Sablan,@karlamaeleongson9864,7 days ago,Binabati po namen Ang lokal ng sablan at lokal ng camp 8 Happy Viewing po sa lahat♥️ / fr.Zoilo Family  / Lokal ng La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx9Cw6wvwI3RWGY3RB4AaABAg,Ugx9Cw6wvwI3RWGY3RB4AaABAg,UCNHkoYqgQUbLAW8cTM2pWCg,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
13,Sablan,@jherwyncuenca1582,7 days ago,Magandang gabi po mula sa lokal ng sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzDL6BkMJhS_LOjEqt4AaABAg,UgzDL6BkMJhS_LOjEqt4AaABAg,UCuyog6Vbxa7UXRhv3WGBFpQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
14,Sablan,@AndresAnayasan,7 days ago,Maligayang panonood po mga kapatid mula po sa local ng sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxo4bD4V4dbMWJx6G14AaABAg,Ugxo4bD4V4dbMWJx6G14AaABAg,UCTB72-LuYj7-rNefFtHkRHA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
15,Sablan,@rihannawallit310,7 days ago,Maligayang panonood mga kapatid / From lokal ng Sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxrTtVdRW0tg_Fu4gJ4AaABAg,UgxrTtVdRW0tg_Fu4gJ4AaABAg,UC7fhItcr55xEFf4EhP1n38Q,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
16,Sablan,@rihannawallit310,7 days ago,Maligayang panonood mga kapatid / From lokal ng Sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgykP8Lbz1BgBoPNxVh4AaABAg,UgykP8Lbz1BgBoPNxVh4AaABAg,UC7fhItcr55xEFf4EhP1n38Q,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
17,Sablan,@musicsoul8955,8 days ago,"Maligayang panonood po mga kapatid, mula po sa lokal ng SABLAN. Go go Benguet!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVWFFIlMxnYb-2l1l4AaABAg,UgzVWFFIlMxnYb-2l1l4AaABAg,UCq3FCauKDPIaze1sRP9Jj1g,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
18,Sablan,@AndresAnayasan,8 days ago,Happy watching po mga kapatid mula po sa local ng sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwd5G35w-AUDr0IACd4AaABAg,Ugwd5G35w-AUDr0IACd4AaABAg,UCTB72-LuYj7-rNefFtHkRHA,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
19,Sablan,@MellyFernandez-l8z,8 days ago,Happy viewing from lokal ng sablan Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwrbrP77pepcqPN2YZ4AaABAg,UgwrbrP77pepcqPN2YZ4AaABAg,UCcRUEzLR266KE_61RlROM1w,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
20,Sablan,@MharrGacad,8 days ago,Watching from Lokal ng SABLAN - Go Benguet!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwGIzZx1OYtsVR6c6R4AaABAg,UgwGIzZx1OYtsVR6c6R4AaABAg,UCiGKOHQ1vf42GJ6oZ97edtw,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
21,Sablan,@jelmarsabanaltaub2379,8 days ago,Happy watching po mula sa lokal ng sablan,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwOxbE5BDOeIQm0zpF4AaABAg,UgwOxbE5BDOeIQm0zpF4AaABAg,UCUH9AULNwrGojXwjN-ulQFQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
22,Sablan,@LhauraBhay-anpoklis,8 days ago,"Happy viewing po, local ng Sablan po, distrito ng Benguet po,",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyKl42euD7Qqt77Cxp4AaABAg,UgyKl42euD7Qqt77Cxp4AaABAg,UCFkhqGH17mQSsGBO_mDvBRw,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
23,Sablan,@jrcanja-p2j,9 days ago,Goodmorning po sa Lahat ng mga KABAGIS! / mula po sa Lokal ng Sablan!! 😊😊😊😊😊😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyY78by7NBf96Q8_Pl4AaABAg,UgyY78by7NBf96Q8_Pl4AaABAg,UCykn86Ha46HDPYtEK2KPtkQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
24,Sablan,@jrcanja-p2j,9 days ago,Goodmorning po sa Lahat ng mga KABAGIS! / mula po sa Lokal ng Sablan!! 😊😊😊😊😊😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw0KyudES4OqD0n2KF4AaABAg,Ugw0KyudES4OqD0n2KF4AaABAg,UCykn86Ha46HDPYtEK2KPtkQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
25,Sablan,@jrcanja-p2j,9 days ago,"Happy Watching po mga Kabagis / From lokal ng Sablan, 💚🤍♥️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyA8pS0Kz-x1jUFzSd4AaABAg,UgyA8pS0Kz-x1jUFzSd4AaABAg,UCykn86Ha46HDPYtEK2KPtkQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
26,Sablan,@jrcanja-p2j,9 days ago,"Happy Watching po mga Kabagis / From lokal ng Sablan, 💚🤍♥️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw3UtHu-Z7iTMgY1fZ4AaABAg,Ugw3UtHu-Z7iTMgY1fZ4AaABAg,UCykn86Ha46HDPYtEK2KPtkQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
27,Sablan,@jrcanja-p2j,9 days ago,"Goodpm po mga Kabagis / From lokal ng Sablan, 💚🤍♥️",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx_ScAV4qeiHtbRGWx4AaABAg,Ugx_ScAV4qeiHtbRGWx4AaABAg,UCykn86Ha46HDPYtEK2KPtkQ,"Fetched 05/26/2026, 4:00:04 PM GMT+8"
