No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,San Carlos Heights,@chilloutmusic5363,13 days ago,"GO BENGUET!! LOKAL NG SAN CARLOS HEIGHTS, AWOO AWOOO",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyE9Vcajzf8zmBbeBN4AaABAg,UgyE9Vcajzf8zmBbeBN4AaABAg,UCfvSO-jpqhgRbS9lNG0A19Q,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
2,San Carlos Heights,@jheremydevera2449,2 weeks ago,Mula po sa samahan ng scan dito po sa lokal ng san carlos heights distrito ng benguet..happy viewing po,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwEtgrtPZz0LIZZlkV4AaABAg,UgwEtgrtPZz0LIZZlkV4AaABAg,UCPgCDok90dSyoHcKkJT0Z_A,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
3,San Carlos Heights,@arjaybecyagen1623,2 weeks ago,"🎉🎉happy viewing po, mula sa san carlos heights, distrito ng benguet🎉🎉🎉",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwPZ81eQpV-DR7W-1p4AaABAg,UgwPZ81eQpV-DR7W-1p4AaABAg,UCwA7ULySGCL6yBwXEDRQJ6g,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
4,San Carlos Heights,@kevinlouieescoses5529,2 weeks ago,NO.1 BENGUET!!!! Happy viewing po mula po sa lokal ng San Carlos Heights!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxLka4HoK4lFu5-FjN4AaABAg,UgxLka4HoK4lFu5-FjN4AaABAg,UCQtrTateE9ekfvC0xAwxr1g,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
5,San Carlos Heights,@kevinlouieescoses5529,2 weeks ago,Happy viewing po!! From local ng SAN CARLOS HEIGHTS!!!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxeyN893KQD3kgCDfh4AaABAg,UgxeyN893KQD3kgCDfh4AaABAg,UCQtrTateE9ekfvC0xAwxr1g,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
6,San Carlos Heights,@arjaybecyagen1623,2 weeks ago,"🎉🎉🎉nood lng mula sa san carlos heights, distrito ng benguet🎉🎉🎉",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy_0gPVOyiGCppUnj94AaABAg,Ugy_0gPVOyiGCppUnj94AaABAg,UCwA7ULySGCL6yBwXEDRQJ6g,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
7,San Carlos Heights,@JosephineOng-eo9li,3 weeks ago,happy viewing mga kapatid ng lokal ng San Carlos Heights,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw667tAphI4cK4Q7Xh4AaABAg,Ugw667tAphI4cK4Q7Xh4AaABAg,UC8DIj5YZrWY9C-qNoSGZ0YA,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
8,San Carlos Heights,@arjaybecyagen1623,3 weeks ago,"😂😂🎉🎉Go go go figh fight mula sa San Carlos Heights, Distrito ng Benguet.🎉🎉❤❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwvwWcp3iINF2AoRbN4AaABAg,UgwvwWcp3iINF2AoRbN4AaABAg,UCwA7ULySGCL6yBwXEDRQJ6g,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
9,San Carlos Heights,@airabaglao4832,3 weeks ago,Happy viewing pooo from Lokal ng San Carlos Heightssss,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxAHCadiYocSsuX1eV4AaABAg,UgxAHCadiYocSsuX1eV4AaABAg,UC9pU458dmOvG47v1DdmpyiA,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
10,San Carlos Heights,@ElvieBalisi-q2n,3 weeks ago,Happy viewing po from Lokal ng San Carlos Heights,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7E_CKTOmbRUL7DLZ4AaABAg,Ugy7E_CKTOmbRUL7DLZ4AaABAg,UCra2QkF513RQKjOFoLhV0QQ,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
11,San Carlos Heights,@arjaybecyagen1623,3 weeks ago,"❤❤Nood lng mula dito sa San Carlos Heights, Distrito ng Benguet🎉🎉🎉",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgziNO5FjBd65sF5y394AaABAg,UgziNO5FjBd65sF5y394AaABAg,UCwA7ULySGCL6yBwXEDRQJ6g,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
12,San Carlos Heights,@reginalipas3453,3 weeks ago,"Watching from Lokal ng San Carlos Heights, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy159YeUPYhusWPZIF4AaABAg,Ugy159YeUPYhusWPZIF4AaABAg,UC8cYXy4TVmIBd-dGbr0dOZw,"Fetched 06/08/2026, 8:00:02 PM GMT+8"
