No.,Lokal,Matched Comment Rows,Numbers Updated At
1,Baguio City,1693,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
2,Atok Gold,1179,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
3,Aurora Hill,647,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
4,Quezon Hill,474,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
5,Norcar,347,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
6,Irisan,244,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
7,La Trinidad,149,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
8,Kias,141,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
9,Sayatan,122,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
10,Loakan Airport,104,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
11,Guisad,98,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
12,Marcos Highway,91,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
13,Hillside,83,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
14,Ambiong,80,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
15,Pinsao,74,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
16,Megaroyale Village,73,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
17,Tublay,69,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
18,City Camp,63,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
19,Loacan,58,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
20,Bangho,50,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
21,Lourdes,49,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
22,Gibraltar,46,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
23,Balatoc,37,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
24,Camp 7,29,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
25,Buyagan,25,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
26,Posos,25,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
27,Philex,23,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
28,San Luis,20,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
29,Balakbak,19,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
30,Taloy Sur,19,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
31,Tomay,19,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
32,Penged,17,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
33,Tuba,17,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
34,Camp 6,14,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
35,Greenwater,12,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
36,Camp 8,11,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
37,Lacaan,11,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
38,Binanga,9,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
39,Sablan,9,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
40,Mirador Hills,5,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
41,Basca,3,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
42,Kapangan,2,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
43,San Carlos Heights,2,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
44,Tadiangan,0,"Fetched 06/08/2026, 10:00:05 PM GMT+8"
