No.	Lokal	Matched Comment Rows	Numbers Updated At
1	Baguio City	8038	Fetched 05/23/2026, 9:00:03 PM GMT+8
2	Atok Gold	7007	Fetched 05/23/2026, 9:00:03 PM GMT+8
3	La Trinidad	5545	Fetched 05/23/2026, 9:00:03 PM GMT+8
4	Aurora Hill	1571	Fetched 05/23/2026, 9:00:03 PM GMT+8
5	Norcar	1541	Fetched 05/23/2026, 9:00:03 PM GMT+8
6	Quezon Hill	1295	Fetched 05/23/2026, 9:00:03 PM GMT+8
7	Hillside	1168	Fetched 05/23/2026, 9:00:03 PM GMT+8
8	Loakan Airport	1046	Fetched 05/23/2026, 9:00:03 PM GMT+8
9	Guisad	758	Fetched 05/23/2026, 9:00:03 PM GMT+8
10	Irisan	655	Fetched 05/23/2026, 9:00:03 PM GMT+8
11	Tublay	641	Fetched 05/23/2026, 9:00:03 PM GMT+8
12	Marcos Highway	520	Fetched 05/23/2026, 9:00:03 PM GMT+8
13	Gibraltar	469	Fetched 05/23/2026, 9:00:03 PM GMT+8
14	Tuba	432	Fetched 05/23/2026, 9:00:03 PM GMT+8
15	Balatoc	358	Fetched 05/23/2026, 9:00:03 PM GMT+8
16	Megaroyale Village	318	Fetched 05/23/2026, 9:00:03 PM GMT+8
17	Kias	287	Fetched 05/23/2026, 9:00:03 PM GMT+8
18	City Camp	286	Fetched 05/23/2026, 9:00:03 PM GMT+8
19	Lourdes	156	Fetched 05/23/2026, 9:00:03 PM GMT+8
20	Sayatan	156	Fetched 05/23/2026, 9:00:03 PM GMT+8
21	Pinsao	144	Fetched 05/23/2026, 9:00:03 PM GMT+8
22	Loacan	141	Fetched 05/23/2026, 9:00:03 PM GMT+8
23	Mirador Hills	140	Fetched 05/23/2026, 9:00:03 PM GMT+8
24	Camp 6	131	Fetched 05/23/2026, 9:00:03 PM GMT+8
25	Camp 7	129	Fetched 05/23/2026, 9:00:03 PM GMT+8
26	Buyagan	124	Fetched 05/23/2026, 9:00:03 PM GMT+8
27	Bangho	116	Fetched 05/23/2026, 9:00:03 PM GMT+8
28	San Luis	112	Fetched 05/23/2026, 9:00:03 PM GMT+8
29	Tomay	96	Fetched 05/23/2026, 9:00:03 PM GMT+8
30	Camp 8	87	Fetched 05/23/2026, 9:00:03 PM GMT+8
31	Ambiong	82	Fetched 05/23/2026, 9:00:03 PM GMT+8
32	Balakbak	82	Fetched 05/23/2026, 9:00:03 PM GMT+8
33	Greenwater	75	Fetched 05/23/2026, 9:00:03 PM GMT+8
34	Taloy Sur	69	Fetched 05/23/2026, 9:00:03 PM GMT+8
35	Penged	67	Fetched 05/23/2026, 9:00:03 PM GMT+8
36	Binanga	66	Fetched 05/23/2026, 9:00:03 PM GMT+8
37	Posos	61	Fetched 05/23/2026, 9:00:03 PM GMT+8
38	Philex	56	Fetched 05/23/2026, 9:00:03 PM GMT+8
39	Lacaan	51	Fetched 05/23/2026, 9:00:03 PM GMT+8
40	Sablan	45	Fetched 05/23/2026, 9:00:03 PM GMT+8
41	Kapangan	41	Fetched 05/23/2026, 9:00:03 PM GMT+8
42	San Carlos Heights	41	Fetched 05/23/2026, 9:00:03 PM GMT+8
43	Basca	33	Fetched 05/23/2026, 9:00:03 PM GMT+8
44	Tadiangan	31	Fetched 05/23/2026, 9:00:03 PM GMT+8
