No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Taloy Sur,@Pogi-s7v,6 hours ago,Oohh oohh🎶🎶 / Lets go benguet /  / From taloy sur,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxljZAyUtx_Wt0QG4J4AaABAg,UgxljZAyUtx_Wt0QG4J4AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
2,Taloy Sur,@ronniejucar-p8v,7 hours ago,happy watching po Mula s Lokal ng Taloy Sur Distrito ng Benguet...,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy2O2AEz8_fNGmxuBt4AaABAg,Ugy2O2AEz8_fNGmxuBt4AaABAg,UCjo50U83BHzY7ln8p0-3LuQ,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
3,Taloy Sur,@mariloujucar3208,7 hours ago,Mula po s Lokal NG Taloy SUR Distrito ng Benguet happy watching po...,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxFAe-5g9Pf2-y46oZ4AaABAg,UgxFAe-5g9Pf2-y46oZ4AaABAg,UCMbn31xrNEnulUG5fdpH82w,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
4,Taloy Sur,@mariloujucar3208,11 hours ago,"Good morning po... Watching po mula s Lokal NG Taloy SUR, Distrito ng Benguet...",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwiQE3wVgfYUsjbyDp4AaABAg,UgwiQE3wVgfYUsjbyDp4AaABAg,UCMbn31xrNEnulUG5fdpH82w,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
5,Taloy Sur,@Pogi-s7v,11 hours ago,"Good morning everyone.... time to oohh oohh🎶 /  / -Taloy Sur, Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxP21wLZqL9SxrKp8J4AaABAg,UgxP21wLZqL9SxrKp8J4AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
6,Taloy Sur,@Pogi-s7v,1 day ago,Tuloy-tuloy Sure na Sure ang Suporta ng mga Taga Lokal ng Taloy Sur /  / GO GO BENGUET! NUMBER ☝️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcptaRndSuxMX_vV94AaABAg,UgxcptaRndSuxMX_vV94AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
7,Taloy Sur,@Pogi-s7v,1 day ago,Benguet number ☝️ /  / -Taloy Sur,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzW6bPlSd6m1cgJiqh4AaABAg,UgzW6bPlSd6m1cgJiqh4AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
8,Taloy Sur,@Pogi-s7v,1 day ago,Benguet Fight Fight!! /  / -Taloy Sur,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzQTE3L4tRduHenFj54AaABAg,UgzQTE3L4tRduHenFj54AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
9,Taloy Sur,@Pogi-s7v,1 day ago,"Para masarap din ang hapunan di dapat kalimutan i-play ang INCMV God's Love....  lets gooo! / Go go Taloy Sur, Go go Benguet!",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw5vz5wqSxIqn__ok94AaABAg,Ugw5vz5wqSxIqn__ok94AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
10,Taloy Sur,@Pogi-s7v,2 days ago,Masarap ang pananghalian kapag nakikinig ng INCMV God's Love... fight fight Benguet. /  / From: Taloy Sur,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxcSdmPNNb81Cj7h714AaABAg,UgxcSdmPNNb81Cj7h714AaABAg,UCUoKQr0Va6g_r-CxNXipYEg,"Fetched 05/22/2026, 7:00:03 PM GMT+8"
