No.,Matched Lokal,Commenter Name,Comment Time,Comment Text,Comment URL,Comment ID,Channel ID,Fetched At
1,Tomay,@juliannemacatuno,3 hours ago,Hello po mga kapatid ☺☺☺ / Go! Go! Go! Benguet ❤ / Lokal ng Tomay 🇮🇹🇮🇹🇮🇹,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwNLgHiLsDlkRGoDdV4AaABAg,UgwNLgHiLsDlkRGoDdV4AaABAg,UCAUveaVOoFxvJwd_iDrerkQ,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
2,Tomay,@dhavecanlas6622,3 hours ago,Go Benguet!!! / From Lokal po ng Tomay / Distrito ng Benguet ❤️❤️❤️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdpjBeNvkYNWQwX9N4AaABAg,UgwdpjBeNvkYNWQwX9N4AaABAg,UCl-MFRhviyMcM0KPC9cXspQ,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
3,Tomay,@dhavecanlas6622,21 hours ago,Magandang gabi po sa lahat ng kapatid mula po dito sa Lokal ng Tomay😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzOi1gFbC3A2VVIT7V4AaABAg,UgzOi1gFbC3A2VVIT7V4AaABAg,UCl-MFRhviyMcM0KPC9cXspQ,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
4,Tomay,@beverlynbackian3904,23 hours ago,Ending the day by watching God's Love mv.❤ / #tomay,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx2HZBstwz2UOicBPt4AaABAg,Ugx2HZBstwz2UOicBPt4AaABAg,UCTXTtrs7jg9nPci0Q4h5q0g,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
5,Tomay,@leonoragarcia2049,1 day ago,Mula po sa Lokal ng Tomay,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwduMaAWF1F-L8FCqF4AaABAg,UgwduMaAWF1F-L8FCqF4AaABAg,UC-PjD6F2F8Hyef2CCpY9tgg,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
6,Tomay,@CrispinaLayuganpedroCrispinaLa,1 day ago,Viewing from Local of Tomay Benguet,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZEbAjhYqdxtvQ3fR4AaABAg,UgwZEbAjhYqdxtvQ3fR4AaABAg,UCd4Q4WOJIxZvcc8bd8UFj_g,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
7,Tomay,@ericemaguin7874,1 day ago,"Happy viewing po mula sa lokal ng Tomay, Distrito ng Benguet",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzVqBrp2f0NZjJIcG54AaABAg,UgzVqBrp2f0NZjJIcG54AaABAg,UCvaMPAkqfWfZCe9UpDuz0Tg,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
8,Tomay,@XhandraSabado,1 day ago,Happy watching po. Mula po sa lokal ng Tomay. ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwb1Xq-q9p-O_i4FC14AaABAg,Ugwb1Xq-q9p-O_i4FC14AaABAg,UCpnVfCfcE1DJ3pT292DFDdA,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
9,Tomay,@merzsugnad4981,1 day ago,Local ng tomay / Mabuhay po !!!❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyezNAAgI03zBn_AV14AaABAg,UgyezNAAgI03zBn_AV14AaABAg,UCsyzZyII3rB20ePYxI3K6ew,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
10,Tomay,@XhandraSabado,1 day ago,Happy watching po. Mula po sa lokal ng Tomay. ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzezQuRP1zVtKCDztd4AaABAg,UgzezQuRP1zVtKCDztd4AaABAg,UCpnVfCfcE1DJ3pT292DFDdA,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
11,Tomay,@dhavecanlas6622,1 day ago,Greetings mula po dito sa Lokal ng Tomay. Magandang Hapon po sa lahat ng Kapatid❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx_QYI4sWruuSYlyOR4AaABAg,Ugx_QYI4sWruuSYlyOR4AaABAg,UCl-MFRhviyMcM0KPC9cXspQ,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
12,Tomay,@dhavecanlas6622,1 day ago (edited),Go go go Benguet❤ /  / Lokal ng Tomay,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgynX1mlx-AIlShwpjJ4AaABAg,UgynX1mlx-AIlShwpjJ4AaABAg,UCl-MFRhviyMcM0KPC9cXspQ,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
13,Tomay,@beverlynbackian3904,1 day ago,Happy Monday morning mga kapatid! / -from Lokal ng Tomay😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzb4nuNwJh8b68gjA54AaABAg,Ugzb4nuNwJh8b68gjA54AaABAg,UCTXTtrs7jg9nPci0Q4h5q0g,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
14,Tomay,@winsleysaytoc3167,2 days ago,Hi po from lokal ng TOMAY benguet / .,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxWErGS8MbqpObvFLx4AaABAg,UgxWErGS8MbqpObvFLx4AaABAg,UChqf_hynOVfUtlgY6JvYIEA,"Fetched 05/26/2026, 8:00:05 PM GMT+8"
