No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Tomay	@dhavecanlas6622	10 hours ago	Binabati ko po ang ating Mahal na Tagapangasiwa at Mahal na Pangalawang Tagapangasiwa po /  / Mula po dito sa Lokal ng Tomay😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwAQpFTtQdkJQBcXSt4AaABAg	UgwAQpFTtQdkJQBcXSt4AaABAg	UCl-MFRhviyMcM0KPC9cXspQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
2	Tomay	@beverlynbackian3904	10 hours ago	Hello mga kapatid sa lokal ng Tomay! 😊❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7I_82lL3JMYwHYct4AaABAg	Ugy7I_82lL3JMYwHYct4AaABAg	UCTXTtrs7jg9nPci0Q4h5q0g	Fetched 05/27/2026, 8:00:04 PM GMT+8
3	Tomay	@beverlynbackian3904	15 hours ago	Let’s go Benguet! / Hello mga kapatid sa lokal ng Tomay👋🏻	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy1iFE94FkUR7OWHwl4AaABAg	Ugy1iFE94FkUR7OWHwl4AaABAg	UCTXTtrs7jg9nPci0Q4h5q0g	Fetched 05/27/2026, 8:00:04 PM GMT+8
4	Tomay	@beverlynbackian3904	16 hours ago	Good morning mga kapatid! / #tomay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7djCn531CCTsBmGx4AaABAg	Ugy7djCn531CCTsBmGx4AaABAg	UCTXTtrs7jg9nPci0Q4h5q0g	Fetched 05/27/2026, 8:00:04 PM GMT+8
5	Tomay	@juliannemacatuno	1 day ago	Hello po mga kapatid ☺☺☺ / Go! Go! Go! Benguet ❤ / Lokal ng Tomay 🇮🇹🇮🇹🇮🇹	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwNLgHiLsDlkRGoDdV4AaABAg	UgwNLgHiLsDlkRGoDdV4AaABAg	UCAUveaVOoFxvJwd_iDrerkQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
6	Tomay	@dhavecanlas6622	1 day ago	Go Benguet!!! / From Lokal po ng Tomay / Distrito ng Benguet ❤️❤️❤️	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwdpjBeNvkYNWQwX9N4AaABAg	UgwdpjBeNvkYNWQwX9N4AaABAg	UCl-MFRhviyMcM0KPC9cXspQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
7	Tomay	@dhavecanlas6622	1 day ago	Magandang gabi po sa lahat ng kapatid mula po dito sa Lokal ng Tomay😊	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzOi1gFbC3A2VVIT7V4AaABAg	UgzOi1gFbC3A2VVIT7V4AaABAg	UCl-MFRhviyMcM0KPC9cXspQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
8	Tomay	@beverlynbackian3904	1 day ago	Ending the day by watching God's Love mv.❤ / #tomay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx2HZBstwz2UOicBPt4AaABAg	Ugx2HZBstwz2UOicBPt4AaABAg	UCTXTtrs7jg9nPci0Q4h5q0g	Fetched 05/27/2026, 8:00:04 PM GMT+8
9	Tomay	@leonoragarcia2049	2 days ago	Mula po sa Lokal ng Tomay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwduMaAWF1F-L8FCqF4AaABAg	UgwduMaAWF1F-L8FCqF4AaABAg	UC-PjD6F2F8Hyef2CCpY9tgg	Fetched 05/27/2026, 8:00:04 PM GMT+8
10	Tomay	@CrispinaLayuganpedroCrispinaLa	2 days ago	Viewing from Local of Tomay Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwZEbAjhYqdxtvQ3fR4AaABAg	UgwZEbAjhYqdxtvQ3fR4AaABAg	UCd4Q4WOJIxZvcc8bd8UFj_g	Fetched 05/27/2026, 8:00:04 PM GMT+8
