No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Tuba	@Rhuvy-f3n	2 hours ago	Happy viewing & full support from lokal ng Tuba,Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyQB7dG8U3b8l1-62l4AaABAg	UgyQB7dG8U3b8l1-62l4AaABAg	UC7ENaSn829WD44x8C1ersyA	Fetched 05/26/2026, 3:00:04 PM GMT+8
2	Tuba	@AngelSayangda	7 hours ago	Happy rewatching from Lokal ng Tuba / -Kalihiman Registry/Kagawaran ng MT sa PNK❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyzJX-_W1zkq76l1CZ4AaABAg	UgyzJX-_W1zkq76l1CZ4AaABAg	UCBYrNwCYGHkX-UDtBRzR4nw	Fetched 05/26/2026, 3:00:04 PM GMT+8
3	Tuba	@Rhuvy-f3n	18 hours ago	Happy viewing & full support from lokal ng Tuba,Benguet.	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw8P-eZ6sibIVGlVCt4AaABAg	Ugw8P-eZ6sibIVGlVCt4AaABAg	UC7ENaSn829WD44x8C1ersyA	Fetched 05/26/2026, 3:00:04 PM GMT+8
4	Tuba	@AngelSayangda	1 day ago	Let's goo Benguet fight fight fight❤ / -Tuba / -Kalihiman Registry/Kagawaran ng MT sa PNK❤❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzXjaKR7bgnttVbdUF4AaABAg	UgzXjaKR7bgnttVbdUF4AaABAg	UCBYrNwCYGHkX-UDtBRzR4nw	Fetched 05/26/2026, 3:00:04 PM GMT+8
5	Tuba	@edwinsicam7001	1 day ago	Kamusta po mga Kapatid. Tuba, Benguet	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxppJTpxuxbANC2pXJ4AaABAg	UgxppJTpxuxbANC2pXJ4AaABAg	UCE95Z1V2Id_h-kqLddag9bA	Fetched 05/26/2026, 3:00:04 PM GMT+8
6	Tuba	@luibustamante9493	1 day ago	Happy viewing po sa Lahat ng Maytungkulin sa Lokal ng Tuba esp sa kagawaran ng Mang-aawit at kapisanang Kadiwa /  / Let's Go Benguet🎉🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgymqpBQJkikWCieaQ94AaABAg	UgymqpBQJkikWCieaQ94AaABAg	UCFAmrhDmv6rvZrQoYp-IS9w	Fetched 05/26/2026, 3:00:04 PM GMT+8
7	Tuba	@luibustamante9493	1 day ago	“Every replay of God’s Love feels like a reminder that no matter how heavy life gets, God’s love always brings comfort, strength, and hope. 🤍 / Let’s continue supporting this entry and share its message with more people. 🔥 #INCMVBenguet” /  / Shoutout po to all Kadiwa District Officers /  / -KDO, Lokal ng tuba	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwQtpjg4eYTE7iXrZB4AaABAg	UgwQtpjg4eYTE7iXrZB4AaABAg	UCFAmrhDmv6rvZrQoYp-IS9w	Fetched 05/26/2026, 3:00:04 PM GMT+8
8	Tuba	@luibustamante9493	1 day ago	Happy viewing po sa Lahat ng Maytungkulin sa Lokal ng Tuba esp sa kagawaran ng Mang-aawit at kapisanang Kadiwa /  / Let's Go Benguet🎉🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyJZFNQDV04bIEVN3R4AaABAg	UgyJZFNQDV04bIEVN3R4AaABAg	UCFAmrhDmv6rvZrQoYp-IS9w	Fetched 05/26/2026, 3:00:04 PM GMT+8
9	Tuba	@luibustamante9493	1 day ago	God's Love is a song that gives you comfort and motivation /  / -Lokal ng Tuba, Kadiwa	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDcykloXolAElajYJ4AaABAg	UgyDcykloXolAElajYJ4AaABAg	UCFAmrhDmv6rvZrQoYp-IS9w	Fetched 05/26/2026, 3:00:04 PM GMT+8
10	Tuba	@luibustamante9493	1 day ago	Let's Go Benguet🎉🎉🎉 /  / Let's Go Kadiwa🎉🎉 /  / Fight Fight Fight /  / -Lokal ng Tuba	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy7MBC8dPCaSnQ5muN4AaABAg	Ugy7MBC8dPCaSnQ5muN4AaABAg	UCFAmrhDmv6rvZrQoYp-IS9w	Fetched 05/26/2026, 3:00:04 PM GMT+8
