No.	Matched Lokal	Commenter Name	Comment Time	Comment Text	Comment URL	Comment ID	Channel ID	Fetched At
1	Tublay	@ryukfortress280	1 hour ago	happy viewing po from Lokal ng Tublay❤	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxZe1MSVR3TfC_FV6l4AaABAg	UgxZe1MSVR3TfC_FV6l4AaABAg	UCzOZDs_8SYjFJSrSageysYg	Fetched 05/27/2026, 8:00:04 PM GMT+8
2	Tublay	@SeymourRach	5 hours ago	Full support po ang Lokal ng Tublay!!!... Go BENGUET!!!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzQ8YaIU7XuXMsmFo54AaABAg	UgzQ8YaIU7XuXMsmFo54AaABAg	UCJ4mG9YdzXpmU_n0QYspg9Q	Fetched 05/27/2026, 8:00:04 PM GMT+8
3	Tublay	@SeymourRach	23 hours ago	Lets Go Benguet! Tublay -PNK	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzJq3DdSB-R18LjvzV4AaABAg	UgzJq3DdSB-R18LjvzV4AaABAg	UCJ4mG9YdzXpmU_n0QYspg9Q	Fetched 05/27/2026, 8:00:04 PM GMT+8
4	Tublay	@SeymourRach	23 hours ago	Lets go BENGUET Lokal ng TUBLAY lets go🎉🎉🎉	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxjFInZrypOx7Sitih4AaABAg	UgxjFInZrypOx7Sitih4AaABAg	UCJ4mG9YdzXpmU_n0QYspg9Q	Fetched 05/27/2026, 8:00:04 PM GMT+8
5	Tublay	@Olaf-p8p6b	1 day ago	BENGUET ON TOPP /  / —kapisang binhi, lokal ng Tublay!!🩷	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy59ppsVSlWFE7Gb0h4AaABAg	Ugy59ppsVSlWFE7Gb0h4AaABAg	UCpbFGVx0DIUqTiyIlhUWCYQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
6	Tublay	@mybrethtabayoyong	1 day ago	❤tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxsTGEioW_LoMeTsDB4AaABAg	UgxsTGEioW_LoMeTsDB4AaABAg	UC46wbMs5OsXtQl89zpsCo7w	Fetched 05/27/2026, 8:00:04 PM GMT+8
7	Tublay	@MarlonCallejaJr	1 day ago	Tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxY-kqlnskwD2mMB6t4AaABAg	UgxY-kqlnskwD2mMB6t4AaABAg	UCiOUKriApidPbXEiuJfU3bQ	Fetched 05/27/2026, 8:00:04 PM GMT+8
8	Tublay	@AYRAALFREDO	1 day ago	God's Love ❤ / From Tublay / Registry/ Secretariat Section	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDJS07bovo4dDQTcd4AaABAg	UgyDJS07bovo4dDQTcd4AaABAg	UCFopMb5FmJXGUONiHiPlL4w	Fetched 05/27/2026, 8:00:04 PM GMT+8
9	Tublay	@AYRAALFREDO	1 day ago	Spread Hope and Love / From Lokal of Tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugxy0f2BPXe-NehKMkJ4AaABAg	Ugxy0f2BPXe-NehKMkJ4AaABAg	UCFopMb5FmJXGUONiHiPlL4w	Fetched 05/27/2026, 8:00:04 PM GMT+8
10	Tublay	@AYRAALFREDO	1 day ago	Happy viewing po.. / Go Benguet 🎉 / Watching here from lokal of Tublay / Registry/Kalihiman section	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyB-nI9yJHQn3celJt4AaABAg	UgyB-nI9yJHQn3celJt4AaABAg	UCFopMb5FmJXGUONiHiPlL4w	Fetched 05/27/2026, 8:00:04 PM GMT+8
11	Tublay	@SunshineTomilas	1 day ago	Happy viewing ... from LOKAL NG TUBLAY	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxhuFMDMfc7zUuozft4AaABAg	UgxhuFMDMfc7zUuozft4AaABAg	UC6VbQN0NKsUjM3MVvDKPVMw	Fetched 05/27/2026, 8:00:04 PM GMT+8
12	Tublay	@lei2gh210	1 day ago	greetings po from Lokal ng Tublay Benguet!!!	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw4Zm-HDjRmertZ3-F4AaABAg	Ugw4Zm-HDjRmertZ3-F4AaABAg	UCX8hocTpGtxDjEnwZfYeZxg	Fetched 05/27/2026, 8:00:04 PM GMT+8
13	Tublay	@AngelRynnTabayoyong-z1z	1 day ago	Let's go Benguet!!! /   -Local ng Tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugyfw194lqwzp_ZyK2x4AaABAg	Ugyfw194lqwzp_ZyK2x4AaABAg	UCeL4XqhfDq7mRtJbz2RQ8BA	Fetched 05/27/2026, 8:00:04 PM GMT+8
14	Tublay	@AngelRynnTabayoyong-z1z	1 day ago	Let's go Benguet!!! /   -Local ng Tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyKrO6uhWl5C8vL0Hp4AaABAg	UgyKrO6uhWl5C8vL0Hp4AaABAg	UCeL4XqhfDq7mRtJbz2RQ8BA	Fetched 05/27/2026, 8:00:04 PM GMT+8
15	Tublay	@AngelRynnTabayoyong-z1z	1 day ago	Let's go Benguet!!! /   -Local ng Tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxfK753zsbNjB0rmed4AaABAg	UgxfK753zsbNjB0rmed4AaABAg	UCeL4XqhfDq7mRtJbz2RQ8BA	Fetched 05/27/2026, 8:00:04 PM GMT+8
16	Tublay	@AngelRynnTabayoyong-z1z	1 day ago	Let's go Benguet!!! /   -Local ng Tublay	https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxDtwuSh3sHsIx4Xz94AaABAg	UgxDtwuSh3sHsIx4Xz94AaABAg	UCeL4XqhfDq7mRtJbz2RQ8BA	Fetched 05/27/2026, 8:00:04 PM GMT+8
