Field,Value,,
Video Title,God's Love | Benguet | INCMV AWARDS 2026,,
Video URL,https://www.youtube.com/watch?v=ROa3kbG5M0U,,
Fetched At,"Fetched 06/09/2026, 9:00:05 PM GMT+8",,
Workbook Updated At,"Updated 06/09/2026, 9:09:40 PM GMT+8",,
Full Comment Rows,20514,,
Kapisanan Rows,3078,,
Lokal Tabs,44,,
Lokal Numbers Updated At,"Fetched 06/09/2026, 9:00:05 PM GMT+8",,
Streams Used,"Initial comments stream, Sort: Top, Sort: Newest",,
Note,Comment times are public relative timestamps shown by YouTube at fetch time. Lokal rows are comments currently fetched that mention each Lokal name.,,
,,,
Lokal Comment Summary,,,
No.,Lokal,Matched Comment Rows,Numbers Updated At
1,Baguio City,3956,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
2,Atok Gold,3634,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
3,Aurora Hill,1739,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
4,La Trinidad,1554,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
5,Quezon Hill,1015,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
6,Norcar,898,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
7,Tublay,564,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
8,Loakan Airport,541,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
9,Irisan,423,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
10,Guisad,416,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
11,Hillside,317,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
12,Kias,259,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
13,Marcos Highway,244,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
14,Sayatan,222,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
15,Megaroyale Village,200,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
16,Gibraltar,180,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
17,Balatoc,143,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
18,Pinsao,129,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
19,Ambiong,116,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
20,Tuba,114,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
21,Lourdes,110,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
22,City Camp,106,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
23,Loacan,104,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
24,Bangho,103,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
25,Philex,60,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
26,Camp 7,55,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
27,Buyagan,48,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
28,San Luis,47,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
29,Balakbak,42,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
30,Taloy Sur,39,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
31,Posos,37,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
32,Greenwater,36,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
33,Tomay,34,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
34,Camp 6,32,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
35,Penged,31,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
36,Camp 8,28,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
37,Mirador Hills,22,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
38,Tadiangan,21,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
39,Sablan,17,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
40,Binanga,16,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
41,Lacaan,16,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
42,Kapangan,9,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
43,Basca,8,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
44,San Carlos Heights,6,"Fetched 06/09/2026, 9:00:05 PM GMT+8"
