Field	Value		
Video Title	God's Love | Benguet | INCMV AWARDS 2026		
Video URL	https://www.youtube.com/watch?v=ROa3kbG5M0U		
Fetched At	Fetched 06/09/2026, 10:00:03 PM GMT+8		
Workbook Updated At	Updated 06/09/2026, 10:19:40 PM GMT+8		
Full Comment Rows	41976		
Kapisanan Rows	5560		
Lokal Tabs	44		
Lokal Numbers Updated At	Fetched 06/09/2026, 10:00:03 PM GMT+8		
Streams Used	Initial comments stream, Sort: Top, Sort: Newest		
Note	Comment times are public relative timestamps shown by YouTube at fetch time. Lokal rows are comments currently fetched that mention each Lokal name.		
			
Lokal Comment Summary			
No.	Lokal	Matched Comment Rows	Numbers Updated At
1	Baguio City	9349	Fetched 06/09/2026, 10:00:03 PM GMT+8
2	Atok Gold	7372	Fetched 06/09/2026, 10:00:03 PM GMT+8
3	La Trinidad	5539	Fetched 06/09/2026, 10:00:03 PM GMT+8
4	Aurora Hill	2053	Fetched 06/09/2026, 10:00:03 PM GMT+8
5	Norcar	1748	Fetched 06/09/2026, 10:00:03 PM GMT+8
6	Quezon Hill	1692	Fetched 06/09/2026, 10:00:03 PM GMT+8
7	Loakan Airport	1168	Fetched 06/09/2026, 10:00:03 PM GMT+8
8	Hillside	1072	Fetched 06/09/2026, 10:00:03 PM GMT+8
9	Guisad	727	Fetched 06/09/2026, 10:00:03 PM GMT+8
10	Tublay	702	Fetched 06/09/2026, 10:00:03 PM GMT+8
11	Irisan	647	Fetched 06/09/2026, 10:00:03 PM GMT+8
12	Marcos Highway	494	Fetched 06/09/2026, 10:00:03 PM GMT+8
13	Kias	396	Fetched 06/09/2026, 10:00:03 PM GMT+8
14	Megaroyale Village	372	Fetched 06/09/2026, 10:00:03 PM GMT+8
15	Tuba	349	Fetched 06/09/2026, 10:00:03 PM GMT+8
16	Gibraltar	338	Fetched 06/09/2026, 10:00:03 PM GMT+8
17	Sayatan	289	Fetched 06/09/2026, 10:00:03 PM GMT+8
18	Balatoc	255	Fetched 06/09/2026, 10:00:03 PM GMT+8
19	City Camp	227	Fetched 06/09/2026, 10:00:03 PM GMT+8
20	Pinsao	193	Fetched 06/09/2026, 10:00:03 PM GMT+8
21	Lourdes	191	Fetched 06/09/2026, 10:00:03 PM GMT+8
22	Loacan	163	Fetched 06/09/2026, 10:00:03 PM GMT+8
23	Bangho	158	Fetched 06/09/2026, 10:00:03 PM GMT+8
24	Ambiong	135	Fetched 06/09/2026, 10:00:03 PM GMT+8
25	Buyagan	100	Fetched 06/09/2026, 10:00:03 PM GMT+8
26	San Luis	95	Fetched 06/09/2026, 10:00:03 PM GMT+8
27	Camp 7	93	Fetched 06/09/2026, 10:00:03 PM GMT+8
28	Mirador Hills	85	Fetched 06/09/2026, 10:00:03 PM GMT+8
29	Balakbak	81	Fetched 06/09/2026, 10:00:03 PM GMT+8
30	Philex	81	Fetched 06/09/2026, 10:00:03 PM GMT+8
31	Camp 6	72	Fetched 06/09/2026, 10:00:03 PM GMT+8
32	Posos	70	Fetched 06/09/2026, 10:00:03 PM GMT+8
33	Camp 8	66	Fetched 06/09/2026, 10:00:03 PM GMT+8
34	Tomay	66	Fetched 06/09/2026, 10:00:03 PM GMT+8
35	Taloy Sur	65	Fetched 06/09/2026, 10:00:03 PM GMT+8
36	Greenwater	60	Fetched 06/09/2026, 10:00:03 PM GMT+8
37	Binanga	58	Fetched 06/09/2026, 10:00:03 PM GMT+8
38	Penged	56	Fetched 06/09/2026, 10:00:03 PM GMT+8
39	Lacaan	52	Fetched 06/09/2026, 10:00:03 PM GMT+8
40	Sablan	37	Fetched 06/09/2026, 10:00:03 PM GMT+8
41	Basca	32	Fetched 06/09/2026, 10:00:03 PM GMT+8
42	Tadiangan	30	Fetched 06/09/2026, 10:00:03 PM GMT+8
43	San Carlos Heights	22	Fetched 06/09/2026, 10:00:03 PM GMT+8
44	Kapangan	15	Fetched 06/09/2026, 10:00:03 PM GMT+8
