Field	Value		
Video Title	God's Love | Benguet | INCMV AWARDS 2026		
Video URL	https://www.youtube.com/watch?v=ROa3kbG5M0U		
Fetched At	Fetched 05/24/2026, 5:00:01 PM GMT+8		
Workbook Updated At	Updated 05/24/2026, 5:18:56 PM GMT+8		
Full Comment Rows	40989		
Kapisanan Rows	5732		
Lokal Tabs	44		
Lokal Numbers Updated At	Fetched 05/24/2026, 5:00:01 PM GMT+8		
Streams Used	Initial comments stream, Sort: Top, Sort: Newest		
Note	Comment times are public relative timestamps shown by YouTube at fetch time. Lokal rows are comments currently fetched that mention each Lokal name.		
			
Lokal Comment Summary			
No.	Lokal	Matched Comment Rows	Numbers Updated At
1	Baguio City	8320	Fetched 05/24/2026, 5:00:01 PM GMT+8
2	Atok Gold	7202	Fetched 05/24/2026, 5:00:01 PM GMT+8
3	La Trinidad	5981	Fetched 05/24/2026, 5:00:01 PM GMT+8
4	Norcar	1593	Fetched 05/24/2026, 5:00:01 PM GMT+8
5	Aurora Hill	1579	Fetched 05/24/2026, 5:00:01 PM GMT+8
6	Quezon Hill	1411	Fetched 05/24/2026, 5:00:01 PM GMT+8
7	Hillside	1183	Fetched 05/24/2026, 5:00:01 PM GMT+8
8	Loakan Airport	1125	Fetched 05/24/2026, 5:00:01 PM GMT+8
9	Guisad	811	Fetched 05/24/2026, 5:00:01 PM GMT+8
10	Irisan	673	Fetched 05/24/2026, 5:00:01 PM GMT+8
11	Tublay	645	Fetched 05/24/2026, 5:00:01 PM GMT+8
12	Marcos Highway	530	Fetched 05/24/2026, 5:00:01 PM GMT+8
13	Gibraltar	492	Fetched 05/24/2026, 5:00:01 PM GMT+8
14	Tuba	446	Fetched 05/24/2026, 5:00:01 PM GMT+8
15	Balatoc	389	Fetched 05/24/2026, 5:00:01 PM GMT+8
16	Megaroyale Village	358	Fetched 05/24/2026, 5:00:01 PM GMT+8
17	Kias	336	Fetched 05/24/2026, 5:00:01 PM GMT+8
18	City Camp	287	Fetched 05/24/2026, 5:00:01 PM GMT+8
19	Sayatan	194	Fetched 05/24/2026, 5:00:01 PM GMT+8
20	Lourdes	164	Fetched 05/24/2026, 5:00:01 PM GMT+8
21	Pinsao	157	Fetched 05/24/2026, 5:00:01 PM GMT+8
22	Loacan	147	Fetched 05/24/2026, 5:00:01 PM GMT+8
23	Mirador Hills	142	Fetched 05/24/2026, 5:00:01 PM GMT+8
24	Camp 7	140	Fetched 05/24/2026, 5:00:01 PM GMT+8
25	Camp 6	134	Fetched 05/24/2026, 5:00:01 PM GMT+8
26	Buyagan	133	Fetched 05/24/2026, 5:00:01 PM GMT+8
27	Bangho	123	Fetched 05/24/2026, 5:00:01 PM GMT+8
28	San Luis	114	Fetched 05/24/2026, 5:00:01 PM GMT+8
29	Tomay	98	Fetched 05/24/2026, 5:00:01 PM GMT+8
30	Ambiong	89	Fetched 05/24/2026, 5:00:01 PM GMT+8
31	Camp 8	88	Fetched 05/24/2026, 5:00:01 PM GMT+8
32	Balakbak	84	Fetched 05/24/2026, 5:00:01 PM GMT+8
33	Greenwater	79	Fetched 05/24/2026, 5:00:01 PM GMT+8
34	Taloy Sur	74	Fetched 05/24/2026, 5:00:01 PM GMT+8
35	Penged	70	Fetched 05/24/2026, 5:00:01 PM GMT+8
36	Binanga	69	Fetched 05/24/2026, 5:00:01 PM GMT+8
37	Philex	66	Fetched 05/24/2026, 5:00:01 PM GMT+8
38	Posos	62	Fetched 05/24/2026, 5:00:01 PM GMT+8
39	Lacaan	51	Fetched 05/24/2026, 5:00:01 PM GMT+8
40	Sablan	49	Fetched 05/24/2026, 5:00:01 PM GMT+8
41	Tadiangan	42	Fetched 05/24/2026, 5:00:01 PM GMT+8
42	Kapangan	41	Fetched 05/24/2026, 5:00:01 PM GMT+8
43	San Carlos Heights	41	Fetched 05/24/2026, 5:00:01 PM GMT+8
44	Basca	34	Fetched 05/24/2026, 5:00:01 PM GMT+8
